cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07912	4	-46,3103340	-23,3905890	2180	0,1835	11,1111	3048	2432	616
L07913	1	-46,3635519	-23,4172848	1529	0,0654	2,7778	2268	1781	487
L07914	2	-46,3108770	-23,4074250	825	0,2424	5,5556	1353	971	382
L07915	4	-46,3212127	-23,3938680	3551	0,1126	11,1111	5713	3962	1751
L07916	2	-46,3213445	-23,3976513	2978	0,0672	5,5556	4781	3364	1417
L07917	1	-46,3260909	-23,3876689	2803	0,0357	2,7778	4175	3159	1016
L07918	2	-46,2945207	-23,3882091	1484	0,1348	5,5556	2019	1639	380
L07919	1	-46,3222490	-23,4121970	931	0,1074	2,7778	1350	1036	314
L07920	1	-46,3330664	-23,3873841	4652	0,0215	2,7778	6887	5153	1734
L07921	4	-46,3192847	-23,3976109	3823	0,1046	11,1111	6272	4339	1933
L07922	1	-46,3324025	-23,3860995	2040	0,049	2,7778	3055	2333	722
L07924	1	-46,3055282	-23,3875609	938	0,1066	2,7778	1279	1026	253
L07925	2	-46,3377650	-23,4059810	2565	0,078	5,5556	3946	2945	1001
L07926	1	-46,3286092	-23,4103722	1140	0,0877	2,7778	1730	1284	446
L07927	3	-46,2945735	-23,3867666	1218	0,2463	8,3333	1687	1361	326
L07930	1	-46,3236050	-23,3780730	2583	0,0387	2,7778	3750	2917	833
L07931	1	-46,3262531	-23,3987859	810	0,1235	2,7778	1282	943	339
L07933	2	-46,2988499	-23,3881104	1046	0,1912	5,5556	1453	1174	279
L07934	2	-46,3328503	-23,3951925	832	0,2404	5,5556	1285	949	336
