cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07910	17	-46,3146464	-23,3968079	1397	1,2169	2,5719	2040	1550	490
L07911	2	-46,3181340	-23,3814530	1331	0,1503	0,3026	1854	1482	372
L07912	19	-46,3103340	-23,3905890	2180	0,8716	2,8744	3048	2432	616
L07913	53	-46,3635519	-23,4172848	1529	3,4663	8,0182	2268	1781	487
L07914	38	-46,3108770	-23,4074250	825	4,6061	5,7489	1353	971	382
L07915	33	-46,3212127	-23,3938680	3551	0,9293	4,9924	5713	3962	1751
L07916	41	-46,3213445	-23,3976513	2978	1,3768	6,2027	4781	3364	1417
L07917	27	-46,3260909	-23,3876689	2803	0,9633	4,0847	4175	3159	1016
L07918	14	-46,2945207	-23,3882091	1484	0,9434	2,118	2019	1639	380
L07919	26	-46,3222490	-23,4121970	931	2,7927	3,9334	1350	1036	314
L07920	39	-46,3330664	-23,3873841	4652	0,8383	5,9002	6887	5153	1734
L07921	64	-46,3192847	-23,3976109	3823	1,6741	9,6823	6272	4339	1933
L07922	17	-46,3324025	-23,3860995	2040	0,8333	2,5719	3055	2333	722
L07923	18	-46,3144820	-23,3919680	1370	1,3139	2,7231	2009	1553	456
L07924	2	-46,3055282	-23,3875609	938	0,2132	0,3026	1279	1026	253
L07925	22	-46,3377650	-23,4059810	2565	0,8577	3,3283	3946	2945	1001
L07926	96	-46,3286092	-23,4103722	1140	8,4211	14,5234	1730	1284	446
L07927	15	-46,2945735	-23,3867666	1218	1,2315	2,2693	1687	1361	326
L07928	27	-46,3628680	-23,4223760	1366	1,9766	4,0847	1892	1584	308
L07929	29	-46,3319903	-23,3890710	1800	1,6111	4,3873	2716	2041	675
L07930	18	-46,3236050	-23,3780730	2583	0,6969	2,7231	3750	2917	833
L07931	12	-46,3262531	-23,3987859	810	1,4815	1,8154	1282	943	339
L07933	7	-46,2988499	-23,3881104	1046	0,6692	1,059	1453	1174	279
L07934	12	-46,3328503	-23,3951925	832	1,4423	1,8154	1285	949	336
L07935	13	-46,3170602	-23,3952506	691	1,8813	1,9667	1044	778	266
