cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04558	1	-46,8888496	-23,5255200	2002	0,05	1,2346	2894	2198	696
L04561	1	-46,8566700	-23,5109490	3301	0,0303	1,2346	4970	3631	1339
L04562	2	-46,8844080	-23,5358490	2885	0,0693	2,4691	4130	3205	925
L04567	1	-46,8857770	-23,5425699	5498	0,0182	1,2346	8304	6251	2053
L04570	3	-46,8898401	-23,5283043	4695	0,0639	3,7037	7167	5167	2000
L04572	2	-46,8875490	-23,5289050	4693	0,0426	2,4691	6794	5096	1698
L04573	1	-46,8915906	-23,5390657	2980	0,0336	1,2346	4233	3270	963
L04574	6	-46,8848312	-23,5340513	4019	0,1493	7,4074	5596	4407	1189
L04575	12	-46,8862413	-23,5089091	5192	0,2311	14,8148	8008	5920	2088
L04576	11	-46,8755435	-23,5084374	2939	0,3743	13,5802	4610	3215	1395
L04578	3	-46,8710366	-23,5471768	4899	0,0612	3,7037	7202	5476	1726
L04579	1	-46,8830789	-23,5438310	3018	0,0331	1,2346	4362	3408	954
L04580	1	-46,8809000	-23,5441480	2454	0,0407	1,2346	3503	2722	781
L04582	1	-46,8913017	-23,5310569	3089	0,0324	1,2346	4438	3372	1066
L04584	1	-46,8855930	-23,5359533	2153	0,0464	1,2346	3060	2388	672
L04585	1	-46,8927609	-23,5085199	2959	0,0338	1,2346	4144	3204	940
L04586	1	-46,8824037	-23,5444619	3021	0,0331	1,2346	4319	3386	933
L09508	2	-46,8322088	-23,4876695	2282	0,0876	2,4691	4898	2961	1937
L09536	7	-46,8702240	-23,5025885	4159	0,1683	8,642	6571	4615	1956
L09538	2	-46,8896753	-23,4912970	4207	0,0475	2,4691	6144	4618	1526
L09541	2	-46,8841570	-23,4826182	1024	0,1953	2,4691	1421	1161	260
L09548	1	-46,8867939	-23,4863900	3908	0,0256	1,2346	5539	4296	1243
L09551	7	-46,8738367	-23,5040091	2564	0,273	8,642	3984	2782	1202
L09555	1	-46,8803990	-23,4813360	2511	0,0398	1,2346	3704	2736	968
L09559	2	-46,8726197	-23,4995962	3377	0,0592	2,4691	5080	3801	1279
L09560	4	-46,8717028	-23,4932853	2908	0,1376	4,9383	4499	3230	1269
L09567	3	-46,8606512	-23,4859635	4173	0,0719	3,7037	8283	5329	2954
L09568	1	-46,8884026	-23,4878828	995	0,1005	1,2346	1502	1096	406
