cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04562	1	-46,8844080	-23,5358490	2885	0,0347	1,8868	4130	3205	925
L04565	3	-46,8905552	-23,5424301	4473	0,0671	5,6604	6375	4929	1446
L04567	2	-46,8857770	-23,5425699	5498	0,0364	3,7736	8304	6251	2053
L04569	1	-46,8926931	-23,5289601	4315	0,0232	1,8868	6218	4732	1486
L04572	2	-46,8875490	-23,5289050	4693	0,0426	3,7736	6794	5096	1698
L04574	1	-46,8848312	-23,5340513	4019	0,0249	1,8868	5596	4407	1189
L04575	1	-46,8862413	-23,5089091	5192	0,0193	1,8868	8008	5920	2088
L04579	5	-46,8830789	-23,5438310	3018	0,1657	9,434	4362	3408	954
L04580	1	-46,8809000	-23,5441480	2454	0,0407	1,8868	3503	2722	781
L04582	1	-46,8913017	-23,5310569	3089	0,0324	1,8868	4438	3372	1066
L09543	5	-46,8118620	-23,5051680	4983	0,1003	9,434	7254	5460	1794
L09544	2	-46,8837665	-23,4929036	3181	0,0629	3,7736	4589	3496	1093
L09545	3	-46,8137317	-23,4977040	2191	0,1369	5,6604	3268	2465	803
L09548	1	-46,8867939	-23,4863900	3908	0,0256	1,8868	5539	4296	1243
L09549	19	-46,8090471	-23,5088727	2604	0,7296	35,8491	3839	2875	964
L09552	2	-46,8051400	-23,4870205	6042	0,0331	3,7736	8715	6692	2023
L09563	2	-46,8673404	-23,5012777	751	0,2663	3,7736	1150	853	297
L09567	1	-46,8606512	-23,4859635	4173	0,024	1,8868	8283	5329	2954
