cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04558	7	-46,8888496	-23,5255200	2002	0,3497	0,34	2894	2198	696
L04559	14	-46,8937058	-23,5117311	2121	0,6601	0,6799	3139	2300	839
L04560	25	-46,8747894	-23,5382952	1220	2,0492	1,2142	1799	1418	381
L04561	25	-46,8566700	-23,5109490	3301	0,7573	1,2142	4970	3631	1339
L04562	10	-46,8844080	-23,5358490	2885	0,3466	0,4857	4130	3205	925
L04563	100	-46,8657364	-23,5285171	2501	3,9984	4,8567	3571	2767	804
L04564	7	-46,9008400	-23,5135511	1596	0,4386	0,34	2150	1721	429
L04565	31	-46,8905552	-23,5424301	4473	0,693	1,5056	6375	4929	1446
L04566	288	-46,8654676	-23,5385438	3409	8,4482	13,9874	4776	3755	1021
L04567	44	-46,8857770	-23,5425699	5498	0,8003	2,137	8304	6251	2053
L04568	14	-46,8879189	-23,5375247	2448	0,5719	0,6799	3560	2720	840
L04569	15	-46,8926931	-23,5289601	4315	0,3476	0,7285	6218	4732	1486
L04570	20	-46,8898401	-23,5283043	4695	0,426	0,9713	7167	5167	2000
L04571	26	-46,8946145	-23,5149500	2121	1,2258	1,2627	3102	2368	734
L04572	21	-46,8875490	-23,5289050	4693	0,4475	1,0199	6794	5096	1698
L04573	12	-46,8915906	-23,5390657	2980	0,4027	0,5828	4233	3270	963
L04574	16	-46,8848312	-23,5340513	4019	0,3981	0,7771	5596	4407	1189
L04575	32	-46,8862413	-23,5089091	5192	0,6163	1,5542	8008	5920	2088
L04576	14	-46,8755435	-23,5084374	2939	0,4764	0,6799	4610	3215	1395
L04577	32	-46,8972559	-23,5157201	3192	1,0025	1,5542	4544	3485	1059
L04578	343	-46,8710366	-23,5471768	4899	7,0014	16,6586	7202	5476	1726
L04579	55	-46,8830789	-23,5438310	3018	1,8224	2,6712	4362	3408	954
L04580	19	-46,8809000	-23,5441480	2454	0,7742	0,9228	3503	2722	781
L04581	50	-46,8788133	-23,5315238	1900	2,6316	2,4284	2811	2151	660
L04582	7	-46,8913017	-23,5310569	3089	0,2266	0,34	4438	3372	1066
L04583	230	-46,8659509	-23,5386269	2713	8,4777	11,1705	3972	3056	916
L04584	13	-46,8855930	-23,5359533	2153	0,6038	0,6314	3060	2388	672
L04585	38	-46,8927609	-23,5085199	2959	1,2842	1,8456	4144	3204	940
L04586	41	-46,8824037	-23,5444619	3021	1,3572	1,9913	4319	3386	933
L04587	7	-46,8651689	-23,5107650	1764	0,3968	0,34	2568	1966	602
L04588	16	-46,8897810	-23,5123429	1489	1,0745	0,7771	2191	1704	487
L04589	25	-46,8994533	-23,5087516	1590	1,5723	1,2142	2146	1714	432
L09508	9	-46,8322088	-23,4876695	2282	0,3944	0,4371	4898	2961	1937
L09534	5	-46,8138019	-23,4882616	5321	0,094	0,2428	7554	5808	1746
L09536	38	-46,8702240	-23,5025885	4159	0,9137	1,8456	6571	4615	1956
L09538	55	-46,8896753	-23,4912970	4207	1,3073	2,6712	6144	4618	1526
L09539	51	-46,8894912	-23,4885119	3479	1,4659	2,4769	5190	3879	1311
L09540	12	-46,8893294	-23,4984267	2624	0,4573	0,5828	3883	2906	977
L09541	3	-46,8841570	-23,4826182	1024	0,293	0,1457	1421	1161	260
L09543	8	-46,8118620	-23,5051680	4983	0,1605	0,3885	7254	5460	1794
L09544	43	-46,8837665	-23,4929036	3181	1,3518	2,0884	4589	3496	1093
L09545	3	-46,8137317	-23,4977040	2191	0,1369	0,1457	3268	2465	803
L09546	15	-46,8901204	-23,4958624	3363	0,446	0,7285	4586	3617	969
L09547	19	-46,8841683	-23,4961515	1556	1,2211	0,9228	2270	1752	518
L09548	26	-46,8867939	-23,4863900	3908	0,6653	1,2627	5539	4296	1243
L09549	1	-46,8090471	-23,5088727	2604	0,0384	0,0486	3839	2875	964
L09550	5	-46,8101209	-23,4904230	3596	0,139	0,2428	5261	3876	1385
L09551	21	-46,8738367	-23,5040091	2564	0,819	1,0199	3984	2782	1202
L09552	7	-46,8051400	-23,4870205	6042	0,1159	0,34	8715	6692	2023
L09553	12	-46,8871729	-23,4899472	1852	0,6479	0,5828	2631	2013	618
L09555	23	-46,8803990	-23,4813360	2511	0,916	1,117	3704	2736	968
L09556	5	-46,8793106	-23,4992419	1053	0,4748	0,2428	1575	1188	387
L09558	14	-46,8991876	-23,5033102	600	2,3333	0,6799	832	663	169
L09559	18	-46,8726197	-23,4995962	3377	0,533	0,8742	5080	3801	1279
L09560	18	-46,8717028	-23,4932853	2908	0,619	0,8742	4499	3230	1269
L09562	12	-46,8766390	-23,4929052	2212	0,5425	0,5828	3433	2548	885
L09563	12	-46,8673404	-23,5012777	751	1,5979	0,5828	1150	853	297
L09567	18	-46,8606512	-23,4859635	4173	0,4313	0,8742	8283	5329	2954
L09568	9	-46,8884026	-23,4878828	995	0,9045	0,4371	1502	1096	406
