cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04558	53	-46,8888496	-23,5255200	2002	2,6474	2,0307	2894	2198	696
L04559	34	-46,8937058	-23,5117311	2121	1,603	1,3027	3139	2300	839
L04560	17	-46,8747894	-23,5382952	1220	1,3934	0,6513	1799	1418	381
L04561	28	-46,8566700	-23,5109490	3301	0,8482	1,0728	4970	3631	1339
L04562	27	-46,8844080	-23,5358490	2885	0,9359	1,0345	4130	3205	925
L04563	28	-46,8657364	-23,5285171	2501	1,1196	1,0728	3571	2767	804
L04564	5	-46,9008400	-23,5135511	1596	0,3133	0,1916	2150	1721	429
L04565	38	-46,8905552	-23,5424301	4473	0,8495	1,4559	6375	4929	1446
L04566	27	-46,8654676	-23,5385438	3409	0,792	1,0345	4776	3755	1021
L04567	65	-46,8857770	-23,5425699	5498	1,1822	2,4904	8304	6251	2053
L04568	25	-46,8879189	-23,5375247	2448	1,0212	0,9579	3560	2720	840
L04569	56	-46,8926931	-23,5289601	4315	1,2978	2,1456	6218	4732	1486
L04570	79	-46,8898401	-23,5283043	4695	1,6826	3,0268	7167	5167	2000
L04571	39	-46,8946145	-23,5149500	2121	1,8388	1,4943	3102	2368	734
L04572	64	-46,8875490	-23,5289050	4693	1,3637	2,4521	6794	5096	1698
L04573	45	-46,8915906	-23,5390657	2980	1,5101	1,7241	4233	3270	963
L04574	42	-46,8848312	-23,5340513	4019	1,045	1,6092	5596	4407	1189
L04575	86	-46,8862413	-23,5089091	5192	1,6564	3,295	8008	5920	2088
L04576	47	-46,8755435	-23,5084374	2939	1,5992	1,8008	4610	3215	1395
L04577	40	-46,8972559	-23,5157201	3192	1,2531	1,5326	4544	3485	1059
L04578	31	-46,8710366	-23,5471768	4899	0,6328	1,1877	7202	5476	1726
L04579	31	-46,8830789	-23,5438310	3018	1,0272	1,1877	4362	3408	954
L04580	26	-46,8809000	-23,5441480	2454	1,0595	0,9962	3503	2722	781
L04581	25	-46,8788133	-23,5315238	1900	1,3158	0,9579	2811	2151	660
L04582	47	-46,8913017	-23,5310569	3089	1,5215	1,8008	4438	3372	1066
L04583	17	-46,8659509	-23,5386269	2713	0,6266	0,6513	3972	3056	916
L04584	14	-46,8855930	-23,5359533	2153	0,6503	0,5364	3060	2388	672
L04585	42	-46,8927609	-23,5085199	2959	1,4194	1,6092	4144	3204	940
L04586	31	-46,8824037	-23,5444619	3021	1,0262	1,1877	4319	3386	933
L04587	30	-46,8651689	-23,5107650	1764	1,7007	1,1494	2568	1966	602
L04588	32	-46,8897810	-23,5123429	1489	2,1491	1,2261	2191	1704	487
L04589	20	-46,8994533	-23,5087516	1590	1,2579	0,7663	2146	1714	432
L09508	212	-46,8322088	-23,4876695	2282	9,2901	8,1226	4898	2961	1937
L09534	15	-46,8138019	-23,4882616	5321	0,2819	0,5747	7554	5808	1746
L09536	64	-46,8702240	-23,5025885	4159	1,5388	2,4521	6571	4615	1956
L09538	67	-46,8896753	-23,4912970	4207	1,5926	2,567	6144	4618	1526
L09539	85	-46,8894912	-23,4885119	3479	2,4432	3,2567	5190	3879	1311
L09540	18	-46,8893294	-23,4984267	2624	0,686	0,6897	3883	2906	977
L09541	24	-46,8841570	-23,4826182	1024	2,3438	0,9195	1421	1161	260
L09543	11	-46,8118620	-23,5051680	4983	0,2208	0,4215	7254	5460	1794
L09544	55	-46,8837665	-23,4929036	3181	1,729	2,1073	4589	3496	1093
L09545	8	-46,8137317	-23,4977040	2191	0,3651	0,3065	3268	2465	803
L09546	31	-46,8901204	-23,4958624	3363	0,9218	1,1877	4586	3617	969
L09547	41	-46,8841683	-23,4961515	1556	2,635	1,5709	2270	1752	518
L09548	110	-46,8867939	-23,4863900	3908	2,8147	4,2146	5539	4296	1243
L09549	11	-46,8090471	-23,5088727	2604	0,4224	0,4215	3839	2875	964
L09550	13	-46,8101209	-23,4904230	3596	0,3615	0,4981	5261	3876	1385
L09551	34	-46,8738367	-23,5040091	2564	1,3261	1,3027	3984	2782	1202
L09552	16	-46,8051400	-23,4870205	6042	0,2648	0,613	8715	6692	2023
L09553	41	-46,8871729	-23,4899472	1852	2,2138	1,5709	2631	2013	618
L09555	45	-46,8803990	-23,4813360	2511	1,7921	1,7241	3704	2736	968
L09556	20	-46,8793106	-23,4992419	1053	1,8993	0,7663	1575	1188	387
L09557	1	-46,8873569	-23,4998429	507	0,1972	0,0383	703	560	143
L09558	5	-46,8991876	-23,5033102	600	0,8333	0,1916	832	663	169
L09559	59	-46,8726197	-23,4995962	3377	1,7471	2,2605	5080	3801	1279
L09560	50	-46,8717028	-23,4932853	2908	1,7194	1,9157	4499	3230	1269
L09562	37	-46,8766390	-23,4929052	2212	1,6727	1,4176	3433	2548	885
L09563	16	-46,8673404	-23,5012777	751	2,1305	0,613	1150	853	297
L09564	24	-46,9553553	-23,5037845	1376	1,7442	0,9195	2414	1667	747
L09567	288	-46,8606512	-23,4859635	4173	6,9015	11,0345	8283	5329	2954
L09568	18	-46,8884026	-23,4878828	995	1,809	0,6897	1502	1096	406
