cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04559	5	-46,8937058	-23,5117311	2121	0,2357	2,994	3139	2300	839
L04562	2	-46,8844080	-23,5358490	2885	0,0693	1,1976	4130	3205	925
L04563	3	-46,8657364	-23,5285171	2501	0,12	1,7964	3571	2767	804
L04566	8	-46,8654676	-23,5385438	3409	0,2347	4,7904	4776	3755	1021
L04569	1	-46,8926931	-23,5289601	4315	0,0232	0,5988	6218	4732	1486
L04570	7	-46,8898401	-23,5283043	4695	0,1491	4,1916	7167	5167	2000
L04571	1	-46,8946145	-23,5149500	2121	0,0471	0,5988	3102	2368	734
L04572	2	-46,8875490	-23,5289050	4693	0,0426	1,1976	6794	5096	1698
L04574	5	-46,8848312	-23,5340513	4019	0,1244	2,994	5596	4407	1189
L04575	9	-46,8862413	-23,5089091	5192	0,1733	5,3892	8008	5920	2088
L04576	3	-46,8755435	-23,5084374	2939	0,1021	1,7964	4610	3215	1395
L04577	2	-46,8972559	-23,5157201	3192	0,0627	1,1976	4544	3485	1059
L04578	13	-46,8710366	-23,5471768	4899	0,2654	7,7844	7202	5476	1726
L04579	1	-46,8830789	-23,5438310	3018	0,0331	0,5988	4362	3408	954
L04581	2	-46,8788133	-23,5315238	1900	0,1053	1,1976	2811	2151	660
L04582	1	-46,8913017	-23,5310569	3089	0,0324	0,5988	4438	3372	1066
L04583	1	-46,8659509	-23,5386269	2713	0,0369	0,5988	3972	3056	916
L04584	1	-46,8855930	-23,5359533	2153	0,0464	0,5988	3060	2388	672
L04585	1	-46,8927609	-23,5085199	2959	0,0338	0,5988	4144	3204	940
L04586	2	-46,8824037	-23,5444619	3021	0,0662	1,1976	4319	3386	933
L04587	3	-46,8651689	-23,5107650	1764	0,1701	1,7964	2568	1966	602
L04589	2	-46,8994533	-23,5087516	1590	0,1258	1,1976	2146	1714	432
L09508	6	-46,8322088	-23,4876695	2282	0,2629	3,5928	4898	2961	1937
L09536	17	-46,8702240	-23,5025885	4159	0,4088	10,1796	6571	4615	1956
L09538	4	-46,8896753	-23,4912970	4207	0,0951	2,3952	6144	4618	1526
L09540	1	-46,8893294	-23,4984267	2624	0,0381	0,5988	3883	2906	977
L09541	6	-46,8841570	-23,4826182	1024	0,5859	3,5928	1421	1161	260
L09544	4	-46,8837665	-23,4929036	3181	0,1257	2,3952	4589	3496	1093
L09547	2	-46,8841683	-23,4961515	1556	0,1285	1,1976	2270	1752	518
L09548	4	-46,8867939	-23,4863900	3908	0,1024	2,3952	5539	4296	1243
L09551	3	-46,8738367	-23,5040091	2564	0,117	1,7964	3984	2782	1202
L09553	2	-46,8871729	-23,4899472	1852	0,108	1,1976	2631	2013	618
L09556	2	-46,8793106	-23,4992419	1053	0,1899	1,1976	1575	1188	387
L09559	10	-46,8726197	-23,4995962	3377	0,2961	5,988	5080	3801	1279
L09560	3	-46,8717028	-23,4932853	2908	0,1032	1,7964	4499	3230	1269
L09562	1	-46,8766390	-23,4929052	2212	0,0452	0,5988	3433	2548	885
L09563	4	-46,8673404	-23,5012777	751	0,5326	2,3952	1150	853	297
L09564	1	-46,9553553	-23,5037845	1376	0,0727	0,5988	2414	1667	747
L09567	22	-46,8606512	-23,4859635	4173	0,5272	13,1737	8283	5329	2954
