cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04558	39	-46,8888496	-23,5255200	2002	1,9481	2,0756	2894	2198	696
L04559	13	-46,8937058	-23,5117311	2121	0,6129	0,6919	3139	2300	839
L04560	16	-46,8747894	-23,5382952	1220	1,3115	0,8515	1799	1418	381
L04561	19	-46,8566700	-23,5109490	3301	0,5756	1,0112	4970	3631	1339
L04562	43	-46,8844080	-23,5358490	2885	1,4905	2,2885	4130	3205	925
L04563	14	-46,8657364	-23,5285171	2501	0,5598	0,7451	3571	2767	804
L04564	16	-46,9008400	-23,5135511	1596	1,0025	0,8515	2150	1721	429
L04565	70	-46,8905552	-23,5424301	4473	1,5649	3,7254	6375	4929	1446
L04566	36	-46,8654676	-23,5385438	3409	1,056	1,9159	4776	3755	1021
L04567	85	-46,8857770	-23,5425699	5498	1,546	4,5237	8304	6251	2053
L04568	57	-46,8879189	-23,5375247	2448	2,3284	3,0335	3560	2720	840
L04569	83	-46,8926931	-23,5289601	4315	1,9235	4,4172	6218	4732	1486
L04570	72	-46,8898401	-23,5283043	4695	1,5335	3,8318	7167	5167	2000
L04571	17	-46,8946145	-23,5149500	2121	0,8015	0,9047	3102	2368	734
L04572	61	-46,8875490	-23,5289050	4693	1,2998	3,2464	6794	5096	1698
L04573	58	-46,8915906	-23,5390657	2980	1,9463	3,0867	4233	3270	963
L04574	63	-46,8848312	-23,5340513	4019	1,5676	3,3528	5596	4407	1189
L04575	37	-46,8862413	-23,5089091	5192	0,7126	1,9691	8008	5920	2088
L04576	16	-46,8755435	-23,5084374	2939	0,5444	0,8515	4610	3215	1395
L04577	30	-46,8972559	-23,5157201	3192	0,9398	1,5966	4544	3485	1059
L04578	42	-46,8710366	-23,5471768	4899	0,8573	2,2352	7202	5476	1726
L04579	48	-46,8830789	-23,5438310	3018	1,5905	2,5546	4362	3408	954
L04580	54	-46,8809000	-23,5441480	2454	2,2005	2,8739	3503	2722	781
L04581	10	-46,8788133	-23,5315238	1900	0,5263	0,5322	2811	2151	660
L04582	80	-46,8913017	-23,5310569	3089	2,5898	4,2576	4438	3372	1066
L04583	28	-46,8659509	-23,5386269	2713	1,0321	1,4902	3972	3056	916
L04584	31	-46,8855930	-23,5359533	2153	1,4399	1,6498	3060	2388	672
L04585	26	-46,8927609	-23,5085199	2959	0,8787	1,3837	4144	3204	940
L04586	62	-46,8824037	-23,5444619	3021	2,0523	3,2996	4319	3386	933
L04587	7	-46,8651689	-23,5107650	1764	0,3968	0,3725	2568	1966	602
L04588	17	-46,8897810	-23,5123429	1489	1,1417	0,9047	2191	1704	487
L04589	12	-46,8994533	-23,5087516	1590	0,7547	0,6386	2146	1714	432
L09508	9	-46,8322088	-23,4876695	2282	0,3944	0,479	4898	2961	1937
L09534	28	-46,8138019	-23,4882616	5321	0,5262	1,4902	7554	5808	1746
L09536	21	-46,8702240	-23,5025885	4159	0,5049	1,1176	6571	4615	1956
L09538	37	-46,8896753	-23,4912970	4207	0,8795	1,9691	6144	4618	1526
L09539	26	-46,8894912	-23,4885119	3479	0,7473	1,3837	5190	3879	1311
L09540	42	-46,8893294	-23,4984267	2624	1,6006	2,2352	3883	2906	977
L09541	3	-46,8841570	-23,4826182	1024	0,293	0,1597	1421	1161	260
L09543	25	-46,8118620	-23,5051680	4983	0,5017	1,3305	7254	5460	1794
L09544	25	-46,8837665	-23,4929036	3181	0,7859	1,3305	4589	3496	1093
L09545	14	-46,8137317	-23,4977040	2191	0,639	0,7451	3268	2465	803
L09546	55	-46,8901204	-23,4958624	3363	1,6354	2,9271	4586	3617	969
L09547	5	-46,8841683	-23,4961515	1556	0,3213	0,2661	2270	1752	518
L09548	44	-46,8867939	-23,4863900	3908	1,1259	2,3417	5539	4296	1243
L09549	11	-46,8090471	-23,5088727	2604	0,4224	0,5854	3839	2875	964
L09550	30	-46,8101209	-23,4904230	3596	0,8343	1,5966	5261	3876	1385
L09551	18	-46,8738367	-23,5040091	2564	0,702	0,958	3984	2782	1202
L09552	68	-46,8051400	-23,4870205	6042	1,1255	3,6189	8715	6692	2023
L09553	27	-46,8871729	-23,4899472	1852	1,4579	1,4369	2631	2013	618
L09555	19	-46,8803990	-23,4813360	2511	0,7567	1,0112	3704	2736	968
L09556	4	-46,8793106	-23,4992419	1053	0,3799	0,2129	1575	1188	387
L09557	11	-46,8873569	-23,4998429	507	2,1696	0,5854	703	560	143
L09558	3	-46,8991876	-23,5033102	600	0,5	0,1597	832	663	169
L09559	37	-46,8726197	-23,4995962	3377	1,0956	1,9691	5080	3801	1279
L09560	14	-46,8717028	-23,4932853	2908	0,4814	0,7451	4499	3230	1269
L09562	21	-46,8766390	-23,4929052	2212	0,9494	1,1176	3433	2548	885
L09563	8	-46,8673404	-23,5012777	751	1,0652	0,4258	1150	853	297
L09567	4	-46,8606512	-23,4859635	4173	0,0959	0,2129	8283	5329	2954
L09568	8	-46,8884026	-23,4878828	995	0,804	0,4258	1502	1096	406
