cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04455	12	-46,7269161	-23,3579062	1244	0,9646	2,4048	1738	1400	338
L04456	23	-46,7330074	-23,3577870	2622	0,8772	4,6092	3545	2880	665
L04457	23	-46,7569570	-23,3356580	2694	0,8537	4,6092	3934	3084	850
L04458	42	-46,7464790	-23,3449200	3551	1,1828	8,4168	5069	3976	1093
L04462	33	-46,7483710	-23,3525088	3092	1,0673	6,6132	4698	3469	1229
L04463	29	-46,7142028	-23,3840536	3816	0,76	5,8116	5431	4312	1119
L04464	38	-46,7375526	-23,3830089	2242	1,6949	7,6152	3140	2497	643
L04465	22	-46,7543450	-23,3340070	3219	0,6834	4,4088	4561	3623	938
L04466	9	-46,7407502	-23,3849444	314	2,8662	1,8036	474	368	106
L04467	26	-46,7510855	-23,3651519	1719	1,5125	5,2104	2710	1968	742
L04473	36	-46,7445678	-23,3652486	2885	1,2478	7,2144	4521	3309	1212
L04474	32	-46,7375526	-23,3830089	2170	1,4747	6,4128	3056	2454	602
L04476	12	-46,7161326	-23,3947018	2917	0,4114	2,4048	3974	3159	815
L04483	3	-46,7223915	-23,3787523	599	0,5008	0,6012	836	678	158
L04498	2	-46,7500542	-23,3472236	297	0,6734	0,4008	432	334	98
L04499	56	-46,7558223	-23,3472599	2999	1,8673	11,2224	4374	3400	974
L04500	16	-46,7156958	-23,3876906	3052	0,5242	3,2064	4344	3439	905
L04501	1	-46,7520499	-23,3307982	238	0,4202	0,2004	373	278	95
L04503	10	-46,7307579	-23,3917903	871	1,1481	2,004	1185	969	216
L04504	30	-46,7409706	-23,3592766	2120	1,4151	6,012	3230	2344	886
L04505	3	-46,6713056	-23,4011119	863	0,3476	0,6012	1428	996	432
L04506	15	-46,7035488	-23,3734116	1200	1,25	3,006	1727	1371	356
L04510	26	-46,7347858	-23,3644118	1708	1,5222	5,2104	2732	1909	823
