cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L08466	25	-46,8347870	-23,3378330	2951	0,8472	4,2955	4167	3244	923
L08467	24	-46,8221433	-23,4143781	2886	0,8316	4,1237	4149	3187	962
L08468	35	-46,8727612	-23,3613747	3722	0,9404	6,0137	5090	4001	1089
L08469	34	-46,8445039	-23,4073567	2800	1,2143	5,8419	3959	3067	892
L08470	21	-46,8451532	-23,3363465	2343	0,8963	3,6082	3487	2544	943
L08471	22	-46,8370191	-23,3372455	1262	1,7433	3,7801	1836	1388	448
L08472	19	-46,8391143	-23,3391504	2317	0,82	3,2646	3256	2532	724
L08473	91	-46,9181195	-23,3292768	1369	6,6472	15,6357	1910	1481	429
L08474	1	-46,8250648	-23,3373293	834	0,1199	0,1718	1086	907	179
L08475	6	-46,8237253	-23,4172720	1211	0,4955	1,0309	1731	1345	386
L08476	27	-46,8393191	-23,4111127	2535	1,0651	4,6392	3681	2854	827
L08477	12	-46,8294382	-23,3351141	2885	0,4159	2,0619	3902	3129	773
L08478	6	-46,8252649	-23,3352520	2275	0,2637	1,0309	3072	2457	615
L08479	17	-46,8390969	-23,3385348	1742	0,9759	2,921	2406	1890	516
L08480	10	-46,8285611	-23,3461690	1786	0,5599	1,7182	2405	1938	467
L08481	26	-46,8302388	-23,4138033	2627	0,9897	4,4674	3497	2861	636
L08482	20	-46,8339068	-23,3364656	1787	1,1192	3,4364	2640	2022	618
L08483	28	-46,8739789	-23,3651837	2296	1,2195	4,811	3109	2473	636
L08484	26	-46,8367124	-23,4107430	1675	1,5522	4,4674	2470	1903	567
L08485	17	-46,8640239	-23,4085377	736	2,3098	2,921	1066	853	213
L08486	4	-46,8280220	-23,4033160	796	0,5025	0,6873	1025	857	168
L08487	111	-46,8363009	-23,4091118	3269	3,3955	19,0722	4937	3895	1042
