cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07230	381	-46,8374316	-23,5237146	3087	12,3421	1,807	5158	3578	1580
L07231	163	-46,8410039	-23,5179210	1360	11,9853	0,7731	2209	1570	639
L07232	381	-46,8436297	-23,5218979	3283	11,6052	1,807	5687	3827	1860
L07233	419	-46,8251037	-23,5367361	3759	11,1466	1,9872	6162	4450	1712
L07234	141	-46,8288616	-23,5268585	1161	12,1447	0,6687	1891	1396	495
L07235	310	-46,8306693	-23,5284722	3110	9,9678	1,4702	5527	3626	1901
L07236	546	-46,8477254	-23,5199568	3882	14,0649	2,5895	6927	4570	2357
L07237	249	-46,8372320	-23,5192828	2500	9,96	1,1809	4539	2870	1669
L07238	110	-46,8355359	-23,5325923	844	13,0332	0,5217	1417	995	422
L07239	542	-46,8225846	-23,5402263	3284	16,5043	2,5705	5416	3908	1508
L07240	235	-46,8384950	-23,5147949	1984	11,8448	1,1145	3074	2270	804
L07241	135	-46,8276070	-23,5252050	1261	10,7058	0,6403	2281	1535	746
L07242	423	-46,8276908	-23,5311294	3985	10,6148	2,0062	6926	4720	2206
L07243	294	-46,8225145	-23,5311847	2696	10,905	1,3944	4700	3207	1493
L07244	224	-46,8218824	-23,5329965	2220	10,0901	1,0624	3741	2604	1137
L07245	208	-46,8266995	-23,5330649	1795	11,5877	0,9865	3144	2124	1020
L07246	524	-46,8297368	-23,5356589	3961	13,229	2,4852	6552	4587	1965
L07247	389	-46,8242615	-23,5249586	2095	18,568	1,8449	3680	2512	1168
L07248	490	-46,8379425	-23,5192246	4148	11,8129	2,3239	7577	4777	2800
L07249	260	-46,8219162	-23,5395049	2969	8,7572	1,2331	4705	3433	1272
L09602	419	-46,8347526	-23,5443126	4287	9,7737	1,9872	7127	5027	2100
L09603	524	-46,8259136	-23,5699415	3928	13,3401	2,4852	6642	4842	1800
L09604	365	-46,8291789	-23,5449730	3290	11,0942	1,7311	5127	3757	1370
L09605	231	-46,8516173	-23,5354320	2296	10,061	1,0956	3855	2725	1130
L09606	464	-46,8405692	-23,5305760	3564	13,0191	2,2006	5702	4128	1574
L09607	188	-46,8242137	-23,5450362	1365	13,7729	0,8916	2304	1639	665
L09608	363	-46,8305845	-23,5510307	3061	11,8589	1,7216	4748	3526	1222
L09609	594	-46,8271422	-23,5608991	4321	13,7468	2,8172	7067	5213	1854
L09610	247	-46,8585421	-23,5316164	2175	11,3563	1,1714	3500	2593	907
L09611	601	-46,8417084	-23,5491435	5890	10,2037	2,8504	9101	6765	2336
L09612	482	-46,8473178	-23,5476478	4275	11,2749	2,286	6849	4950	1899
L09613	216	-46,8483421	-23,5587177	1332	16,2162	1,0244	2133	1558	575
L09614	222	-46,8243661	-23,5818486	1549	14,3318	1,0529	2636	1879	757
L09615	320	-46,8399311	-23,5607204	2938	10,8918	1,5177	4586	3452	1134
L09616	470	-46,8471951	-23,5613996	4261	11,0303	2,2291	7123	4987	2136
L09617	298	-46,8201381	-23,5729795	2238	13,3155	1,4133	4196	2987	1209
L09618	283	-46,8360920	-23,5659758	1758	16,0978	1,3422	2688	2036	652
L09619	267	-46,8422873	-23,5377078	2331	11,4543	1,2663	3536	2684	852
L09620	453	-46,8405704	-23,5408212	4155	10,9025	2,1484	6662	4789	1873
L09621	78	-46,8417930	-23,5353410	617	12,6418	0,3699	925	720	205
L09622	530	-46,8521181	-23,5291548	4951	10,7049	2,5136	8033	5736	2297
L09623	309	-46,8469018	-23,5390765	3029	10,2014	1,4655	4699	3537	1162
L09624	304	-46,8338920	-23,5720029	2229	13,6384	1,4418	3557	2629	928
L09625	215	-46,8466884	-23,5288828	1658	12,9674	1,0197	2582	1926	656
L09626	407	-46,8227576	-23,5478051	2935	13,8671	1,9303	4750	3543	1207
L09627	471	-46,8336900	-23,5557566	4658	10,1116	2,2338	7947	5431	2516
L09628	614	-46,8455957	-23,5557814	5506	11,1515	2,912	8702	6292	2410
L09629	177	-46,8362590	-23,5665390	1042	16,9866	0,8395	1737	1261	476
L09630	412	-46,8550639	-23,5405869	3288	12,5304	1,954	5050	3840	1210
L09631	437	-46,8339330	-23,5418341	3825	11,4248	2,0726	6045	4427	1618
L09632	648	-46,8168725	-23,5718039	3891	16,6538	3,0733	6488	4889	1599
L09633	358	-46,8458215	-23,5327623	2992	11,9652	1,6979	4741	3453	1288
L09634	424	-46,8428352	-23,5641475	3481	12,1804	2,0109	5786	4113	1673
L09635	219	-46,8355662	-23,5552267	1729	12,6663	1,0387	2757	2047	710
L09636	295	-46,8595072	-23,5254034	3041	9,7008	1,3991	4920	3576	1344
L09637	219	-46,8334655	-23,5559586	1645	13,3131	1,0387	2694	1931	763
L09638	283	-46,8432767	-23,5683393	2138	13,2367	1,3422	3842	2569	1273
L09639	355	-46,8562213	-23,5495863	3333	10,6511	1,6837	5153	3866	1287
L09640	145	-46,8417200	-23,5557559	1434	10,1116	0,6877	2242	1664	578
L09641	364	-46,8325635	-23,5606183	3221	11,3008	1,7263	4898	3772	1126
L09642	390	-46,8510480	-23,5362829	4230	9,2199	1,8497	6695	4858	1837
