cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07230	30	-46,8374316	-23,5237146	3048	0,9843	2,997	5158	3578	1580
L07231	17	-46,8410039	-23,5179210	1294	1,3138	1,6983	2209	1570	639
L07232	18	-46,8436297	-23,5218979	3178	0,5664	1,7982	5687	3827	1860
L07233	9	-46,8251037	-23,5367361	3697	0,2434	0,8991	6162	4450	1712
L07234	3	-46,8288616	-23,5268585	1142	0,2627	0,2997	1891	1396	495
L07235	3	-46,8306693	-23,5284722	3034	0,0989	0,2997	5527	3626	1901
L07236	9	-46,8477254	-23,5199568	3899	0,2308	0,8991	6927	4570	2357
L07237	63	-46,8372320	-23,5192828	2485	2,5352	6,2937	4539	2870	1669
L07238	2	-46,8355359	-23,5325923	802	0,2494	0,1998	1417	995	422
L07239	16	-46,8225846	-23,5402263	3181	0,503	1,5984	5416	3908	1508
L07240	570	-46,8384950	-23,5147949	1918	29,7185	56,9431	3074	2270	804
L07241	3	-46,8276070	-23,5252050	1209	0,2481	0,2997	2281	1535	746
L07242	4	-46,8276908	-23,5311294	3891	0,1028	0,3996	6926	4720	2206
L07243	6	-46,8225145	-23,5311847	2638	0,2274	0,5994	4700	3207	1493
L07244	7	-46,8218824	-23,5329965	2163	0,3236	0,6993	3741	2604	1137
L07245	1	-46,8266995	-23,5330649	1779	0,0562	0,0999	3144	2124	1020
L07246	4	-46,8297368	-23,5356589	3883	0,103	0,3996	6552	4587	1965
L07247	7	-46,8242615	-23,5249586	2095	0,3341	0,6993	3680	2512	1168
L07248	81	-46,8379425	-23,5192246	4050	2,0	8,0919	7577	4777	2800
L07249	7	-46,8219162	-23,5395049	2897	0,2416	0,6993	4705	3433	1272
L09602	6	-46,8347526	-23,5443126	4196	0,143	0,5994	7127	5027	2100
L09603	2	-46,8259136	-23,5699415	3862	0,0518	0,1998	6642	4842	1800
L09604	2	-46,8291789	-23,5449730	3268	0,0612	0,1998	5127	3757	1370
L09605	4	-46,8516173	-23,5354320	2173	0,1841	0,3996	3855	2725	1130
L09606	4	-46,8405692	-23,5305760	3477	0,115	0,3996	5702	4128	1574
L09607	2	-46,8242137	-23,5450362	1341	0,1491	0,1998	2304	1639	665
L09608	3	-46,8305845	-23,5510307	3050	0,0984	0,2997	4748	3526	1222
L09609	2	-46,8271422	-23,5608991	4190	0,0477	0,1998	7067	5213	1854
L09610	2	-46,8585421	-23,5316164	2137	0,0936	0,1998	3500	2593	907
L09611	6	-46,8417084	-23,5491435	5896	0,1018	0,5994	9101	6765	2336
L09612	6	-46,8473178	-23,5476478	4172	0,1438	0,5994	6849	4950	1899
L09615	2	-46,8399311	-23,5607204	2912	0,0687	0,1998	4586	3452	1134
L09616	2	-46,8471951	-23,5613996	4254	0,047	0,1998	7123	4987	2136
L09618	1	-46,8360920	-23,5659758	1737	0,0576	0,0999	2688	2036	652
L09619	1	-46,8422873	-23,5377078	2296	0,0436	0,0999	3536	2684	852
L09620	11	-46,8405704	-23,5408212	4099	0,2684	1,0989	6662	4789	1873
L09621	4	-46,8417930	-23,5353410	606	0,6601	0,3996	925	720	205
L09622	5	-46,8521181	-23,5291548	4794	0,1043	0,4995	8033	5736	2297
L09623	8	-46,8469018	-23,5390765	2946	0,2716	0,7992	4699	3537	1162
L09624	1	-46,8338920	-23,5720029	2223	0,045	0,0999	3557	2629	928
L09625	5	-46,8466884	-23,5288828	1601	0,3123	0,4995	2582	1926	656
L09626	7	-46,8227576	-23,5478051	2855	0,2452	0,6993	4750	3543	1207
L09627	9	-46,8336900	-23,5557566	4662	0,1931	0,8991	7947	5431	2516
L09628	4	-46,8455957	-23,5557814	5324	0,0751	0,3996	8702	6292	2410
L09630	5	-46,8550639	-23,5405869	3320	0,1506	0,4995	5050	3840	1210
L09631	8	-46,8339330	-23,5418341	3793	0,2109	0,7992	6045	4427	1618
L09632	2	-46,8168725	-23,5718039	4039	0,0495	0,1998	6488	4889	1599
L09633	4	-46,8458215	-23,5327623	2890	0,1384	0,3996	4741	3453	1288
L09634	4	-46,8428352	-23,5641475	3388	0,1181	0,3996	5786	4113	1673
L09636	4	-46,8595072	-23,5254034	2986	0,134	0,3996	4920	3576	1344
L09637	3	-46,8334655	-23,5559586	1611	0,1862	0,2997	2694	1931	763
L09638	3	-46,8432767	-23,5683393	2105	0,1425	0,2997	3842	2569	1273
L09639	4	-46,8562213	-23,5495863	3229	0,1239	0,3996	5153	3866	1287
L09640	1	-46,8417200	-23,5557559	1412	0,0708	0,0999	2242	1664	578
L09641	2	-46,8325635	-23,5606183	3194	0,0626	0,1998	4898	3772	1126
L09642	2	-46,8510480	-23,5362829	4155	0,0481	0,1998	6695	4858	1837
