cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07230	1	-46,8374316	-23,5237146	3048	0,0328	1,5152	5158	3578	1580
L07231	2	-46,8410039	-23,5179210	1294	0,1546	3,0303	2209	1570	639
L07232	1	-46,8436297	-23,5218979	3178	0,0315	1,5152	5687	3827	1860
L07235	6	-46,8306693	-23,5284722	3034	0,1978	9,0909	5527	3626	1901
L07241	1	-46,8276070	-23,5252050	1209	0,0827	1,5152	2281	1535	746
L07242	1	-46,8276908	-23,5311294	3891	0,0257	1,5152	6926	4720	2206
L07247	1	-46,8242615	-23,5249586	2095	0,0477	1,5152	3680	2512	1168
L09602	3	-46,8347526	-23,5443126	4196	0,0715	4,5455	7127	5027	2100
L09604	3	-46,8291789	-23,5449730	3268	0,0918	4,5455	5127	3757	1370
L09610	1	-46,8585421	-23,5316164	2137	0,0468	1,5152	3500	2593	907
L09611	14	-46,8417084	-23,5491435	5896	0,2374	21,2121	9101	6765	2336
L09612	6	-46,8473178	-23,5476478	4172	0,1438	9,0909	6849	4950	1899
L09616	6	-46,8471951	-23,5613996	4254	0,141	9,0909	7123	4987	2136
L09618	1	-46,8360920	-23,5659758	1737	0,0576	1,5152	2688	2036	652
L09620	1	-46,8405704	-23,5408212	4099	0,0244	1,5152	6662	4789	1873
L09622	2	-46,8521181	-23,5291548	4794	0,0417	3,0303	8033	5736	2297
L09628	4	-46,8455957	-23,5557814	5324	0,0751	6,0606	8702	6292	2410
L09630	1	-46,8550639	-23,5405869	3320	0,0301	1,5152	5050	3840	1210
L09631	4	-46,8339330	-23,5418341	3793	0,1055	6,0606	6045	4427	1618
L09634	2	-46,8428352	-23,5641475	3388	0,059	3,0303	5786	4113	1673
L09638	1	-46,8432767	-23,5683393	2105	0,0475	1,5152	3842	2569	1273
L09640	2	-46,8417200	-23,5557559	1412	0,1416	3,0303	2242	1664	578
L09641	2	-46,8325635	-23,5606183	3194	0,0626	3,0303	4898	3772	1126
