cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07232	1	-46,8436297	-23,5218979	3178	0,0315	2,1277	5687	3827	1860
L07235	2	-46,8306693	-23,5284722	3034	0,0659	4,2553	5527	3626	1901
L07236	1	-46,8477254	-23,5199568	3899	0,0256	2,1277	6927	4570	2357
L07237	1	-46,8372320	-23,5192828	2485	0,0402	2,1277	4539	2870	1669
L07241	1	-46,8276070	-23,5252050	1209	0,0827	2,1277	2281	1535	746
L07244	1	-46,8218824	-23,5329965	2163	0,0462	2,1277	3741	2604	1137
L07247	1	-46,8242615	-23,5249586	2095	0,0477	2,1277	3680	2512	1168
L07248	1	-46,8379425	-23,5192246	4050	0,0247	2,1277	7577	4777	2800
L09603	1	-46,8259136	-23,5699415	3862	0,0259	2,1277	6642	4842	1800
L09604	1	-46,8291789	-23,5449730	3268	0,0306	2,1277	5127	3757	1370
L09608	1	-46,8305845	-23,5510307	3050	0,0328	2,1277	4748	3526	1222
L09610	1	-46,8585421	-23,5316164	2137	0,0468	2,1277	3500	2593	907
L09611	1	-46,8417084	-23,5491435	5896	0,017	2,1277	9101	6765	2336
L09613	2	-46,8483421	-23,5587177	1342	0,149	4,2553	2133	1558	575
L09616	3	-46,8471951	-23,5613996	4254	0,0705	6,383	7123	4987	2136
L09617	2	-46,8201381	-23,5729795	2290	0,0873	4,2553	4196	2987	1209
L09618	1	-46,8360920	-23,5659758	1737	0,0576	2,1277	2688	2036	652
L09619	1	-46,8422873	-23,5377078	2296	0,0436	2,1277	3536	2684	852
L09620	1	-46,8405704	-23,5408212	4099	0,0244	2,1277	6662	4789	1873
L09622	2	-46,8521181	-23,5291548	4794	0,0417	4,2553	8033	5736	2297
L09625	1	-46,8466884	-23,5288828	1601	0,0625	2,1277	2582	1926	656
L09626	3	-46,8227576	-23,5478051	2855	0,1051	6,383	4750	3543	1207
L09627	3	-46,8336900	-23,5557566	4662	0,0644	6,383	7947	5431	2516
L09628	2	-46,8455957	-23,5557814	5324	0,0376	4,2553	8702	6292	2410
L09632	2	-46,8168725	-23,5718039	4039	0,0495	4,2553	6488	4889	1599
L09634	1	-46,8428352	-23,5641475	3388	0,0295	2,1277	5786	4113	1673
L09637	1	-46,8334655	-23,5559586	1611	0,0621	2,1277	2694	1931	763
L09638	1	-46,8432767	-23,5683393	2105	0,0475	2,1277	3842	2569	1273
L09639	3	-46,8562213	-23,5495863	3229	0,0929	6,383	5153	3866	1287
L09641	2	-46,8325635	-23,5606183	3194	0,0626	4,2553	4898	3772	1126
L09642	2	-46,8510480	-23,5362829	4155	0,0481	4,2553	6695	4858	1837
