cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07230	7	-46,8374316	-23,5237146	3048	0,2297	4,4872	5158	3578	1580
L07231	2	-46,8410039	-23,5179210	1294	0,1546	1,2821	2209	1570	639
L07232	4	-46,8436297	-23,5218979	3178	0,1259	2,5641	5687	3827	1860
L07233	2	-46,8251037	-23,5367361	3697	0,0541	1,2821	6162	4450	1712
L07235	6	-46,8306693	-23,5284722	3034	0,1978	3,8462	5527	3626	1901
L07236	7	-46,8477254	-23,5199568	3899	0,1795	4,4872	6927	4570	2357
L07237	5	-46,8372320	-23,5192828	2485	0,2012	3,2051	4539	2870	1669
L07238	4	-46,8355359	-23,5325923	802	0,4988	2,5641	1417	995	422
L07239	2	-46,8225846	-23,5402263	3181	0,0629	1,2821	5416	3908	1508
L07241	4	-46,8276070	-23,5252050	1209	0,3309	2,5641	2281	1535	746
L07242	2	-46,8276908	-23,5311294	3891	0,0514	1,2821	6926	4720	2206
L07243	1	-46,8225145	-23,5311847	2638	0,0379	0,641	4700	3207	1493
L07244	1	-46,8218824	-23,5329965	2163	0,0462	0,641	3741	2604	1137
L07245	2	-46,8266995	-23,5330649	1779	0,1124	1,2821	3144	2124	1020
L07246	8	-46,8297368	-23,5356589	3883	0,206	5,1282	6552	4587	1965
L07248	5	-46,8379425	-23,5192246	4050	0,1235	3,2051	7577	4777	2800
L07249	1	-46,8219162	-23,5395049	2897	0,0345	0,641	4705	3433	1272
L09602	1	-46,8347526	-23,5443126	4196	0,0238	0,641	7127	5027	2100
L09603	4	-46,8259136	-23,5699415	3862	0,1036	2,5641	6642	4842	1800
L09604	1	-46,8291789	-23,5449730	3268	0,0306	0,641	5127	3757	1370
L09605	2	-46,8516173	-23,5354320	2173	0,092	1,2821	3855	2725	1130
L09606	2	-46,8405692	-23,5305760	3477	0,0575	1,2821	5702	4128	1574
L09608	3	-46,8305845	-23,5510307	3050	0,0984	1,9231	4748	3526	1222
L09610	3	-46,8585421	-23,5316164	2137	0,1404	1,9231	3500	2593	907
L09611	2	-46,8417084	-23,5491435	5896	0,0339	1,2821	9101	6765	2336
L09612	4	-46,8473178	-23,5476478	4172	0,0959	2,5641	6849	4950	1899
L09615	1	-46,8399311	-23,5607204	2912	0,0343	0,641	4586	3452	1134
L09616	2	-46,8471951	-23,5613996	4254	0,047	1,2821	7123	4987	2136
L09618	2	-46,8360920	-23,5659758	1737	0,1151	1,2821	2688	2036	652
L09619	3	-46,8422873	-23,5377078	2296	0,1307	1,9231	3536	2684	852
L09620	1	-46,8405704	-23,5408212	4099	0,0244	0,641	6662	4789	1873
L09622	8	-46,8521181	-23,5291548	4794	0,1669	5,1282	8033	5736	2297
L09624	2	-46,8338920	-23,5720029	2223	0,09	1,2821	3557	2629	928
L09625	1	-46,8466884	-23,5288828	1601	0,0625	0,641	2582	1926	656
L09626	3	-46,8227576	-23,5478051	2855	0,1051	1,9231	4750	3543	1207
L09627	5	-46,8336900	-23,5557566	4662	0,1073	3,2051	7947	5431	2516
L09628	5	-46,8455957	-23,5557814	5324	0,0939	3,2051	8702	6292	2410
L09630	3	-46,8550639	-23,5405869	3320	0,0904	1,9231	5050	3840	1210
L09631	3	-46,8339330	-23,5418341	3793	0,0791	1,9231	6045	4427	1618
L09632	4	-46,8168725	-23,5718039	4039	0,099	2,5641	6488	4889	1599
L09633	2	-46,8458215	-23,5327623	2890	0,0692	1,2821	4741	3453	1288
L09634	3	-46,8428352	-23,5641475	3388	0,0885	1,9231	5786	4113	1673
L09636	8	-46,8595072	-23,5254034	2986	0,2679	5,1282	4920	3576	1344
L09637	1	-46,8334655	-23,5559586	1611	0,0621	0,641	2694	1931	763
L09638	3	-46,8432767	-23,5683393	2105	0,1425	1,9231	3842	2569	1273
L09639	3	-46,8562213	-23,5495863	3229	0,0929	1,9231	5153	3866	1287
L09640	2	-46,8417200	-23,5557559	1412	0,1416	1,2821	2242	1664	578
L09641	3	-46,8325635	-23,5606183	3194	0,0939	1,9231	4898	3772	1126
L09642	3	-46,8510480	-23,5362829	4155	0,0722	1,9231	6695	4858	1837
