cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07230	21	-46,8374316	-23,5237146	3048	0,689	0,5932	5158	3578	1580
L07231	14	-46,8410039	-23,5179210	1294	1,0819	0,3955	2209	1570	639
L07232	27	-46,8436297	-23,5218979	3178	0,8496	0,7627	5687	3827	1860
L07233	109	-46,8251037	-23,5367361	3697	2,9483	3,0791	6162	4450	1712
L07234	13	-46,8288616	-23,5268585	1142	1,1384	0,3672	1891	1396	495
L07235	61	-46,8306693	-23,5284722	3034	2,0105	1,7232	5527	3626	1901
L07236	22	-46,8477254	-23,5199568	3899	0,5642	0,6215	6927	4570	2357
L07237	31	-46,8372320	-23,5192828	2485	1,2475	0,8757	4539	2870	1669
L07238	18	-46,8355359	-23,5325923	802	2,2444	0,5085	1417	995	422
L07239	289	-46,8225846	-23,5402263	3181	9,0852	8,1638	5416	3908	1508
L07240	29	-46,8384950	-23,5147949	1918	1,512	0,8192	3074	2270	804
L07241	35	-46,8276070	-23,5252050	1209	2,895	0,9887	2281	1535	746
L07242	53	-46,8276908	-23,5311294	3891	1,3621	1,4972	6926	4720	2206
L07243	58	-46,8225145	-23,5311847	2638	2,1986	1,6384	4700	3207	1493
L07244	35	-46,8218824	-23,5329965	2163	1,6181	0,9887	3741	2604	1137
L07245	32	-46,8266995	-23,5330649	1779	1,7988	0,904	3144	2124	1020
L07246	381	-46,8297368	-23,5356589	3883	9,812	10,7627	6552	4587	1965
L07247	26	-46,8242615	-23,5249586	2095	1,2411	0,7345	3680	2512	1168
L07248	53	-46,8379425	-23,5192246	4050	1,3086	1,4972	7577	4777	2800
L07249	131	-46,8219162	-23,5395049	2897	4,5219	3,7006	4705	3433	1272
L09602	120	-46,8347526	-23,5443126	4196	2,8599	3,3898	7127	5027	2100
L09603	80	-46,8259136	-23,5699415	3862	2,0715	2,2599	6642	4842	1800
L09604	183	-46,8291789	-23,5449730	3268	5,5998	5,1695	5127	3757	1370
L09605	10	-46,8516173	-23,5354320	2173	0,4602	0,2825	3855	2725	1130
L09606	38	-46,8405692	-23,5305760	3477	1,0929	1,0734	5702	4128	1574
L09607	86	-46,8242137	-23,5450362	1341	6,4131	2,4294	2304	1639	665
L09608	44	-46,8305845	-23,5510307	3050	1,4426	1,2429	4748	3526	1222
L09609	91	-46,8271422	-23,5608991	4190	2,1718	2,5706	7067	5213	1854
L09610	17	-46,8585421	-23,5316164	2137	0,7955	0,4802	3500	2593	907
L09611	277	-46,8417084	-23,5491435	5896	4,6981	7,8249	9101	6765	2336
L09612	72	-46,8473178	-23,5476478	4172	1,7258	2,0339	6849	4950	1899
L09613	9	-46,8483421	-23,5587177	1342	0,6706	0,2542	2133	1558	575
L09614	8	-46,8243661	-23,5818486	1635	0,4893	0,226	2636	1879	757
L09615	36	-46,8399311	-23,5607204	2912	1,2363	1,0169	4586	3452	1134
L09616	19	-46,8471951	-23,5613996	4254	0,4466	0,5367	7123	4987	2136
L09617	10	-46,8201381	-23,5729795	2290	0,4367	0,2825	4196	2987	1209
L09618	14	-46,8360920	-23,5659758	1737	0,806	0,3955	2688	2036	652
L09619	27	-46,8422873	-23,5377078	2296	1,176	0,7627	3536	2684	852
L09620	78	-46,8405704	-23,5408212	4099	1,9029	2,2034	6662	4789	1873
L09621	7	-46,8417930	-23,5353410	606	1,1551	0,1977	925	720	205
L09622	27	-46,8521181	-23,5291548	4794	0,5632	0,7627	8033	5736	2297
L09623	30	-46,8469018	-23,5390765	2946	1,0183	0,8475	4699	3537	1162
L09624	43	-46,8338920	-23,5720029	2223	1,9343	1,2147	3557	2629	928
L09625	12	-46,8466884	-23,5288828	1601	0,7495	0,339	2582	1926	656
L09626	68	-46,8227576	-23,5478051	2855	2,3818	1,9209	4750	3543	1207
L09627	51	-46,8336900	-23,5557566	4662	1,094	1,4407	7947	5431	2516
L09628	51	-46,8455957	-23,5557814	5324	0,9579	1,4407	8702	6292	2410
L09629	6	-46,8362590	-23,5665390	1058	0,5671	0,1695	1737	1261	476
L09630	25	-46,8550639	-23,5405869	3320	0,753	0,7062	5050	3840	1210
L09631	262	-46,8339330	-23,5418341	3793	6,9075	7,4011	6045	4427	1618
L09632	9	-46,8168725	-23,5718039	4039	0,2228	0,2542	6488	4889	1599
L09633	31	-46,8458215	-23,5327623	2890	1,0727	0,8757	4741	3453	1288
L09634	40	-46,8428352	-23,5641475	3388	1,1806	1,1299	5786	4113	1673
L09635	17	-46,8355662	-23,5552267	1727	0,9844	0,4802	2757	2047	710
L09636	27	-46,8595072	-23,5254034	2986	0,9042	0,7627	4920	3576	1344
L09637	26	-46,8334655	-23,5559586	1611	1,6139	0,7345	2694	1931	763
L09638	40	-46,8432767	-23,5683393	2105	1,9002	1,1299	3842	2569	1273
L09639	32	-46,8562213	-23,5495863	3229	0,991	0,904	5153	3866	1287
L09640	20	-46,8417200	-23,5557559	1412	1,4164	0,565	2242	1664	578
L09641	41	-46,8325635	-23,5606183	3194	1,2837	1,1582	4898	3772	1126
L09642	18	-46,8510480	-23,5362829	4155	0,4332	0,5085	6695	4858	1837
