cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07230	1	-46,8374316	-23,5237146	3048	0,0328	0,4926	5158	3578	1580
L07231	1	-46,8410039	-23,5179210	1294	0,0773	0,4926	2209	1570	639
L07232	3	-46,8436297	-23,5218979	3178	0,0944	1,4778	5687	3827	1860
L07233	2	-46,8251037	-23,5367361	3697	0,0541	0,9852	6162	4450	1712
L07235	2	-46,8306693	-23,5284722	3034	0,0659	0,9852	5527	3626	1901
L07236	3	-46,8477254	-23,5199568	3899	0,0769	1,4778	6927	4570	2357
L07237	1	-46,8372320	-23,5192828	2485	0,0402	0,4926	4539	2870	1669
L07239	2	-46,8225846	-23,5402263	3181	0,0629	0,9852	5416	3908	1508
L07241	1	-46,8276070	-23,5252050	1209	0,0827	0,4926	2281	1535	746
L07243	5	-46,8225145	-23,5311847	2638	0,1895	2,4631	4700	3207	1493
L07244	2	-46,8218824	-23,5329965	2163	0,0925	0,9852	3741	2604	1137
L07245	3	-46,8266995	-23,5330649	1779	0,1686	1,4778	3144	2124	1020
L07246	2	-46,8297368	-23,5356589	3883	0,0515	0,9852	6552	4587	1965
L07247	2	-46,8242615	-23,5249586	2095	0,0955	0,9852	3680	2512	1168
L07248	2	-46,8379425	-23,5192246	4050	0,0494	0,9852	7577	4777	2800
L07249	3	-46,8219162	-23,5395049	2897	0,1036	1,4778	4705	3433	1272
L09602	3	-46,8347526	-23,5443126	4196	0,0715	1,4778	7127	5027	2100
L09603	4	-46,8259136	-23,5699415	3862	0,1036	1,9704	6642	4842	1800
L09604	4	-46,8291789	-23,5449730	3268	0,1224	1,9704	5127	3757	1370
L09605	5	-46,8516173	-23,5354320	2173	0,2301	2,4631	3855	2725	1130
L09609	2	-46,8271422	-23,5608991	4190	0,0477	0,9852	7067	5213	1854
L09610	2	-46,8585421	-23,5316164	2137	0,0936	0,9852	3500	2593	907
L09611	5	-46,8417084	-23,5491435	5896	0,0848	2,4631	9101	6765	2336
L09612	1	-46,8473178	-23,5476478	4172	0,024	0,4926	6849	4950	1899
L09615	33	-46,8399311	-23,5607204	2912	1,1332	16,2562	4586	3452	1134
L09616	5	-46,8471951	-23,5613996	4254	0,1175	2,4631	7123	4987	2136
L09617	1	-46,8201381	-23,5729795	2290	0,0437	0,4926	4196	2987	1209
L09619	2	-46,8422873	-23,5377078	2296	0,0871	0,9852	3536	2684	852
L09620	3	-46,8405704	-23,5408212	4099	0,0732	1,4778	6662	4789	1873
L09621	2	-46,8417930	-23,5353410	606	0,33	0,9852	925	720	205
L09622	17	-46,8521181	-23,5291548	4794	0,3546	8,3744	8033	5736	2297
L09623	3	-46,8469018	-23,5390765	2946	0,1018	1,4778	4699	3537	1162
L09624	3	-46,8338920	-23,5720029	2223	0,135	1,4778	3557	2629	928
L09625	1	-46,8466884	-23,5288828	1601	0,0625	0,4926	2582	1926	656
L09626	1	-46,8227576	-23,5478051	2855	0,035	0,4926	4750	3543	1207
L09627	13	-46,8336900	-23,5557566	4662	0,2789	6,4039	7947	5431	2516
L09628	2	-46,8455957	-23,5557814	5324	0,0376	0,9852	8702	6292	2410
L09629	1	-46,8362590	-23,5665390	1058	0,0945	0,4926	1737	1261	476
L09630	3	-46,8550639	-23,5405869	3320	0,0904	1,4778	5050	3840	1210
L09631	2	-46,8339330	-23,5418341	3793	0,0527	0,9852	6045	4427	1618
L09632	2	-46,8168725	-23,5718039	4039	0,0495	0,9852	6488	4889	1599
L09633	5	-46,8458215	-23,5327623	2890	0,173	2,4631	4741	3453	1288
L09634	19	-46,8428352	-23,5641475	3388	0,5608	9,3596	5786	4113	1673
L09635	1	-46,8355662	-23,5552267	1727	0,0579	0,4926	2757	2047	710
L09636	2	-46,8595072	-23,5254034	2986	0,067	0,9852	4920	3576	1344
L09637	1	-46,8334655	-23,5559586	1611	0,0621	0,4926	2694	1931	763
L09638	7	-46,8432767	-23,5683393	2105	0,3325	3,4483	3842	2569	1273
L09640	1	-46,8417200	-23,5557559	1412	0,0708	0,4926	2242	1664	578
L09641	10	-46,8325635	-23,5606183	3194	0,3131	4,9261	4898	3772	1126
L09642	2	-46,8510480	-23,5362829	4155	0,0481	0,9852	6695	4858	1837
