cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07230	10	-46,8374316	-23,5237146	3048	0,3281	8,1967	5158	3578	1580
L07231	1	-46,8410039	-23,5179210	1294	0,0773	0,8197	2209	1570	639
L07233	3	-46,8251037	-23,5367361	3697	0,0811	2,459	6162	4450	1712
L07235	7	-46,8306693	-23,5284722	3034	0,2307	5,7377	5527	3626	1901
L07237	4	-46,8372320	-23,5192828	2485	0,161	3,2787	4539	2870	1669
L07238	1	-46,8355359	-23,5325923	802	0,1247	0,8197	1417	995	422
L07239	2	-46,8225846	-23,5402263	3181	0,0629	1,6393	5416	3908	1508
L07242	4	-46,8276908	-23,5311294	3891	0,1028	3,2787	6926	4720	2206
L07243	1	-46,8225145	-23,5311847	2638	0,0379	0,8197	4700	3207	1493
L07245	2	-46,8266995	-23,5330649	1779	0,1124	1,6393	3144	2124	1020
L07246	1	-46,8297368	-23,5356589	3883	0,0258	0,8197	6552	4587	1965
L07248	5	-46,8379425	-23,5192246	4050	0,1235	4,0984	7577	4777	2800
L07249	6	-46,8219162	-23,5395049	2897	0,2071	4,918	4705	3433	1272
L09602	3	-46,8347526	-23,5443126	4196	0,0715	2,459	7127	5027	2100
L09603	8	-46,8259136	-23,5699415	3862	0,2071	6,5574	6642	4842	1800
L09604	2	-46,8291789	-23,5449730	3268	0,0612	1,6393	5127	3757	1370
L09605	2	-46,8516173	-23,5354320	2173	0,092	1,6393	3855	2725	1130
L09606	1	-46,8405692	-23,5305760	3477	0,0288	0,8197	5702	4128	1574
L09607	2	-46,8242137	-23,5450362	1341	0,1491	1,6393	2304	1639	665
L09608	1	-46,8305845	-23,5510307	3050	0,0328	0,8197	4748	3526	1222
L09611	9	-46,8417084	-23,5491435	5896	0,1526	7,377	9101	6765	2336
L09612	3	-46,8473178	-23,5476478	4172	0,0719	2,459	6849	4950	1899
L09614	1	-46,8243661	-23,5818486	1635	0,0612	0,8197	2636	1879	757
L09615	1	-46,8399311	-23,5607204	2912	0,0343	0,8197	4586	3452	1134
L09616	2	-46,8471951	-23,5613996	4254	0,047	1,6393	7123	4987	2136
L09617	1	-46,8201381	-23,5729795	2290	0,0437	0,8197	4196	2987	1209
L09618	1	-46,8360920	-23,5659758	1737	0,0576	0,8197	2688	2036	652
L09619	3	-46,8422873	-23,5377078	2296	0,1307	2,459	3536	2684	852
L09620	1	-46,8405704	-23,5408212	4099	0,0244	0,8197	6662	4789	1873
L09622	3	-46,8521181	-23,5291548	4794	0,0626	2,459	8033	5736	2297
L09623	1	-46,8469018	-23,5390765	2946	0,0339	0,8197	4699	3537	1162
L09624	1	-46,8338920	-23,5720029	2223	0,045	0,8197	3557	2629	928
L09625	2	-46,8466884	-23,5288828	1601	0,1249	1,6393	2582	1926	656
L09627	2	-46,8336900	-23,5557566	4662	0,0429	1,6393	7947	5431	2516
L09628	5	-46,8455957	-23,5557814	5324	0,0939	4,0984	8702	6292	2410
L09630	1	-46,8550639	-23,5405869	3320	0,0301	0,8197	5050	3840	1210
L09631	2	-46,8339330	-23,5418341	3793	0,0527	1,6393	6045	4427	1618
L09632	3	-46,8168725	-23,5718039	4039	0,0743	2,459	6488	4889	1599
L09634	1	-46,8428352	-23,5641475	3388	0,0295	0,8197	5786	4113	1673
L09636	3	-46,8595072	-23,5254034	2986	0,1005	2,459	4920	3576	1344
L09637	2	-46,8334655	-23,5559586	1611	0,1241	1,6393	2694	1931	763
L09639	1	-46,8562213	-23,5495863	3229	0,031	0,8197	5153	3866	1287
L09641	3	-46,8325635	-23,5606183	3194	0,0939	2,459	4898	3772	1126
L09642	4	-46,8510480	-23,5362829	4155	0,0963	3,2787	6695	4858	1837
