cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07230	45	-46,8374316	-23,5237146	3048	1,4764	4,0984	5158	3578	1580
L07231	32	-46,8410039	-23,5179210	1294	2,473	2,9144	2209	1570	639
L07232	91	-46,8436297	-23,5218979	3178	2,8634	8,2878	5687	3827	1860
L07233	36	-46,8251037	-23,5367361	3697	0,9738	3,2787	6162	4450	1712
L07234	15	-46,8288616	-23,5268585	1142	1,3135	1,3661	1891	1396	495
L07235	23	-46,8306693	-23,5284722	3034	0,7581	2,0947	5527	3626	1901
L07236	50	-46,8477254	-23,5199568	3899	1,2824	4,5537	6927	4570	2357
L07237	21	-46,8372320	-23,5192828	2485	0,8451	1,9126	4539	2870	1669
L07238	9	-46,8355359	-23,5325923	802	1,1222	0,8197	1417	995	422
L07239	8	-46,8225846	-23,5402263	3181	0,2515	0,7286	5416	3908	1508
L07240	18	-46,8384950	-23,5147949	1918	0,9385	1,6393	3074	2270	804
L07241	13	-46,8276070	-23,5252050	1209	1,0753	1,184	2281	1535	746
L07242	25	-46,8276908	-23,5311294	3891	0,6425	2,2769	6926	4720	2206
L07243	18	-46,8225145	-23,5311847	2638	0,6823	1,6393	4700	3207	1493
L07244	16	-46,8218824	-23,5329965	2163	0,7397	1,4572	3741	2604	1137
L07245	4	-46,8266995	-23,5330649	1779	0,2248	0,3643	3144	2124	1020
L07246	23	-46,8297368	-23,5356589	3883	0,5923	2,0947	6552	4587	1965
L07247	6	-46,8242615	-23,5249586	2095	0,2864	0,5464	3680	2512	1168
L07248	67	-46,8379425	-23,5192246	4050	1,6543	6,102	7577	4777	2800
L07249	10	-46,8219162	-23,5395049	2897	0,3452	0,9107	4705	3433	1272
L09602	19	-46,8347526	-23,5443126	4196	0,4528	1,7304	7127	5027	2100
L09603	21	-46,8259136	-23,5699415	3862	0,5438	1,9126	6642	4842	1800
L09604	12	-46,8291789	-23,5449730	3268	0,3672	1,0929	5127	3757	1370
L09605	19	-46,8516173	-23,5354320	2173	0,8744	1,7304	3855	2725	1130
L09606	19	-46,8405692	-23,5305760	3477	0,5464	1,7304	5702	4128	1574
L09607	9	-46,8242137	-23,5450362	1341	0,6711	0,8197	2304	1639	665
L09608	4	-46,8305845	-23,5510307	3050	0,1311	0,3643	4748	3526	1222
L09609	18	-46,8271422	-23,5608991	4190	0,4296	1,6393	7067	5213	1854
L09610	20	-46,8585421	-23,5316164	2137	0,9359	1,8215	3500	2593	907
L09611	10	-46,8417084	-23,5491435	5896	0,1696	0,9107	9101	6765	2336
L09612	16	-46,8473178	-23,5476478	4172	0,3835	1,4572	6849	4950	1899
L09613	5	-46,8483421	-23,5587177	1342	0,3726	0,4554	2133	1558	575
L09614	4	-46,8243661	-23,5818486	1635	0,2446	0,3643	2636	1879	757
L09615	7	-46,8399311	-23,5607204	2912	0,2404	0,6375	4586	3452	1134
L09616	9	-46,8471951	-23,5613996	4254	0,2116	0,8197	7123	4987	2136
L09617	10	-46,8201381	-23,5729795	2290	0,4367	0,9107	4196	2987	1209
L09618	4	-46,8360920	-23,5659758	1737	0,2303	0,3643	2688	2036	652
L09619	6	-46,8422873	-23,5377078	2296	0,2613	0,5464	3536	2684	852
L09620	13	-46,8405704	-23,5408212	4099	0,3172	1,184	6662	4789	1873
L09621	4	-46,8417930	-23,5353410	606	0,6601	0,3643	925	720	205
L09622	39	-46,8521181	-23,5291548	4794	0,8135	3,5519	8033	5736	2297
L09623	14	-46,8469018	-23,5390765	2946	0,4752	1,275	4699	3537	1162
L09624	11	-46,8338920	-23,5720029	2223	0,4948	1,0018	3557	2629	928
L09625	26	-46,8466884	-23,5288828	1601	1,624	2,3679	2582	1926	656
L09626	17	-46,8227576	-23,5478051	2855	0,5954	1,5483	4750	3543	1207
L09627	16	-46,8336900	-23,5557566	4662	0,3432	1,4572	7947	5431	2516
L09628	14	-46,8455957	-23,5557814	5324	0,263	1,275	8702	6292	2410
L09629	1	-46,8362590	-23,5665390	1058	0,0945	0,0911	1737	1261	476
L09630	23	-46,8550639	-23,5405869	3320	0,6928	2,0947	5050	3840	1210
L09631	17	-46,8339330	-23,5418341	3793	0,4482	1,5483	6045	4427	1618
L09632	17	-46,8168725	-23,5718039	4039	0,4209	1,5483	6488	4889	1599
L09633	14	-46,8458215	-23,5327623	2890	0,4844	1,275	4741	3453	1288
L09634	14	-46,8428352	-23,5641475	3388	0,4132	1,275	5786	4113	1673
L09635	8	-46,8355662	-23,5552267	1727	0,4632	0,7286	2757	2047	710
L09636	31	-46,8595072	-23,5254034	2986	1,0382	2,8233	4920	3576	1344
L09637	2	-46,8334655	-23,5559586	1611	0,1241	0,1821	2694	1931	763
L09638	22	-46,8432767	-23,5683393	2105	1,0451	2,0036	3842	2569	1273
L09639	16	-46,8562213	-23,5495863	3229	0,4955	1,4572	5153	3866	1287
L09640	6	-46,8417200	-23,5557559	1412	0,4249	0,5464	2242	1664	578
L09641	14	-46,8325635	-23,5606183	3194	0,4383	1,275	4898	3772	1126
L09642	17	-46,8510480	-23,5362829	4155	0,4091	1,5483	6695	4858	1837
