cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07239	2	-46,8225846	-23,5402263	3181	0,0629	2,7397	5416	3908	1508
L07242	2	-46,8276908	-23,5311294	3891	0,0514	2,7397	6926	4720	2206
L07243	1	-46,8225145	-23,5311847	2638	0,0379	1,3699	4700	3207	1493
L07244	1	-46,8218824	-23,5329965	2163	0,0462	1,3699	3741	2604	1137
L07245	3	-46,8266995	-23,5330649	1779	0,1686	4,1096	3144	2124	1020
L07246	1	-46,8297368	-23,5356589	3883	0,0258	1,3699	6552	4587	1965
L07248	3	-46,8379425	-23,5192246	4050	0,0741	4,1096	7577	4777	2800
L07249	1	-46,8219162	-23,5395049	2897	0,0345	1,3699	4705	3433	1272
L09602	5	-46,8347526	-23,5443126	4196	0,1192	6,8493	7127	5027	2100
L09608	1	-46,8305845	-23,5510307	3050	0,0328	1,3699	4748	3526	1222
L09611	5	-46,8417084	-23,5491435	5896	0,0848	6,8493	9101	6765	2336
L09612	25	-46,8473178	-23,5476478	4172	0,5992	34,2466	6849	4950	1899
L09615	1	-46,8399311	-23,5607204	2912	0,0343	1,3699	4586	3452	1134
L09616	1	-46,8471951	-23,5613996	4254	0,0235	1,3699	7123	4987	2136
L09620	2	-46,8405704	-23,5408212	4099	0,0488	2,7397	6662	4789	1873
L09622	2	-46,8521181	-23,5291548	4794	0,0417	2,7397	8033	5736	2297
L09627	1	-46,8336900	-23,5557566	4662	0,0215	1,3699	7947	5431	2516
L09628	3	-46,8455957	-23,5557814	5324	0,0563	4,1096	8702	6292	2410
L09634	1	-46,8428352	-23,5641475	3388	0,0295	1,3699	5786	4113	1673
L09635	3	-46,8355662	-23,5552267	1727	0,1737	4,1096	2757	2047	710
L09637	1	-46,8334655	-23,5559586	1611	0,0621	1,3699	2694	1931	763
L09639	5	-46,8562213	-23,5495863	3229	0,1548	6,8493	5153	3866	1287
L09640	1	-46,8417200	-23,5557559	1412	0,0708	1,3699	2242	1664	578
L09641	2	-46,8325635	-23,5606183	3194	0,0626	2,7397	4898	3772	1126
