cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07237	1	-46,8372320	-23,5192828	2485	0,0402	1,6129	4539	2870	1669
L07245	2	-46,8266995	-23,5330649	1779	0,1124	3,2258	3144	2124	1020
L07246	2	-46,8297368	-23,5356589	3883	0,0515	3,2258	6552	4587	1965
L09602	1	-46,8347526	-23,5443126	4196	0,0238	1,6129	7127	5027	2100
L09603	17	-46,8259136	-23,5699415	3862	0,4402	27,4194	6642	4842	1800
L09604	1	-46,8291789	-23,5449730	3268	0,0306	1,6129	5127	3757	1370
L09606	2	-46,8405692	-23,5305760	3477	0,0575	3,2258	5702	4128	1574
L09609	20	-46,8271422	-23,5608991	4190	0,4773	32,2581	7067	5213	1854
L09614	2	-46,8243661	-23,5818486	1635	0,1223	3,2258	2636	1879	757
L09617	1	-46,8201381	-23,5729795	2290	0,0437	1,6129	4196	2987	1209
L09624	7	-46,8338920	-23,5720029	2223	0,3149	11,2903	3557	2629	928
L09632	1	-46,8168725	-23,5718039	4039	0,0248	1,6129	6488	4889	1599
L09633	1	-46,8458215	-23,5327623	2890	0,0346	1,6129	4741	3453	1288
L09638	3	-46,8432767	-23,5683393	2105	0,1425	4,8387	3842	2569	1273
L09640	1	-46,8417200	-23,5557559	1412	0,0708	1,6129	2242	1664	578
