cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07230	2	-46,8374316	-23,5237146	3048	0,0656	0,3738	5158	3578	1580
L07232	1	-46,8436297	-23,5218979	3178	0,0315	0,1869	5687	3827	1860
L07233	1	-46,8251037	-23,5367361	3697	0,027	0,1869	6162	4450	1712
L07234	2	-46,8288616	-23,5268585	1142	0,1751	0,3738	1891	1396	495
L07235	4	-46,8306693	-23,5284722	3034	0,1318	0,7477	5527	3626	1901
L07236	1	-46,8477254	-23,5199568	3899	0,0256	0,1869	6927	4570	2357
L07237	6	-46,8372320	-23,5192828	2485	0,2414	1,1215	4539	2870	1669
L07238	3	-46,8355359	-23,5325923	802	0,3741	0,5607	1417	995	422
L07239	15	-46,8225846	-23,5402263	3181	0,4715	2,8037	5416	3908	1508
L07240	2	-46,8384950	-23,5147949	1918	0,1043	0,3738	3074	2270	804
L07241	2	-46,8276070	-23,5252050	1209	0,1654	0,3738	2281	1535	746
L07242	3	-46,8276908	-23,5311294	3891	0,0771	0,5607	6926	4720	2206
L07243	2	-46,8225145	-23,5311847	2638	0,0758	0,3738	4700	3207	1493
L07244	5	-46,8218824	-23,5329965	2163	0,2312	0,9346	3741	2604	1137
L07245	7	-46,8266995	-23,5330649	1779	0,3935	1,3084	3144	2124	1020
L07246	13	-46,8297368	-23,5356589	3883	0,3348	2,4299	6552	4587	1965
L07247	6	-46,8242615	-23,5249586	2095	0,2864	1,1215	3680	2512	1168
L07248	6	-46,8379425	-23,5192246	4050	0,1481	1,1215	7577	4777	2800
L07249	8	-46,8219162	-23,5395049	2897	0,2761	1,4953	4705	3433	1272
L09602	154	-46,8347526	-23,5443126	4196	3,6702	28,785	7127	5027	2100
L09603	3	-46,8259136	-23,5699415	3862	0,0777	0,5607	6642	4842	1800
L09604	54	-46,8291789	-23,5449730	3268	1,6524	10,0935	5127	3757	1370
L09605	2	-46,8516173	-23,5354320	2173	0,092	0,3738	3855	2725	1130
L09606	2	-46,8405692	-23,5305760	3477	0,0575	0,3738	5702	4128	1574
L09607	5	-46,8242137	-23,5450362	1341	0,3729	0,9346	2304	1639	665
L09608	10	-46,8305845	-23,5510307	3050	0,3279	1,8692	4748	3526	1222
L09609	6	-46,8271422	-23,5608991	4190	0,1432	1,1215	7067	5213	1854
L09611	11	-46,8417084	-23,5491435	5896	0,1866	2,0561	9101	6765	2336
L09612	9	-46,8473178	-23,5476478	4172	0,2157	1,6822	6849	4950	1899
L09613	3	-46,8483421	-23,5587177	1342	0,2235	0,5607	2133	1558	575
L09614	1	-46,8243661	-23,5818486	1635	0,0612	0,1869	2636	1879	757
L09616	6	-46,8471951	-23,5613996	4254	0,141	1,1215	7123	4987	2136
L09617	3	-46,8201381	-23,5729795	2290	0,131	0,5607	4196	2987	1209
L09619	6	-46,8422873	-23,5377078	2296	0,2613	1,1215	3536	2684	852
L09620	30	-46,8405704	-23,5408212	4099	0,7319	5,6075	6662	4789	1873
L09621	3	-46,8417930	-23,5353410	606	0,495	0,5607	925	720	205
L09622	1	-46,8521181	-23,5291548	4794	0,0209	0,1869	8033	5736	2297
L09623	6	-46,8469018	-23,5390765	2946	0,2037	1,1215	4699	3537	1162
L09624	2	-46,8338920	-23,5720029	2223	0,09	0,3738	3557	2629	928
L09626	2	-46,8227576	-23,5478051	2855	0,0701	0,3738	4750	3543	1207
L09627	7	-46,8336900	-23,5557566	4662	0,1502	1,3084	7947	5431	2516
L09628	13	-46,8455957	-23,5557814	5324	0,2442	2,4299	8702	6292	2410
L09630	2	-46,8550639	-23,5405869	3320	0,0602	0,3738	5050	3840	1210
L09631	88	-46,8339330	-23,5418341	3793	2,3201	16,4486	6045	4427	1618
L09633	1	-46,8458215	-23,5327623	2890	0,0346	0,1869	4741	3453	1288
L09634	2	-46,8428352	-23,5641475	3388	0,059	0,3738	5786	4113	1673
L09635	4	-46,8355662	-23,5552267	1727	0,2316	0,7477	2757	2047	710
L09637	1	-46,8334655	-23,5559586	1611	0,0621	0,1869	2694	1931	763
L09639	4	-46,8562213	-23,5495863	3229	0,1239	0,7477	5153	3866	1287
L09640	1	-46,8417200	-23,5557559	1412	0,0708	0,1869	2242	1664	578
L09641	1	-46,8325635	-23,5606183	3194	0,0313	0,1869	4898	3772	1126
L09642	3	-46,8510480	-23,5362829	4155	0,0722	0,5607	6695	4858	1837
