cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07230	3	-46,8374316	-23,5237146	3048	0,0984	1,5075	5158	3578	1580
L07231	2	-46,8410039	-23,5179210	1294	0,1546	1,005	2209	1570	639
L07232	1	-46,8436297	-23,5218979	3178	0,0315	0,5025	5687	3827	1860
L07233	6	-46,8251037	-23,5367361	3697	0,1623	3,0151	6162	4450	1712
L07234	4	-46,8288616	-23,5268585	1142	0,3503	2,0101	1891	1396	495
L07237	3	-46,8372320	-23,5192828	2485	0,1207	1,5075	4539	2870	1669
L07238	1	-46,8355359	-23,5325923	802	0,1247	0,5025	1417	995	422
L07239	3	-46,8225846	-23,5402263	3181	0,0943	1,5075	5416	3908	1508
L07240	2	-46,8384950	-23,5147949	1918	0,1043	1,005	3074	2270	804
L07242	2	-46,8276908	-23,5311294	3891	0,0514	1,005	6926	4720	2206
L07243	1	-46,8225145	-23,5311847	2638	0,0379	0,5025	4700	3207	1493
L07245	1	-46,8266995	-23,5330649	1779	0,0562	0,5025	3144	2124	1020
L07246	9	-46,8297368	-23,5356589	3883	0,2318	4,5226	6552	4587	1965
L07247	2	-46,8242615	-23,5249586	2095	0,0955	1,005	3680	2512	1168
L07248	9	-46,8379425	-23,5192246	4050	0,2222	4,5226	7577	4777	2800
L07249	1	-46,8219162	-23,5395049	2897	0,0345	0,5025	4705	3433	1272
L09602	12	-46,8347526	-23,5443126	4196	0,286	6,0302	7127	5027	2100
L09603	4	-46,8259136	-23,5699415	3862	0,1036	2,0101	6642	4842	1800
L09604	8	-46,8291789	-23,5449730	3268	0,2448	4,0201	5127	3757	1370
L09605	4	-46,8516173	-23,5354320	2173	0,1841	2,0101	3855	2725	1130
L09606	3	-46,8405692	-23,5305760	3477	0,0863	1,5075	5702	4128	1574
L09607	4	-46,8242137	-23,5450362	1341	0,2983	2,0101	2304	1639	665
L09608	1	-46,8305845	-23,5510307	3050	0,0328	0,5025	4748	3526	1222
L09609	3	-46,8271422	-23,5608991	4190	0,0716	1,5075	7067	5213	1854
L09610	2	-46,8585421	-23,5316164	2137	0,0936	1,005	3500	2593	907
L09611	6	-46,8417084	-23,5491435	5896	0,1018	3,0151	9101	6765	2336
L09612	16	-46,8473178	-23,5476478	4172	0,3835	8,0402	6849	4950	1899
L09615	1	-46,8399311	-23,5607204	2912	0,0343	0,5025	4586	3452	1134
L09616	3	-46,8471951	-23,5613996	4254	0,0705	1,5075	7123	4987	2136
L09617	5	-46,8201381	-23,5729795	2290	0,2183	2,5126	4196	2987	1209
L09618	1	-46,8360920	-23,5659758	1737	0,0576	0,5025	2688	2036	652
L09619	6	-46,8422873	-23,5377078	2296	0,2613	3,0151	3536	2684	852
L09620	15	-46,8405704	-23,5408212	4099	0,3659	7,5377	6662	4789	1873
L09622	4	-46,8521181	-23,5291548	4794	0,0834	2,0101	8033	5736	2297
L09623	2	-46,8469018	-23,5390765	2946	0,0679	1,005	4699	3537	1162
L09625	3	-46,8466884	-23,5288828	1601	0,1874	1,5075	2582	1926	656
L09626	6	-46,8227576	-23,5478051	2855	0,2102	3,0151	4750	3543	1207
L09627	8	-46,8336900	-23,5557566	4662	0,1716	4,0201	7947	5431	2516
L09628	3	-46,8455957	-23,5557814	5324	0,0563	1,5075	8702	6292	2410
L09629	1	-46,8362590	-23,5665390	1058	0,0945	0,5025	1737	1261	476
L09630	1	-46,8550639	-23,5405869	3320	0,0301	0,5025	5050	3840	1210
L09631	8	-46,8339330	-23,5418341	3793	0,2109	4,0201	6045	4427	1618
L09632	1	-46,8168725	-23,5718039	4039	0,0248	0,5025	6488	4889	1599
L09633	8	-46,8458215	-23,5327623	2890	0,2768	4,0201	4741	3453	1288
L09634	2	-46,8428352	-23,5641475	3388	0,059	1,005	5786	4113	1673
L09635	2	-46,8355662	-23,5552267	1727	0,1158	1,005	2757	2047	710
L09636	2	-46,8595072	-23,5254034	2986	0,067	1,005	4920	3576	1344
L09638	1	-46,8432767	-23,5683393	2105	0,0475	0,5025	3842	2569	1273
L09639	1	-46,8562213	-23,5495863	3229	0,031	0,5025	5153	3866	1287
L09640	1	-46,8417200	-23,5557559	1412	0,0708	0,5025	2242	1664	578
L09641	1	-46,8325635	-23,5606183	3194	0,0313	0,5025	4898	3772	1126
