cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07231	2	-46,8410039	-23,5179210	1294	0,1546	0,5249	2209	1570	639
L07232	3	-46,8436297	-23,5218979	3178	0,0944	0,7874	5687	3827	1860
L07234	1	-46,8288616	-23,5268585	1142	0,0876	0,2625	1891	1396	495
L07235	1	-46,8306693	-23,5284722	3034	0,033	0,2625	5527	3626	1901
L07236	3	-46,8477254	-23,5199568	3899	0,0769	0,7874	6927	4570	2357
L07237	1	-46,8372320	-23,5192828	2485	0,0402	0,2625	4539	2870	1669
L07239	4	-46,8225846	-23,5402263	3181	0,1257	1,0499	5416	3908	1508
L07242	2	-46,8276908	-23,5311294	3891	0,0514	0,5249	6926	4720	2206
L07243	1	-46,8225145	-23,5311847	2638	0,0379	0,2625	4700	3207	1493
L07245	2	-46,8266995	-23,5330649	1779	0,1124	0,5249	3144	2124	1020
L07246	5	-46,8297368	-23,5356589	3883	0,1288	1,3123	6552	4587	1965
L07248	2	-46,8379425	-23,5192246	4050	0,0494	0,5249	7577	4777	2800
L07249	1	-46,8219162	-23,5395049	2897	0,0345	0,2625	4705	3433	1272
L09602	4	-46,8347526	-23,5443126	4196	0,0953	1,0499	7127	5027	2100
L09603	9	-46,8259136	-23,5699415	3862	0,233	2,3622	6642	4842	1800
L09604	2	-46,8291789	-23,5449730	3268	0,0612	0,5249	5127	3757	1370
L09605	1	-46,8516173	-23,5354320	2173	0,046	0,2625	3855	2725	1130
L09606	2	-46,8405692	-23,5305760	3477	0,0575	0,5249	5702	4128	1574
L09608	6	-46,8305845	-23,5510307	3050	0,1967	1,5748	4748	3526	1222
L09609	5	-46,8271422	-23,5608991	4190	0,1193	1,3123	7067	5213	1854
L09611	4	-46,8417084	-23,5491435	5896	0,0678	1,0499	9101	6765	2336
L09612	1	-46,8473178	-23,5476478	4172	0,024	0,2625	6849	4950	1899
L09613	11	-46,8483421	-23,5587177	1342	0,8197	2,8871	2133	1558	575
L09614	5	-46,8243661	-23,5818486	1635	0,3058	1,3123	2636	1879	757
L09615	32	-46,8399311	-23,5607204	2912	1,0989	8,399	4586	3452	1134
L09616	30	-46,8471951	-23,5613996	4254	0,7052	7,874	7123	4987	2136
L09617	2	-46,8201381	-23,5729795	2290	0,0873	0,5249	4196	2987	1209
L09618	11	-46,8360920	-23,5659758	1737	0,6333	2,8871	2688	2036	652
L09620	1	-46,8405704	-23,5408212	4099	0,0244	0,2625	6662	4789	1873
L09622	7	-46,8521181	-23,5291548	4794	0,146	1,8373	8033	5736	2297
L09624	2	-46,8338920	-23,5720029	2223	0,09	0,5249	3557	2629	928
L09625	2	-46,8466884	-23,5288828	1601	0,1249	0,5249	2582	1926	656
L09627	28	-46,8336900	-23,5557566	4662	0,6006	7,3491	7947	5431	2516
L09628	8	-46,8455957	-23,5557814	5324	0,1503	2,0997	8702	6292	2410
L09629	1	-46,8362590	-23,5665390	1058	0,0945	0,2625	1737	1261	476
L09630	2	-46,8550639	-23,5405869	3320	0,0602	0,5249	5050	3840	1210
L09631	2	-46,8339330	-23,5418341	3793	0,0527	0,5249	6045	4427	1618
L09632	2	-46,8168725	-23,5718039	4039	0,0495	0,5249	6488	4889	1599
L09633	5	-46,8458215	-23,5327623	2890	0,173	1,3123	4741	3453	1288
L09634	123	-46,8428352	-23,5641475	3388	3,6305	32,2835	5786	4113	1673
L09635	1	-46,8355662	-23,5552267	1727	0,0579	0,2625	2757	2047	710
L09636	3	-46,8595072	-23,5254034	2986	0,1005	0,7874	4920	3576	1344
L09637	3	-46,8334655	-23,5559586	1611	0,1862	0,7874	2694	1931	763
L09638	14	-46,8432767	-23,5683393	2105	0,6651	3,6745	3842	2569	1273
L09639	4	-46,8562213	-23,5495863	3229	0,1239	1,0499	5153	3866	1287
L09640	2	-46,8417200	-23,5557559	1412	0,1416	0,5249	2242	1664	578
L09641	16	-46,8325635	-23,5606183	3194	0,5009	4,1995	4898	3772	1126
L09642	2	-46,8510480	-23,5362829	4155	0,0481	0,5249	6695	4858	1837
