cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L05188	7	-46,9121525	-23,6050240	101	6,9307	0,0888	161	117	44
L05189	36	-46,9180778	-23,6092968	750	4,8	0,4564	1045	846	199
L05190	58	-46,9217739	-23,6091505	710	8,169	0,7354	1056	825	231
L05191	420	-46,8390738	-23,5950788	3380	12,426	5,3252	6683	4408	2275
L05192	213	-46,8631937	-23,5945320	1977	10,7739	2,7006	3707	2560	1147
L05193	244	-46,9261424	-23,6070736	3961	6,1601	3,0937	6352	4582	1770
L05194	169	-46,9070145	-23,5955904	2456	6,8811	2,1428	3655	2824	831
L05195	148	-46,8161498	-23,5910620	1350	10,963	1,8765	2272	1722	550
L05196	59	-46,9291070	-23,6200626	1089	5,4178	0,7481	1583	1261	322
L05197	148	-46,9107336	-23,6046372	2346	6,3086	1,8765	3581	2725	856
L05198	139	-46,8200597	-23,5863506	1467	9,4751	1,7624	2424	1826	598
L05199	85	-46,9309921	-23,6118204	1511	5,6254	1,0777	2214	1746	468
L05200	85	-46,8802116	-23,5992447	1056	8,0492	1,0777	1656	1287	369
L05201	148	-46,9373874	-23,6195813	2814	5,2594	1,8765	3872	3147	725
L05202	200	-46,9085445	-23,6009928	3358	5,9559	2,5358	5278	3874	1404
L05203	182	-46,8756714	-23,6018150	2561	7,1066	2,3076	3943	3011	932
L05204	88	-46,8462846	-23,5894198	971	9,0628	1,1158	1650	1220	430
L05205	137	-46,8919929	-23,6036479	1574	8,7039	1,737	2471	1950	521
L05206	82	-46,8554244	-23,6027864	1200	6,8333	1,0397	2048	1510	538
L05207	83	-46,9150347	-23,5973565	1774	4,6787	1,0524	2489	1948	541
L05208	193	-46,9306414	-23,6087627	2779	6,9449	2,4471	3987	3208	779
L05209	194	-46,8381782	-23,5942303	2190	8,8584	2,4597	4305	2749	1556
L05210	128	-46,9198313	-23,6074634	2271	5,6363	1,6229	3480	2634	846
L05211	18	-46,8965555	-23,6070888	235	7,6596	0,2282	312	274	38
L05212	142	-46,9150877	-23,6871013	1351	10,5107	1,8004	2162	1675	487
L05213	53	-46,8361040	-23,6130260	457	11,5974	0,672	768	584	184
L05214	233	-46,9181818	-23,5798883	3954	5,8928	2,9542	5674	4561	1113
L05215	148	-46,8556618	-23,6024939	1536	9,6354	1,8765	2478	1912	566
L05216	112	-46,9108961	-23,6051852	1752	6,3927	1,4201	2617	2046	571
