cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L05188	43	-46,9121525	-23,6050240	101	42,5743	0,0831	161	117	44
L05189	387	-46,9180778	-23,6092968	750	51,6	0,7478	1045	846	199
L05190	355	-46,9217739	-23,6091505	710	50,0	0,686	1056	825	231
L05191	997	-46,8390738	-23,5950788	3380	29,497	1,9266	6683	4408	2275
L05192	359	-46,8631937	-23,5945320	1977	18,1588	0,6937	3707	2560	1147
L05193	1934	-46,9261424	-23,6070736	3961	48,8261	3,7373	6352	4582	1770
L05194	1242	-46,9070145	-23,5955904	2456	50,57	2,4	3655	2824	831
L05195	417	-46,8161498	-23,5910620	1350	30,8889	0,8058	2272	1722	550
L05196	504	-46,9291070	-23,6200626	1089	46,281	0,9739	1583	1261	322
L05197	1156	-46,9107336	-23,6046372	2346	49,2754	2,2339	3581	2725	856
L05198	516	-46,8200597	-23,5863506	1467	35,1738	0,9971	2424	1826	598
L05199	756	-46,9309921	-23,6118204	1511	50,0331	1,4609	2214	1746	468
L05200	578	-46,8802116	-23,5992447	1056	54,7348	1,1169	1656	1287	369
L05201	1438	-46,9373874	-23,6195813	2814	51,1016	2,7788	3872	3147	725
L05202	1600	-46,9085445	-23,6009928	3358	47,6474	3,0918	5278	3874	1404
L05203	1304	-46,8756714	-23,6018150	2561	50,9176	2,5199	3943	3011	932
L05204	339	-46,8462846	-23,5894198	971	34,9125	0,6551	1650	1220	430
L05205	743	-46,8919929	-23,6036479	1574	47,2046	1,4358	2471	1950	521
L05206	507	-46,8554244	-23,6027864	1200	42,25	0,9797	2048	1510	538
L05207	1021	-46,9150347	-23,5973565	1774	57,5536	1,973	2489	1948	541
L05208	1443	-46,9306414	-23,6087627	2779	51,9252	2,7885	3987	3208	779
L05209	788	-46,8381782	-23,5942303	2190	35,9817	1,5227	4305	2749	1556
L05210	1110	-46,9198313	-23,6074634	2271	48,8771	2,145	3480	2634	846
L05211	137	-46,8965555	-23,6070888	235	58,2979	0,2647	312	274	38
L05212	218	-46,9150877	-23,6871013	1351	16,1362	0,4213	2162	1675	487
L05213	200	-46,8361040	-23,6130260	457	43,7637	0,3865	768	584	184
L05214	2071	-46,9181818	-23,5798883	3954	52,3773	4,002	5674	4561	1113
L05215	646	-46,8556618	-23,6024939	1536	42,0573	1,2483	2478	1912	566
L05216	895	-46,9108961	-23,6051852	1752	51,0845	1,7295	2617	2046	571
L05217	175	-46,9216569	-23,6128183	367	47,6839	0,3382	517	421	96
L05218	77	-46,8176283	-23,5858809	213	36,1502	0,1488	346	257	89
L05219	500	-46,9233205	-23,6060542	907	55,1268	0,9662	1322	1041	281
L05220	228	-47,0408951	-23,6693666	504	45,2381	0,4406	753	602	151
L05221	705	-46,8377399	-23,6141303	1488	47,379	1,3623	2423	1827	596
L05222	889	-46,9375178	-23,6194593	1690	52,6036	1,7179	2321	1905	416
L05223	756	-46,9040650	-23,5969460	1626	46,4945	1,4609	2565	1973	592
L05224	182	-46,9367869	-23,6335921	347	52,4496	0,3517	491	409	82
L05225	107	-46,9125499	-23,6097978	206	51,9417	0,2068	274	236	38
L05226	609	-46,9271695	-23,6229474	1258	48,4102	1,1768	1869	1501	368
L05227	1296	-46,9177956	-23,5980287	2385	54,3396	2,5044	3359	2685	674
L05228	142	-46,9166704	-23,6133584	285	49,8246	0,2744	387	328	59
L05229	753	-46,9211169	-23,5659834	1078	69,8516	1,4551	1680	1386	294
L05230	829	-46,9388266	-23,6325647	1550	53,4839	1,602	2173	1770	403
L05231	139	-46,9005997	-23,6044121	263	52,8517	0,2686	386	317	69
L05232	759	-46,8978353	-23,6007606	1481	51,2492	1,4667	2296	1798	498
L05233	780	-46,9131087	-23,5994088	1381	56,4808	1,5073	1849	1527	322
L05234	476	-46,9290833	-23,6080558	903	52,7132	0,9198	1330	1069	261
L05235	298	-46,9270985	-23,5855921	560	53,2143	0,5759	821	671	150
L05236	435	-46,8465916	-23,5953981	1170	37,1795	0,8406	1825	1402	423
L05237	357	-46,8804329	-23,5982960	723	49,3776	0,6899	1115	872	243
L06804	38	-47,0235557	-23,6761684	113	33,6283	0,0734	144	128	16
L06805	1365	-46,9469244	-23,6117457	2570	53,1128	2,6377	3582	2921	661
L06806	57	-47,0221357	-23,6692724	140	40,7143	0,1101	165	145	20
L06807	557	-47,0233190	-23,6833700	1640	33,9634	1,0763	2162	1805	357
L06809	528	-47,0205121	-23,6926132	1492	35,3887	1,0203	2010	1649	361
L06814	539	-46,9586458	-23,6476279	1038	51,9268	1,0416	1491	1196	295
L06815	1291	-46,9430703	-23,6073130	2688	48,0283	2,4947	4186	3143	1043
L06817	658	-47,0768680	-23,6576211	1412	46,6006	1,2715	2120	1667	453
L06819	547	-47,0475737	-23,6613110	1653	33,0913	1,057	2357	1925	432
L06820	1159	-47,0221240	-23,6848819	3686	31,4433	2,2397	5422	4118	1304
