cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L05190	1	-46,9217739	-23,6091505	729	0,1372	1,5385	1056	825	231
L05191	1	-46,8390738	-23,5950788	3551	0,0282	1,5385	6683	4408	2275
L05198	2	-46,8200597	-23,5863506	1629	0,1228	3,0769	2424	1826	598
L05201	5	-46,9373874	-23,6195813	2909	0,1719	7,6923	3872	3147	725
L05202	1	-46,9085445	-23,6009928	3506	0,0285	1,5385	5278	3874	1404
L05208	1	-46,9306414	-23,6087627	2899	0,0345	1,5385	3987	3208	779
L05209	1	-46,8381782	-23,5942303	2362	0,0423	1,5385	4305	2749	1556
L05213	6	-46,8361040	-23,6130260	479	1,2526	9,2308	768	584	184
L05215	1	-46,8556618	-23,6024939	1624	0,0616	1,5385	2478	1912	566
L05216	1	-46,9108961	-23,6051852	1809	0,0553	1,5385	2617	2046	571
L05221	1	-46,8377399	-23,6141303	1597	0,0626	1,5385	2423	1827	596
L05222	3	-46,9375178	-23,6194593	1750	0,1714	4,6154	2321	1905	416
L05226	2	-46,9271695	-23,6229474	1271	0,1574	3,0769	1869	1501	368
L05227	4	-46,9177956	-23,5980287	2472	0,1618	6,1538	3359	2685	674
L05230	1	-46,9388266	-23,6325647	1604	0,0623	1,5385	2173	1770	403
L05234	1	-46,9290833	-23,6080558	929	0,1076	1,5385	1330	1069	261
L06805	4	-46,9469244	-23,6117457	2659	0,1504	6,1538	3582	2921	661
L06809	4	-47,0205121	-23,6926132	1544	0,2591	6,1538	2010	1649	361
L06814	1	-46,9586458	-23,6476279	1076	0,0929	1,5385	1491	1196	295
L06815	2	-46,9430703	-23,6073130	2858	0,07	3,0769	4186	3143	1043
L06817	1	-47,0768680	-23,6576211	1478	0,0677	1,5385	2120	1667	453
L06819	1	-47,0475737	-23,6613110	1707	0,0586	1,5385	2357	1925	432
L06820	3	-47,0221240	-23,6848819	3745	0,0801	4,6154	5422	4118	1304
L06821	2	-47,0475829	-23,7338256	1246	0,1605	3,0769	1538	1323	215
L06822	4	-47,0238400	-23,6846904	3176	0,1259	6,1538	4304	3465	839
L06827	1	-47,0489137	-23,6619693	1064	0,094	1,5385	1452	1201	251
L06830	2	-47,0096790	-23,6683117	768	0,2604	3,0769	1189	897	292
L06842	1	-47,0196462	-23,6873827	1628	0,0614	1,5385	2152	1798	354
L06847	3	-46,9525623	-23,6179977	2333	0,1286	4,6154	3131	2552	579
L06848	2	-46,9524019	-23,6184155	2415	0,0828	3,0769	3508	2766	742
L06849	1	-47,0259082	-23,7026104	988	0,1012	1,5385	1285	1089	196
L06850	1	-46,9515404	-23,6362302	2330	0,0429	1,5385	3254	2607	647
