cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L05189	5	-46,9180778	-23,6092968	777	0,6435	4,1322	1045	846	199
L05191	1	-46,8390738	-23,5950788	3551	0,0282	0,8264	6683	4408	2275
L05192	2	-46,8631937	-23,5945320	2019	0,0991	1,6529	3707	2560	1147
L05193	4	-46,9261424	-23,6070736	4067	0,0984	3,3058	6352	4582	1770
L05194	2	-46,9070145	-23,5955904	2515	0,0795	1,6529	3655	2824	831
L05195	2	-46,8161498	-23,5910620	1418	0,141	1,6529	2272	1722	550
L05197	4	-46,9107336	-23,6046372	2468	0,1621	3,3058	3581	2725	856
L05199	1	-46,9309921	-23,6118204	1584	0,0631	0,8264	2214	1746	468
L05201	1	-46,9373874	-23,6195813	2909	0,0344	0,8264	3872	3147	725
L05202	8	-46,9085445	-23,6009928	3506	0,2282	6,6116	5278	3874	1404
L05207	3	-46,9150347	-23,5973565	1799	0,1668	2,4793	2489	1948	541
L05208	2	-46,9306414	-23,6087627	2899	0,069	1,6529	3987	3208	779
L05209	1	-46,8381782	-23,5942303	2362	0,0423	0,8264	4305	2749	1556
L05210	3	-46,9198313	-23,6074634	2393	0,1254	2,4793	3480	2634	846
L05214	28	-46,9181818	-23,5798883	4110	0,6813	23,1405	5674	4561	1113
L05216	2	-46,9108961	-23,6051852	1809	0,1106	1,6529	2617	2046	571
L05222	2	-46,9375178	-23,6194593	1750	0,1143	1,6529	2321	1905	416
L05225	1	-46,9125499	-23,6097978	214	0,4673	0,8264	274	236	38
L05227	16	-46,9177956	-23,5980287	2472	0,6472	13,2231	3359	2685	674
L05229	5	-46,9211169	-23,5659834	1161	0,4307	4,1322	1680	1386	294
L05233	5	-46,9131087	-23,5994088	1424	0,3511	4,1322	1849	1527	322
L05235	5	-46,9270985	-23,5855921	593	0,8432	4,1322	821	671	150
L06805	2	-46,9469244	-23,6117457	2659	0,0752	1,6529	3582	2921	661
L06815	3	-46,9430703	-23,6073130	2858	0,105	2,4793	4186	3143	1043
L06822	1	-47,0238400	-23,6846904	3176	0,0315	0,8264	4304	3465	839
L06823	4	-46,9386385	-23,6111606	2787	0,1435	3,3058	3755	3051	704
L06842	1	-47,0196462	-23,6873827	1628	0,0614	0,8264	2152	1798	354
L06846	3	-46,9468990	-23,6080830	3415	0,0878	2,4793	4849	3822	1027
L06847	1	-46,9525623	-23,6179977	2333	0,0429	0,8264	3131	2552	579
L06848	2	-46,9524019	-23,6184155	2415	0,0828	1,6529	3508	2766	742
L06849	1	-47,0259082	-23,7026104	988	0,1012	0,8264	1285	1089	196
