cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L05109	1	-46,6159230	-23,6925061	2011	0,0497	1,25	3198	2380	818
L05110	1	-46,6216249	-23,6799417	2955	0,0338	1,25	5128	3561	1567
L05111	9	-46,6243109	-23,6933561	4388	0,2051	11,25	7677	5248	2429
L05112	5	-46,6333447	-23,6904292	3313	0,1509	6,25	5865	4216	1649
L05113	2	-46,6227770	-23,6985469	3282	0,0609	2,5	5000	3796	1204
L05115	3	-46,6168838	-23,6960228	3131	0,0958	3,75	5217	3853	1364
L05116	7	-46,6171290	-23,6962645	3536	0,198	8,75	5626	4122	1504
L05118	2	-46,6320310	-23,6859560	2863	0,0699	2,5	5174	3552	1622
L05119	4	-46,6272972	-23,6928317	2608	0,1534	5,0	4497	3137	1360
L05123	1	-46,6304585	-23,6900317	2993	0,0334	1,25	4938	3615	1323
L05124	6	-46,6190433	-23,7018118	3082	0,1947	7,5	4848	3730	1118
L05128	1	-46,6256268	-23,6929582	2248	0,0445	1,25	3820	2715	1105
L07778	1	-46,6244353	-23,6727136	3124	0,032	1,25	5078	3783	1295
L07783	1	-46,5976405	-23,6955433	3209	0,0312	1,25	5017	3781	1236
L07785	1	-46,6014650	-23,6900150	2220	0,045	1,25	3276	2529	747
L07791	1	-46,6128260	-23,6748169	1204	0,0831	1,25	1916	1428	488
L07794	1	-46,5827451	-23,6746461	2939	0,034	1,25	4914	3544	1370
L07796	2	-46,5954587	-23,6849994	3766	0,0531	2,5	6069	4468	1601
L07799	1	-46,6169090	-23,6642448	3700	0,027	1,25	5908	4357	1551
L07800	1	-46,6194463	-23,6651992	4005	0,025	1,25	6569	4730	1839
L07802	1	-46,6045956	-23,6705036	3585	0,0279	1,25	5522	4290	1232
L07813	2	-46,6003147	-23,6764343	2984	0,067	2,5	4514	3501	1013
L07816	2	-46,6078930	-23,6736400	2273	0,088	2,5	3581	2749	832
L07818	3	-46,5984231	-23,6984581	471	0,6369	3,75	701	557	144
L07819	1	-46,6104762	-23,6792416	2577	0,0388	1,25	4272	3240	1032
L10857	2	-46,6174318	-23,7221899	3769	0,0531	2,5	5925	4462	1463
L10858	1	-46,6050162	-23,7090902	2728	0,0367	1,25	4331	3317	1014
L10859	3	-46,6168838	-23,7054765	2349	0,1277	3,75	3858	2794	1064
L10861	1	-46,6245734	-23,7231476	3998	0,025	1,25	6348	4623	1725
L10863	2	-46,6126313	-23,7043687	2842	0,0704	2,5	4353	3310	1043
L10864	2	-46,6106475	-23,7096734	2244	0,0891	2,5	3557	2713	844
L10865	1	-46,6162589	-23,7191890	2242	0,0446	1,25	3687	2776	911
L10867	3	-46,6252499	-23,7193323	3224	0,0931	3,75	5344	3879	1465
L10868	3	-46,6254136	-23,7177843	2084	0,144	3,75	3238	2508	730
L10871	2	-46,6128676	-23,7201844	3160	0,0633	2,5	4834	3701	1133
