cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L05108	3	-46,6249685	-23,6846490	1728	0,1736	1,3333	3159	2210	949
L05109	5	-46,6159230	-23,6925061	2011	0,2486	2,2222	3198	2380	818
L05110	3	-46,6216249	-23,6799417	2955	0,1015	1,3333	5128	3561	1567
L05111	9	-46,6243109	-23,6933561	4388	0,2051	4,0	7677	5248	2429
L05112	6	-46,6333447	-23,6904292	3313	0,1811	2,6667	5865	4216	1649
L05113	7	-46,6227770	-23,6985469	3282	0,2133	3,1111	5000	3796	1204
L05114	1	-46,6116582	-23,6828454	1557	0,0642	0,4444	2355	1757	598
L05115	4	-46,6168838	-23,6960228	3131	0,1278	1,7778	5217	3853	1364
L05116	6	-46,6171290	-23,6962645	3536	0,1697	2,6667	5626	4122	1504
L05118	6	-46,6320310	-23,6859560	2863	0,2096	2,6667	5174	3552	1622
L05119	1	-46,6272972	-23,6928317	2608	0,0383	0,4444	4497	3137	1360
L05120	6	-46,6356000	-23,6901862	1479	0,4057	2,6667	2649	1906	743
L05121	4	-46,6250990	-23,6839920	3112	0,1285	1,7778	5504	3795	1709
L05122	3	-46,6126040	-23,6876440	2085	0,1439	1,3333	3396	2407	989
L05123	4	-46,6304585	-23,6900317	2993	0,1336	1,7778	4938	3615	1323
L05124	6	-46,6190433	-23,7018118	3082	0,1947	2,6667	4848	3730	1118
L05125	1	-46,6158395	-23,6871793	675	0,1481	0,4444	1065	844	221
L05128	1	-46,6256268	-23,6929582	2248	0,0445	0,4444	3820	2715	1105
L05130	1	-46,6214198	-23,6791120	443	0,2257	0,4444	747	540	207
L05131	3	-46,6203340	-23,6858882	2328	0,1289	1,3333	3850	2729	1121
L07775	1	-46,6125440	-23,6717759	1854	0,0539	0,4444	3093	2308	785
L07777	1	-46,5962418	-23,6976962	463	0,216	0,4444	814	547	267
L07778	9	-46,6244353	-23,6727136	3124	0,2881	4,0	5078	3783	1295
L07779	4	-46,5905133	-23,6995041	2309	0,1732	1,7778	3619	2617	1002
L07780	1	-46,6221334	-23,6685547	1808	0,0553	0,4444	2827	2166	661
L07781	2	-46,6007849	-23,6773329	1866	0,1072	0,8889	2838	2135	703
L07782	4	-46,5944736	-23,6966143	2011	0,1989	1,7778	3223	2439	784
L07783	10	-46,5976405	-23,6955433	3209	0,3116	4,4444	5017	3781	1236
L07784	1	-46,6031939	-23,6766739	2756	0,0363	0,4444	4285	3149	1136
L07785	2	-46,6014650	-23,6900150	2220	0,0901	0,8889	3276	2529	747
L07786	6	-46,5994872	-23,6951193	2435	0,2464	2,6667	3720	2774	946
L07787	3	-46,6117380	-23,6688580	2509	0,1196	1,3333	4206	3066	1140
L07788	1	-46,5930181	-23,6868456	2438	0,041	0,4444	3955	2841	1114
L07789	4	-46,5911538	-23,6923926	2836	0,141	1,7778	4309	3303	1006
L07790	1	-46,5873500	-23,6866405	3362	0,0297	0,4444	5664	4044	1620
L07792	1	-46,5968220	-23,7088310	1343	0,0745	0,4444	2043	1603	440
L07793	2	-46,6124405	-23,6750681	1678	0,1192	0,8889	2698	1967	731
L07794	1	-46,5827451	-23,6746461	2939	0,034	0,4444	4914	3544	1370
L07795	6	-46,5995750	-23,6634218	2482	0,2417	2,6667	4177	3136	1041
L07796	5	-46,5954587	-23,6849994	3766	0,1328	2,2222	6069	4468	1601
L07797	2	-46,5972178	-23,7092774	3304	0,0605	0,8889	5148	3897	1251
L07798	3	-46,6268120	-23,6686194	3142	0,0955	1,3333	4989	3647	1342
L07799	5	-46,6169090	-23,6642448	3700	0,1351	2,2222	5908	4357	1551
L07800	5	-46,6194463	-23,6651992	4005	0,1248	2,2222	6569	4730	1839
L07802	4	-46,6045956	-23,6705036	3585	0,1116	1,7778	5522	4290	1232
L07804	2	-46,5993673	-23,6928915	3116	0,0642	0,8889	4712	3589	1123
L07806	2	-46,6005920	-23,6963157	1915	0,1044	0,8889	2904	2201	703
L07807	1	-46,5981564	-23,6861161	2002	0,05	0,4444	3053	2373	680
L07810	1	-46,6027995	-23,7096244	833	0,12	0,4444	1303	1020	283
L07811	2	-46,6179104	-23,6641643	1868	0,1071	0,8889	3002	2312	690
L07812	2	-46,5962871	-23,6971055	2745	0,0729	0,8889	4286	3125	1161
L07813	2	-46,6003147	-23,6764343	2984	0,067	0,8889	4514	3501	1013
L07814	1	-46,5887985	-23,6901980	1944	0,0514	0,4444	2983	2315	668
L07816	1	-46,6078930	-23,6736400	2273	0,044	0,4444	3581	2749	832
L07817	1	-46,6227867	-23,6658129	323	0,3096	0,4444	531	384	147
L07818	1	-46,5984231	-23,6984581	471	0,2123	0,4444	701	557	144
L07819	2	-46,6104762	-23,6792416	2577	0,0776	0,8889	4272	3240	1032
L10856	5	-46,6053600	-23,7004300	3614	0,1384	2,2222	5532	4258	1274
L10857	3	-46,6174318	-23,7221899	3769	0,0796	1,3333	5925	4462	1463
L10858	3	-46,6050162	-23,7090902	2728	0,11	1,3333	4331	3317	1014
L10859	4	-46,6168838	-23,7054765	2349	0,1703	1,7778	3858	2794	1064
L10860	5	-46,6196920	-23,7300896	2935	0,1704	2,2222	4614	3494	1120
L10861	2	-46,6245734	-23,7231476	3998	0,05	0,8889	6348	4623	1725
L10862	2	-46,6175645	-23,7156430	3982	0,0502	0,8889	6162	4594	1568
L10863	2	-46,6126313	-23,7043687	2842	0,0704	0,8889	4353	3310	1043
L10864	3	-46,6106475	-23,7096734	2244	0,1337	1,3333	3557	2713	844
L10865	1	-46,6162589	-23,7191890	2242	0,0446	0,4444	3687	2776	911
L10866	1	-46,6128110	-23,7203920	2746	0,0364	0,4444	4364	3246	1118
L10867	2	-46,6252499	-23,7193323	3224	0,062	0,8889	5344	3879	1465
L10868	1	-46,6254136	-23,7177843	2084	0,048	0,4444	3238	2508	730
L10869	3	-46,6138114	-23,7172607	1826	0,1643	1,3333	2636	2143	493
L10870	2	-46,6076890	-23,7005143	3742	0,0534	0,8889	5858	4409	1449
L10872	1	-46,6080567	-23,7123258	4651	0,0215	0,4444	7237	5409	1828
L10873	2	-46,6140233	-23,7040739	668	0,2994	0,8889	1040	789	251
