cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L05108	1	-46,6249685	-23,6846490	1728	0,0579	2,3256	3159	2210	949
L05110	2	-46,6216249	-23,6799417	2955	0,0677	4,6512	5128	3561	1567
L05111	3	-46,6243109	-23,6933561	4388	0,0684	6,9767	7677	5248	2429
L05113	2	-46,6227770	-23,6985469	3282	0,0609	4,6512	5000	3796	1204
L05116	1	-46,6171290	-23,6962645	3536	0,0283	2,3256	5626	4122	1504
L05121	1	-46,6250990	-23,6839920	3112	0,0321	2,3256	5504	3795	1709
L07777	1	-46,5962418	-23,6976962	463	0,216	2,3256	814	547	267
L07785	1	-46,6014650	-23,6900150	2220	0,045	2,3256	3276	2529	747
L07789	1	-46,5911538	-23,6923926	2836	0,0353	2,3256	4309	3303	1006
L07795	2	-46,5995750	-23,6634218	2482	0,0806	4,6512	4177	3136	1041
L07803	1	-46,6022129	-23,6657034	2515	0,0398	2,3256	4283	2993	1290
L07804	1	-46,5993673	-23,6928915	3116	0,0321	2,3256	4712	3589	1123
L10857	4	-46,6174318	-23,7221899	3769	0,1061	9,3023	5925	4462	1463
L10860	1	-46,6196920	-23,7300896	2935	0,0341	2,3256	4614	3494	1120
L10863	1	-46,6126313	-23,7043687	2842	0,0352	2,3256	4353	3310	1043
L10865	2	-46,6162589	-23,7191890	2242	0,0892	4,6512	3687	2776	911
L10866	2	-46,6128110	-23,7203920	2746	0,0728	4,6512	4364	3246	1118
L10867	7	-46,6252499	-23,7193323	3224	0,2171	16,2791	5344	3879	1465
L10868	3	-46,6254136	-23,7177843	2084	0,144	6,9767	3238	2508	730
L10870	1	-46,6076890	-23,7005143	3742	0,0267	2,3256	5858	4409	1449
L10871	3	-46,6128676	-23,7201844	3160	0,0949	6,9767	4834	3701	1133
L10872	2	-46,6080567	-23,7123258	4651	0,043	4,6512	7237	5409	1828
