cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L05108	1	-46,6249685	-23,6846490	1728	0,0579	0,9091	3159	2210	949
L05110	1	-46,6216249	-23,6799417	2955	0,0338	0,9091	5128	3561	1567
L05111	2	-46,6243109	-23,6933561	4388	0,0456	1,8182	7677	5248	2429
L05113	1	-46,6227770	-23,6985469	3282	0,0305	0,9091	5000	3796	1204
L05116	4	-46,6171290	-23,6962645	3536	0,1131	3,6364	5626	4122	1504
L05122	4	-46,6126040	-23,6876440	2085	0,1918	3,6364	3396	2407	989
L05123	1	-46,6304585	-23,6900317	2993	0,0334	0,9091	4938	3615	1323
L05124	2	-46,6190433	-23,7018118	3082	0,0649	1,8182	4848	3730	1118
L05126	1	-46,6259919	-23,6964780	392	0,2551	0,9091	634	469	165
L05128	1	-46,6256268	-23,6929582	2248	0,0445	0,9091	3820	2715	1105
L07776	1	-46,6200986	-23,6703512	836	0,1196	0,9091	1490	996	494
L07779	1	-46,5905133	-23,6995041	2309	0,0433	0,9091	3619	2617	1002
L07784	1	-46,6031939	-23,6766739	2756	0,0363	0,9091	4285	3149	1136
L07786	2	-46,5994872	-23,6951193	2435	0,0821	1,8182	3720	2774	946
L07790	1	-46,5873500	-23,6866405	3362	0,0297	0,9091	5664	4044	1620
L07794	1	-46,5827451	-23,6746461	2939	0,034	0,9091	4914	3544	1370
L07796	2	-46,5954587	-23,6849994	3766	0,0531	1,8182	6069	4468	1601
L07813	3	-46,6003147	-23,6764343	2984	0,1005	2,7273	4514	3501	1013
L07815	4	-46,5867600	-23,6772439	1604	0,2494	3,6364	2606	1912	694
L07818	2	-46,5984231	-23,6984581	471	0,4246	1,8182	701	557	144
L10857	14	-46,6174318	-23,7221899	3769	0,3715	12,7273	5925	4462	1463
L10858	1	-46,6050162	-23,7090902	2728	0,0367	0,9091	4331	3317	1014
L10860	2	-46,6196920	-23,7300896	2935	0,0681	1,8182	4614	3494	1120
L10861	5	-46,6245734	-23,7231476	3998	0,1251	4,5455	6348	4623	1725
L10862	11	-46,6175645	-23,7156430	3982	0,2762	10,0	6162	4594	1568
L10864	1	-46,6106475	-23,7096734	2244	0,0446	0,9091	3557	2713	844
L10865	9	-46,6162589	-23,7191890	2242	0,4014	8,1818	3687	2776	911
L10866	1	-46,6128110	-23,7203920	2746	0,0364	0,9091	4364	3246	1118
L10867	13	-46,6252499	-23,7193323	3224	0,4032	11,8182	5344	3879	1465
L10868	10	-46,6254136	-23,7177843	2084	0,4798	9,0909	3238	2508	730
L10870	1	-46,6076890	-23,7005143	3742	0,0267	0,9091	5858	4409	1449
L10871	5	-46,6128676	-23,7201844	3160	0,1582	4,5455	4834	3701	1133
L10872	1	-46,6080567	-23,7123258	4651	0,0215	0,9091	7237	5409	1828
