cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L05108	7	-46,6249685	-23,6846490	1728	0,4051	3,3654	3159	2210	949
L05109	3	-46,6159230	-23,6925061	2011	0,1492	1,4423	3198	2380	818
L05110	3	-46,6216249	-23,6799417	2955	0,1015	1,4423	5128	3561	1567
L05111	29	-46,6243109	-23,6933561	4388	0,6609	13,9423	7677	5248	2429
L05112	10	-46,6333447	-23,6904292	3313	0,3018	4,8077	5865	4216	1649
L05113	7	-46,6227770	-23,6985469	3282	0,2133	3,3654	5000	3796	1204
L05115	3	-46,6168838	-23,6960228	3131	0,0958	1,4423	5217	3853	1364
L05116	3	-46,6171290	-23,6962645	3536	0,0848	1,4423	5626	4122	1504
L05118	6	-46,6320310	-23,6859560	2863	0,2096	2,8846	5174	3552	1622
L05119	6	-46,6272972	-23,6928317	2608	0,2301	2,8846	4497	3137	1360
L05120	5	-46,6356000	-23,6901862	1479	0,3381	2,4038	2649	1906	743
L05121	9	-46,6250990	-23,6839920	3112	0,2892	4,3269	5504	3795	1709
L05122	16	-46,6126040	-23,6876440	2085	0,7674	7,6923	3396	2407	989
L05123	6	-46,6304585	-23,6900317	2993	0,2005	2,8846	4938	3615	1323
L05124	7	-46,6190433	-23,7018118	3082	0,2271	3,3654	4848	3730	1118
L05125	2	-46,6158395	-23,6871793	675	0,2963	0,9615	1065	844	221
L05128	1	-46,6256268	-23,6929582	2248	0,0445	0,4808	3820	2715	1105
L05131	3	-46,6203340	-23,6858882	2328	0,1289	1,4423	3850	2729	1121
L07778	1	-46,6244353	-23,6727136	3124	0,032	0,4808	5078	3783	1295
L07783	1	-46,5976405	-23,6955433	3209	0,0312	0,4808	5017	3781	1236
L07785	1	-46,6014650	-23,6900150	2220	0,045	0,4808	3276	2529	747
L07787	1	-46,6117380	-23,6688580	2509	0,0399	0,4808	4206	3066	1140
L07788	1	-46,5930181	-23,6868456	2438	0,041	0,4808	3955	2841	1114
L07789	1	-46,5911538	-23,6923926	2836	0,0353	0,4808	4309	3303	1006
L07790	2	-46,5873500	-23,6866405	3362	0,0595	0,9615	5664	4044	1620
L07796	5	-46,5954587	-23,6849994	3766	0,1328	2,4038	6069	4468	1601
L07797	1	-46,5972178	-23,7092774	3304	0,0303	0,4808	5148	3897	1251
L07799	3	-46,6169090	-23,6642448	3700	0,0811	1,4423	5908	4357	1551
L07802	1	-46,6045956	-23,6705036	3585	0,0279	0,4808	5522	4290	1232
L07803	1	-46,6022129	-23,6657034	2515	0,0398	0,4808	4283	2993	1290
L07804	1	-46,5993673	-23,6928915	3116	0,0321	0,4808	4712	3589	1123
L07806	3	-46,6005920	-23,6963157	1915	0,1567	1,4423	2904	2201	703
L07807	2	-46,5981564	-23,6861161	2002	0,0999	0,9615	3053	2373	680
L07811	1	-46,6179104	-23,6641643	1868	0,0535	0,4808	3002	2312	690
L07812	1	-46,5962871	-23,6971055	2745	0,0364	0,4808	4286	3125	1161
L07813	1	-46,6003147	-23,6764343	2984	0,0335	0,4808	4514	3501	1013
L07814	2	-46,5887985	-23,6901980	1944	0,1029	0,9615	2983	2315	668
L07816	3	-46,6078930	-23,6736400	2273	0,132	1,4423	3581	2749	832
L10856	4	-46,6053600	-23,7004300	3614	0,1107	1,9231	5532	4258	1274
L10857	2	-46,6174318	-23,7221899	3769	0,0531	0,9615	5925	4462	1463
L10859	4	-46,6168838	-23,7054765	2349	0,1703	1,9231	3858	2794	1064
L10860	3	-46,6196920	-23,7300896	2935	0,1022	1,4423	4614	3494	1120
L10862	3	-46,6175645	-23,7156430	3982	0,0753	1,4423	6162	4594	1568
L10863	4	-46,6126313	-23,7043687	2842	0,1407	1,9231	4353	3310	1043
L10864	9	-46,6106475	-23,7096734	2244	0,4011	4,3269	3557	2713	844
L10865	1	-46,6162589	-23,7191890	2242	0,0446	0,4808	3687	2776	911
L10866	3	-46,6128110	-23,7203920	2746	0,1092	1,4423	4364	3246	1118
L10868	3	-46,6254136	-23,7177843	2084	0,144	1,4423	3238	2508	730
L10869	2	-46,6138114	-23,7172607	1826	0,1095	0,9615	2636	2143	493
L10870	7	-46,6076890	-23,7005143	3742	0,1871	3,3654	5858	4409	1449
L10871	1	-46,6128676	-23,7201844	3160	0,0316	0,4808	4834	3701	1133
L10872	2	-46,6080567	-23,7123258	4651	0,043	0,9615	7237	5409	1828
L10873	1	-46,6140233	-23,7040739	668	0,1497	0,4808	1040	789	251
