cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L08013	26	-46,8184279	-23,6517056	1941	1,3395	1,9832	2820	2177	643
L08014	55	-46,8262088	-23,6279983	2791	1,9706	4,1953	3889	3086	803
L08015	25	-46,8077371	-23,6434693	2363	1,058	1,9069	3433	2695	738
L08016	5	-46,8572485	-23,6419044	1245	0,4016	0,3814	1770	1380	390
L08017	6	-46,8997040	-23,6432158	1710	0,3509	0,4577	2539	1907	632
L08018	4	-46,8487206	-23,6553446	1720	0,2326	0,3051	2349	1856	493
L08019	6	-46,8485912	-23,6453295	2266	0,2648	0,4577	3288	2524	764
L08020	5	-46,8736085	-23,6784976	1740	0,2874	0,3814	2482	1909	573
L08021	2	-46,8503124	-23,6236498	1007	0,1986	0,1526	1513	1153	360
L08022	7	-46,8468148	-23,6723725	2229	0,314	0,5339	3140	2508	632
L08023	2	-46,8424877	-23,6556493	1059	0,1889	0,1526	1471	1160	311
L08024	7	-46,8609293	-23,6489209	1930	0,3627	0,5339	2898	2195	703
L08025	56	-46,8178244	-23,6488430	3306	1,6939	4,2715	4610	3733	877
L08026	5	-46,8504836	-23,6538915	1769	0,2826	0,3814	2749	2004	745
L08027	25	-46,8239963	-23,6289539	1240	2,0161	1,9069	1866	1400	466
L08028	55	-46,8803086	-23,6288350	812	6,7734	4,1953	1261	973	288
L08029	5	-46,8141467	-23,6292761	1454	0,3439	0,3814	2118	1678	440
L08030	10	-46,8569917	-23,6538808	1341	0,7457	0,7628	2066	1555	511
L08031	2	-46,8388459	-23,6366614	1294	0,1546	0,1526	1823	1425	398
L08032	27	-46,8114888	-23,6426171	3204	0,8427	2,0595	4497	3631	866
L08033	5	-46,8523818	-23,6693739	836	0,5981	0,3814	1156	906	250
L08034	12	-46,8567668	-23,6535866	2696	0,4451	0,9153	4076	3043	1033
L08035	1	-46,8557912	-23,6789669	2511	0,0398	0,0763	3583	2803	780
L08036	24	-46,8069720	-23,6498697	318	7,5472	1,8307	466	365	101
L08037	118	-46,8076622	-23,6501591	2472	4,7735	9,0008	3476	2807	669
L08038	51	-46,8008761	-23,6461516	1743	2,926	3,8902	2459	1977	482
L08039	30	-46,8244094	-23,6293041	2377	1,2621	2,2883	3380	2646	734
L08040	9	-46,8629845	-23,6598454	1755	0,5128	0,6865	2497	1943	554
L08041	13	-46,8043721	-23,6469718	460	2,8261	0,9916	664	540	124
L08042	35	-46,8029413	-23,6465549	1707	2,0504	2,6697	2389	1904	485
L08043	12	-46,8144480	-23,6189368	1796	0,6682	0,9153	2443	1964	479
L08044	18	-46,8089022	-23,6436582	1111	1,6202	1,373	1613	1279	334
L08046	72	-46,8063115	-23,6500014	2245	3,2071	5,492	3013	2488	525
L08047	3	-46,8524294	-23,6405637	1858	0,1615	0,2288	2724	2069	655
L08048	62	-46,8192410	-23,6454460	3086	2,0091	4,7292	4357	3459	898
L08049	2	-46,8307928	-23,6381532	465	0,4301	0,1526	703	542	161
L09724	6	-46,8157311	-23,6601408	457	1,3129	0,4577	712	508	204
L09725	2	-46,8001166	-23,6474836	237	0,8439	0,1526	328	261	67
L09726	13	-46,8038130	-23,6799130	3234	0,402	0,9916	4654	3697	957
L09727	6	-46,8034731	-23,6740895	2245	0,2673	0,4577	3338	2645	693
L09728	30	-46,8150508	-23,6560005	3416	0,8782	2,2883	5004	3901	1103
L09729	25	-46,8075218	-23,6596193	1420	1,7606	1,9069	2052	1630	422
L09730	9	-46,7966100	-23,6603422	3709	0,2427	0,6865	5232	4149	1083
L09731	15	-46,8076525	-23,6733218	3708	0,4045	1,1442	5344	4205	1139
L09732	41	-46,7976920	-23,6531800	4092	1,002	3,1274	5773	4660	1113
L09733	32	-46,7954975	-23,6532021	2560	1,25	2,4409	3813	2892	921
L09734	6	-46,8005910	-23,6694550	3322	0,1806	0,4577	4966	3926	1040
L09735	3	-46,8008130	-23,6705320	1271	0,236	0,2288	1902	1470	432
L09736	30	-46,7997252	-23,6503650	3365	0,8915	2,2883	4730	3828	902
L09737	44	-46,8162229	-23,6600075	2828	1,5559	3,3562	4223	3254	969
L09738	20	-46,8034000	-23,6518660	1067	1,8744	1,5256	1487	1242	245
L09739	50	-46,8087236	-23,6590916	2564	1,9501	3,8139	3639	2929	710
L09740	20	-46,8041479	-23,6575080	3699	0,5407	1,5256	5492	4224	1268
L09741	5	-46,7948859	-23,6548973	746	0,6702	0,3814	1086	858	228
L09742	3	-46,8037080	-23,6692959	1662	0,1805	0,2288	2384	1891	493
L09743	5	-46,7998450	-23,6642769	2326	0,215	0,3814	3417	2716	701
L09744	29	-46,8082652	-23,6568515	3520	0,8239	2,2121	4765	3919	846
L09745	7	-46,7990273	-23,6715894	2152	0,3253	0,5339	3051	2486	565
L09746	33	-46,8187290	-23,6600240	3538	0,9327	2,5172	4850	3945	905
L09747	12	-46,8001800	-23,6601018	3089	0,3885	0,9153	4332	3488	844
L09748	9	-46,8060867	-23,6656011	2302	0,391	0,6865	3133	2615	518
L09749	51	-46,8144630	-23,6512836	2776	1,8372	3,8902	3877	3100	777
L09750	3	-46,8069030	-23,6835880	1432	0,2095	0,2288	2011	1669	342
