cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L08013	1	-46,8184279	-23,6517056	1941	0,0515	0,7143	2820	2177	643
L08015	2	-46,8077371	-23,6434693	2363	0,0846	1,4286	3433	2695	738
L08025	2	-46,8178244	-23,6488430	3306	0,0605	1,4286	4610	3733	877
L08030	1	-46,8569917	-23,6538808	1341	0,0746	0,7143	2066	1555	511
L08032	2	-46,8114888	-23,6426171	3204	0,0624	1,4286	4497	3631	866
L08036	4	-46,8069720	-23,6498697	318	1,2579	2,8571	466	365	101
L08037	16	-46,8076622	-23,6501591	2472	0,6472	11,4286	3476	2807	669
L08038	5	-46,8008761	-23,6461516	1743	0,2869	3,5714	2459	1977	482
L08040	1	-46,8629845	-23,6598454	1755	0,057	0,7143	2497	1943	554
L08041	3	-46,8043721	-23,6469718	460	0,6522	2,1429	664	540	124
L08042	3	-46,8029413	-23,6465549	1707	0,1757	2,1429	2389	1904	485
L08046	12	-46,8063115	-23,6500014	2245	0,5345	8,5714	3013	2488	525
L09724	3	-46,8157311	-23,6601408	457	0,6565	2,1429	712	508	204
L09725	2	-46,8001166	-23,6474836	237	0,8439	1,4286	328	261	67
L09726	2	-46,8038130	-23,6799130	3234	0,0618	1,4286	4654	3697	957
L09727	2	-46,8034731	-23,6740895	2245	0,0891	1,4286	3338	2645	693
L09730	2	-46,7966100	-23,6603422	3709	0,0539	1,4286	5232	4149	1083
L09732	36	-46,7976920	-23,6531800	4092	0,8798	25,7143	5773	4660	1113
L09733	6	-46,7954975	-23,6532021	2560	0,2344	4,2857	3813	2892	921
L09734	3	-46,8005910	-23,6694550	3322	0,0903	2,1429	4966	3926	1040
L09736	7	-46,7997252	-23,6503650	3365	0,208	5,0	4730	3828	902
L09738	4	-46,8034000	-23,6518660	1067	0,3749	2,8571	1487	1242	245
L09740	5	-46,8041479	-23,6575080	3699	0,1352	3,5714	5492	4224	1268
L09741	4	-46,7948859	-23,6548973	746	0,5362	2,8571	1086	858	228
L09743	2	-46,7998450	-23,6642769	2326	0,086	1,4286	3417	2716	701
L09744	4	-46,8082652	-23,6568515	3520	0,1136	2,8571	4765	3919	846
L09747	5	-46,8001800	-23,6601018	3089	0,1619	3,5714	4332	3488	844
L09748	1	-46,8060867	-23,6656011	2302	0,0434	0,7143	3133	2615	518
