cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L08013	5	-46,8184279	-23,6517056	1941	0,2576	0,4771	2820	2177	643
L08014	25	-46,8262088	-23,6279983	2791	0,8957	2,3855	3889	3086	803
L08015	12	-46,8077371	-23,6434693	2363	0,5078	1,145	3433	2695	738
L08016	1	-46,8572485	-23,6419044	1245	0,0803	0,0954	1770	1380	390
L08017	10	-46,8997040	-23,6432158	1710	0,5848	0,9542	2539	1907	632
L08018	4	-46,8487206	-23,6553446	1720	0,2326	0,3817	2349	1856	493
L08019	13	-46,8485912	-23,6453295	2266	0,5737	1,2405	3288	2524	764
L08020	12	-46,8736085	-23,6784976	1740	0,6897	1,145	2482	1909	573
L08021	2	-46,8503124	-23,6236498	1007	0,1986	0,1908	1513	1153	360
L08022	1	-46,8468148	-23,6723725	2229	0,0449	0,0954	3140	2508	632
L08023	7	-46,8424877	-23,6556493	1059	0,661	0,6679	1471	1160	311
L08024	25	-46,8609293	-23,6489209	1930	1,2953	2,3855	2898	2195	703
L08025	20	-46,8178244	-23,6488430	3306	0,605	1,9084	4610	3733	877
L08026	35	-46,8504836	-23,6538915	1769	1,9785	3,3397	2749	2004	745
L08027	4	-46,8239963	-23,6289539	1240	0,3226	0,3817	1866	1400	466
L08028	3	-46,8803086	-23,6288350	812	0,3695	0,2863	1261	973	288
L08029	5	-46,8141467	-23,6292761	1454	0,3439	0,4771	2118	1678	440
L08030	18	-46,8569917	-23,6538808	1341	1,3423	1,7176	2066	1555	511
L08031	14	-46,8388459	-23,6366614	1294	1,0819	1,3359	1823	1425	398
L08032	15	-46,8114888	-23,6426171	3204	0,4682	1,4313	4497	3631	866
L08033	5	-46,8523818	-23,6693739	836	0,5981	0,4771	1156	906	250
L08034	34	-46,8567668	-23,6535866	2696	1,2611	3,2443	4076	3043	1033
L08035	17	-46,8557912	-23,6789669	2511	0,677	1,6221	3583	2803	780
L08036	5	-46,8069720	-23,6498697	318	1,5723	0,4771	466	365	101
L08037	27	-46,8076622	-23,6501591	2472	1,0922	2,5763	3476	2807	669
L08038	14	-46,8008761	-23,6461516	1743	0,8032	1,3359	2459	1977	482
L08039	21	-46,8244094	-23,6293041	2377	0,8835	2,0038	3380	2646	734
L08040	19	-46,8629845	-23,6598454	1755	1,0826	1,813	2497	1943	554
L08041	9	-46,8043721	-23,6469718	460	1,9565	0,8588	664	540	124
L08042	34	-46,8029413	-23,6465549	1707	1,9918	3,2443	2389	1904	485
L08043	3	-46,8144480	-23,6189368	1796	0,167	0,2863	2443	1964	479
L08044	7	-46,8089022	-23,6436582	1111	0,6301	0,6679	1613	1279	334
L08045	5	-46,8526677	-23,6799987	1460	0,3425	0,4771	2113	1629	484
L08046	44	-46,8063115	-23,6500014	2245	1,9599	4,1985	3013	2488	525
L08047	4	-46,8524294	-23,6405637	1858	0,2153	0,3817	2724	2069	655
L08048	21	-46,8192410	-23,6454460	3086	0,6805	2,0038	4357	3459	898
L08049	8	-46,8307928	-23,6381532	465	1,7204	0,7634	703	542	161
L09725	5	-46,8001166	-23,6474836	237	2,1097	0,4771	328	261	67
L09726	18	-46,8038130	-23,6799130	3234	0,5566	1,7176	4654	3697	957
L09727	29	-46,8034731	-23,6740895	2245	1,2918	2,7672	3338	2645	693
L09728	24	-46,8150508	-23,6560005	3416	0,7026	2,2901	5004	3901	1103
L09729	13	-46,8075218	-23,6596193	1420	0,9155	1,2405	2052	1630	422
L09730	13	-46,7966100	-23,6603422	3709	0,3505	1,2405	5232	4149	1083
L09731	7	-46,8076525	-23,6733218	3708	0,1888	0,6679	5344	4205	1139
L09732	51	-46,7976920	-23,6531800	4092	1,2463	4,8664	5773	4660	1113
L09733	23	-46,7954975	-23,6532021	2560	0,8984	2,1947	3813	2892	921
L09734	33	-46,8005910	-23,6694550	3322	0,9934	3,1489	4966	3926	1040
L09735	10	-46,8008130	-23,6705320	1271	0,7868	0,9542	1902	1470	432
L09736	72	-46,7997252	-23,6503650	3365	2,1397	6,8702	4730	3828	902
L09737	12	-46,8162229	-23,6600075	2828	0,4243	1,145	4223	3254	969
L09738	30	-46,8034000	-23,6518660	1067	2,8116	2,8626	1487	1242	245
L09739	19	-46,8087236	-23,6590916	2564	0,741	1,813	3639	2929	710
L09740	28	-46,8041479	-23,6575080	3699	0,757	2,6718	5492	4224	1268
L09741	4	-46,7948859	-23,6548973	746	0,5362	0,3817	1086	858	228
L09742	19	-46,8037080	-23,6692959	1662	1,1432	1,813	2384	1891	493
L09743	13	-46,7998450	-23,6642769	2326	0,5589	1,2405	3417	2716	701
L09744	23	-46,8082652	-23,6568515	3520	0,6534	2,1947	4765	3919	846
L09745	36	-46,7990273	-23,6715894	2152	1,6729	3,4351	3051	2486	565
L09746	15	-46,8187290	-23,6600240	3538	0,424	1,4313	4850	3945	905
L09747	9	-46,8001800	-23,6601018	3089	0,2914	0,8588	4332	3488	844
L09748	3	-46,8060867	-23,6656011	2302	0,1303	0,2863	3133	2615	518
L09749	25	-46,8144630	-23,6512836	2776	0,9006	2,3855	3877	3100	777
L09750	6	-46,8069030	-23,6835880	1432	0,419	0,5725	2011	1669	342
