cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L08013	3	-46,8184279	-23,6517056	1941	0,1546	0,3906	2820	2177	643
L08014	10	-46,8262088	-23,6279983	2791	0,3583	1,3021	3889	3086	803
L08015	6	-46,8077371	-23,6434693	2363	0,2539	0,7812	3433	2695	738
L08016	7	-46,8572485	-23,6419044	1245	0,5622	0,9115	1770	1380	390
L08017	4	-46,8997040	-23,6432158	1710	0,2339	0,5208	2539	1907	632
L08018	13	-46,8487206	-23,6553446	1720	0,7558	1,6927	2349	1856	493
L08019	12	-46,8485912	-23,6453295	2266	0,5296	1,5625	3288	2524	764
L08020	11	-46,8736085	-23,6784976	1740	0,6322	1,4323	2482	1909	573
L08021	7	-46,8503124	-23,6236498	1007	0,6951	0,9115	1513	1153	360
L08022	139	-46,8468148	-23,6723725	2229	6,236	18,099	3140	2508	632
L08023	4	-46,8424877	-23,6556493	1059	0,3777	0,5208	1471	1160	311
L08024	13	-46,8609293	-23,6489209	1930	0,6736	1,6927	2898	2195	703
L08025	7	-46,8178244	-23,6488430	3306	0,2117	0,9115	4610	3733	877
L08026	10	-46,8504836	-23,6538915	1769	0,5653	1,3021	2749	2004	745
L08027	2	-46,8239963	-23,6289539	1240	0,1613	0,2604	1866	1400	466
L08028	8	-46,8803086	-23,6288350	812	0,9852	1,0417	1261	973	288
L08029	2	-46,8141467	-23,6292761	1454	0,1376	0,2604	2118	1678	440
L08030	13	-46,8569917	-23,6538808	1341	0,9694	1,6927	2066	1555	511
L08031	20	-46,8388459	-23,6366614	1294	1,5456	2,6042	1823	1425	398
L08032	17	-46,8114888	-23,6426171	3204	0,5306	2,2135	4497	3631	866
L08033	2	-46,8523818	-23,6693739	836	0,2392	0,2604	1156	906	250
L08034	22	-46,8567668	-23,6535866	2696	0,816	2,8646	4076	3043	1033
L08035	12	-46,8557912	-23,6789669	2511	0,4779	1,5625	3583	2803	780
L08036	1	-46,8069720	-23,6498697	318	0,3145	0,1302	466	365	101
L08037	37	-46,8076622	-23,6501591	2472	1,4968	4,8177	3476	2807	669
L08038	23	-46,8008761	-23,6461516	1743	1,3196	2,9948	2459	1977	482
L08039	4	-46,8244094	-23,6293041	2377	0,1683	0,5208	3380	2646	734
L08040	7	-46,8629845	-23,6598454	1755	0,3989	0,9115	2497	1943	554
L08041	3	-46,8043721	-23,6469718	460	0,6522	0,3906	664	540	124
L08042	25	-46,8029413	-23,6465549	1707	1,4646	3,2552	2389	1904	485
L08043	4	-46,8144480	-23,6189368	1796	0,2227	0,5208	2443	1964	479
L08044	5	-46,8089022	-23,6436582	1111	0,45	0,651	1613	1279	334
L08045	8	-46,8526677	-23,6799987	1460	0,5479	1,0417	2113	1629	484
L08046	53	-46,8063115	-23,6500014	2245	2,3608	6,901	3013	2488	525
L08047	6	-46,8524294	-23,6405637	1858	0,3229	0,7812	2724	2069	655
L08048	3	-46,8192410	-23,6454460	3086	0,0972	0,3906	4357	3459	898
L08049	1	-46,8307928	-23,6381532	465	0,2151	0,1302	703	542	161
L09724	4	-46,8157311	-23,6601408	457	0,8753	0,5208	712	508	204
L09726	10	-46,8038130	-23,6799130	3234	0,3092	1,3021	4654	3697	957
L09727	12	-46,8034731	-23,6740895	2245	0,5345	1,5625	3338	2645	693
L09728	12	-46,8150508	-23,6560005	3416	0,3513	1,5625	5004	3901	1103
L09729	3	-46,8075218	-23,6596193	1420	0,2113	0,3906	2052	1630	422
L09730	2	-46,7966100	-23,6603422	3709	0,0539	0,2604	5232	4149	1083
L09731	11	-46,8076525	-23,6733218	3708	0,2967	1,4323	5344	4205	1139
L09732	16	-46,7976920	-23,6531800	4092	0,391	2,0833	5773	4660	1113
L09733	12	-46,7954975	-23,6532021	2560	0,4688	1,5625	3813	2892	921
L09734	9	-46,8005910	-23,6694550	3322	0,2709	1,1719	4966	3926	1040
L09735	3	-46,8008130	-23,6705320	1271	0,236	0,3906	1902	1470	432
L09736	31	-46,7997252	-23,6503650	3365	0,9212	4,0365	4730	3828	902
L09737	5	-46,8162229	-23,6600075	2828	0,1768	0,651	4223	3254	969
L09738	13	-46,8034000	-23,6518660	1067	1,2184	1,6927	1487	1242	245
L09739	13	-46,8087236	-23,6590916	2564	0,507	1,6927	3639	2929	710
L09740	10	-46,8041479	-23,6575080	3699	0,2703	1,3021	5492	4224	1268
L09741	1	-46,7948859	-23,6548973	746	0,134	0,1302	1086	858	228
L09742	16	-46,8037080	-23,6692959	1662	0,9627	2,0833	2384	1891	493
L09743	4	-46,7998450	-23,6642769	2326	0,172	0,5208	3417	2716	701
L09744	24	-46,8082652	-23,6568515	3520	0,6818	3,125	4765	3919	846
L09745	1	-46,7990273	-23,6715894	2152	0,0465	0,1302	3051	2486	565
L09746	5	-46,8187290	-23,6600240	3538	0,1413	0,651	4850	3945	905
L09747	8	-46,8001800	-23,6601018	3089	0,259	1,0417	4332	3488	844
L09748	11	-46,8060867	-23,6656011	2302	0,4778	1,4323	3133	2615	518
L09749	5	-46,8144630	-23,6512836	2776	0,1801	0,651	3877	3100	777
L09750	3	-46,8069030	-23,6835880	1432	0,2095	0,3906	2011	1669	342
