cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L08014	1	-46,8262088	-23,6279983	2791	0,0358	0,4405	3889	3086	803
L08017	9	-46,8997040	-23,6432158	1710	0,5263	3,9648	2539	1907	632
L08018	29	-46,8487206	-23,6553446	1720	1,686	12,7753	2349	1856	493
L08019	10	-46,8485912	-23,6453295	2266	0,4413	4,4053	3288	2524	764
L08020	1	-46,8736085	-23,6784976	1740	0,0575	0,4405	2482	1909	573
L08021	2	-46,8503124	-23,6236498	1007	0,1986	0,8811	1513	1153	360
L08022	2	-46,8468148	-23,6723725	2229	0,0897	0,8811	3140	2508	632
L08023	21	-46,8424877	-23,6556493	1059	1,983	9,2511	1471	1160	311
L08024	20	-46,8609293	-23,6489209	1930	1,0363	8,8106	2898	2195	703
L08026	24	-46,8504836	-23,6538915	1769	1,3567	10,5727	2749	2004	745
L08030	17	-46,8569917	-23,6538808	1341	1,2677	7,489	2066	1555	511
L08033	1	-46,8523818	-23,6693739	836	0,1196	0,4405	1156	906	250
L08034	46	-46,8567668	-23,6535866	2696	1,7062	20,2643	4076	3043	1033
L08035	2	-46,8557912	-23,6789669	2511	0,0796	0,8811	3583	2803	780
L08040	32	-46,8629845	-23,6598454	1755	1,8234	14,0969	2497	1943	554
L08042	1	-46,8029413	-23,6465549	1707	0,0586	0,4405	2389	1904	485
L08047	3	-46,8524294	-23,6405637	1858	0,1615	1,3216	2724	2069	655
L08049	2	-46,8307928	-23,6381532	465	0,4301	0,8811	703	542	161
L09728	1	-46,8150508	-23,6560005	3416	0,0293	0,4405	5004	3901	1103
L09740	1	-46,8041479	-23,6575080	3699	0,027	0,4405	5492	4224	1268
L09744	1	-46,8082652	-23,6568515	3520	0,0284	0,4405	4765	3919	846
L09748	1	-46,8060867	-23,6656011	2302	0,0434	0,4405	3133	2615	518
