cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L08013	9	-46,8184279	-23,6517056	1941	0,4637	3,2374	2820	2177	643
L08014	1	-46,8262088	-23,6279983	2791	0,0358	0,3597	3889	3086	803
L08015	3	-46,8077371	-23,6434693	2363	0,127	1,0791	3433	2695	738
L08016	5	-46,8572485	-23,6419044	1245	0,4016	1,7986	1770	1380	390
L08017	1	-46,8997040	-23,6432158	1710	0,0585	0,3597	2539	1907	632
L08018	7	-46,8487206	-23,6553446	1720	0,407	2,518	2349	1856	493
L08019	5	-46,8485912	-23,6453295	2266	0,2207	1,7986	3288	2524	764
L08020	3	-46,8736085	-23,6784976	1740	0,1724	1,0791	2482	1909	573
L08021	2	-46,8503124	-23,6236498	1007	0,1986	0,7194	1513	1153	360
L08022	5	-46,8468148	-23,6723725	2229	0,2243	1,7986	3140	2508	632
L08023	9	-46,8424877	-23,6556493	1059	0,8499	3,2374	1471	1160	311
L08024	7	-46,8609293	-23,6489209	1930	0,3627	2,518	2898	2195	703
L08025	8	-46,8178244	-23,6488430	3306	0,242	2,8777	4610	3733	877
L08026	12	-46,8504836	-23,6538915	1769	0,6783	4,3165	2749	2004	745
L08027	3	-46,8239963	-23,6289539	1240	0,2419	1,0791	1866	1400	466
L08028	1	-46,8803086	-23,6288350	812	0,1232	0,3597	1261	973	288
L08029	1	-46,8141467	-23,6292761	1454	0,0688	0,3597	2118	1678	440
L08030	9	-46,8569917	-23,6538808	1341	0,6711	3,2374	2066	1555	511
L08031	4	-46,8388459	-23,6366614	1294	0,3091	1,4388	1823	1425	398
L08032	7	-46,8114888	-23,6426171	3204	0,2185	2,518	4497	3631	866
L08034	10	-46,8567668	-23,6535866	2696	0,3709	3,5971	4076	3043	1033
L08035	21	-46,8557912	-23,6789669	2511	0,8363	7,554	3583	2803	780
L08036	2	-46,8069720	-23,6498697	318	0,6289	0,7194	466	365	101
L08037	5	-46,8076622	-23,6501591	2472	0,2023	1,7986	3476	2807	669
L08038	3	-46,8008761	-23,6461516	1743	0,1721	1,0791	2459	1977	482
L08039	5	-46,8244094	-23,6293041	2377	0,2103	1,7986	3380	2646	734
L08040	3	-46,8629845	-23,6598454	1755	0,1709	1,0791	2497	1943	554
L08042	1	-46,8029413	-23,6465549	1707	0,0586	0,3597	2389	1904	485
L08043	1	-46,8144480	-23,6189368	1796	0,0557	0,3597	2443	1964	479
L08044	1	-46,8089022	-23,6436582	1111	0,09	0,3597	1613	1279	334
L08045	7	-46,8526677	-23,6799987	1460	0,4795	2,518	2113	1629	484
L08046	2	-46,8063115	-23,6500014	2245	0,0891	0,7194	3013	2488	525
L08047	8	-46,8524294	-23,6405637	1858	0,4306	2,8777	2724	2069	655
L08048	6	-46,8192410	-23,6454460	3086	0,1944	2,1583	4357	3459	898
L08049	1	-46,8307928	-23,6381532	465	0,2151	0,3597	703	542	161
L09724	3	-46,8157311	-23,6601408	457	0,6565	1,0791	712	508	204
L09725	2	-46,8001166	-23,6474836	237	0,8439	0,7194	328	261	67
L09726	13	-46,8038130	-23,6799130	3234	0,402	4,6763	4654	3697	957
L09727	2	-46,8034731	-23,6740895	2245	0,0891	0,7194	3338	2645	693
L09728	7	-46,8150508	-23,6560005	3416	0,2049	2,518	5004	3901	1103
L09729	2	-46,8075218	-23,6596193	1420	0,1408	0,7194	2052	1630	422
L09730	5	-46,7966100	-23,6603422	3709	0,1348	1,7986	5232	4149	1083
L09731	2	-46,8076525	-23,6733218	3708	0,0539	0,7194	5344	4205	1139
L09732	4	-46,7976920	-23,6531800	4092	0,0978	1,4388	5773	4660	1113
L09733	3	-46,7954975	-23,6532021	2560	0,1172	1,0791	3813	2892	921
L09734	2	-46,8005910	-23,6694550	3322	0,0602	0,7194	4966	3926	1040
L09735	1	-46,8008130	-23,6705320	1271	0,0787	0,3597	1902	1470	432
L09736	14	-46,7997252	-23,6503650	3365	0,416	5,036	4730	3828	902
L09737	1	-46,8162229	-23,6600075	2828	0,0354	0,3597	4223	3254	969
L09738	3	-46,8034000	-23,6518660	1067	0,2812	1,0791	1487	1242	245
L09739	3	-46,8087236	-23,6590916	2564	0,117	1,0791	3639	2929	710
L09740	2	-46,8041479	-23,6575080	3699	0,0541	0,7194	5492	4224	1268
L09741	3	-46,7948859	-23,6548973	746	0,4021	1,0791	1086	858	228
L09742	5	-46,8037080	-23,6692959	1662	0,3008	1,7986	2384	1891	493
L09743	2	-46,7998450	-23,6642769	2326	0,086	0,7194	3417	2716	701
L09744	6	-46,8082652	-23,6568515	3520	0,1705	2,1583	4765	3919	846
L09745	4	-46,7990273	-23,6715894	2152	0,1859	1,4388	3051	2486	565
L09746	2	-46,8187290	-23,6600240	3538	0,0565	0,7194	4850	3945	905
L09747	3	-46,8001800	-23,6601018	3089	0,0971	1,0791	4332	3488	844
L09749	6	-46,8144630	-23,6512836	2776	0,2161	2,1583	3877	3100	777
