cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L08013	38	-46,8184279	-23,6517056	1941	1,9578	1,6814	2820	2177	643
L08014	70	-46,8262088	-23,6279983	2791	2,5081	3,0973	3889	3086	803
L08015	20	-46,8077371	-23,6434693	2363	0,8464	0,885	3433	2695	738
L08016	28	-46,8572485	-23,6419044	1245	2,249	1,2389	1770	1380	390
L08017	20	-46,8997040	-23,6432158	1710	1,1696	0,885	2539	1907	632
L08018	28	-46,8487206	-23,6553446	1720	1,6279	1,2389	2349	1856	493
L08019	34	-46,8485912	-23,6453295	2266	1,5004	1,5044	3288	2524	764
L08020	29	-46,8736085	-23,6784976	1740	1,6667	1,2832	2482	1909	573
L08021	5	-46,8503124	-23,6236498	1007	0,4965	0,2212	1513	1153	360
L08022	22	-46,8468148	-23,6723725	2229	0,987	0,9735	3140	2508	632
L08023	22	-46,8424877	-23,6556493	1059	2,0774	0,9735	1471	1160	311
L08024	25	-46,8609293	-23,6489209	1930	1,2953	1,1062	2898	2195	703
L08025	45	-46,8178244	-23,6488430	3306	1,3612	1,9912	4610	3733	877
L08026	24	-46,8504836	-23,6538915	1769	1,3567	1,0619	2749	2004	745
L08027	28	-46,8239963	-23,6289539	1240	2,2581	1,2389	1866	1400	466
L08028	54	-46,8803086	-23,6288350	812	6,6502	2,3894	1261	973	288
L08029	9	-46,8141467	-23,6292761	1454	0,619	0,3982	2118	1678	440
L08030	9	-46,8569917	-23,6538808	1341	0,6711	0,3982	2066	1555	511
L08031	14	-46,8388459	-23,6366614	1294	1,0819	0,6195	1823	1425	398
L08032	28	-46,8114888	-23,6426171	3204	0,8739	1,2389	4497	3631	866
L08033	82	-46,8523818	-23,6693739	836	9,8086	3,6283	1156	906	250
L08034	25	-46,8567668	-23,6535866	2696	0,9273	1,1062	4076	3043	1033
L08035	30	-46,8557912	-23,6789669	2511	1,1947	1,3274	3583	2803	780
L08036	2	-46,8069720	-23,6498697	318	0,6289	0,0885	466	365	101
L08037	8	-46,8076622	-23,6501591	2472	0,3236	0,354	3476	2807	669
L08038	3	-46,8008761	-23,6461516	1743	0,1721	0,1327	2459	1977	482
L08039	34	-46,8244094	-23,6293041	2377	1,4304	1,5044	3380	2646	734
L08040	15	-46,8629845	-23,6598454	1755	0,8547	0,6637	2497	1943	554
L08041	2	-46,8043721	-23,6469718	460	0,4348	0,0885	664	540	124
L08042	9	-46,8029413	-23,6465549	1707	0,5272	0,3982	2389	1904	485
L08043	38	-46,8144480	-23,6189368	1796	2,1158	1,6814	2443	1964	479
L08044	15	-46,8089022	-23,6436582	1111	1,3501	0,6637	1613	1279	334
L08045	8	-46,8526677	-23,6799987	1460	0,5479	0,354	2113	1629	484
L08046	1	-46,8063115	-23,6500014	2245	0,0445	0,0442	3013	2488	525
L08047	36	-46,8524294	-23,6405637	1858	1,9376	1,5929	2724	2069	655
L08048	16	-46,8192410	-23,6454460	3086	0,5185	0,708	4357	3459	898
L08049	6	-46,8307928	-23,6381532	465	1,2903	0,2655	703	542	161
L09724	3	-46,8157311	-23,6601408	457	0,6565	0,1327	712	508	204
L09725	2	-46,8001166	-23,6474836	237	0,8439	0,0885	328	261	67
L09726	112	-46,8038130	-23,6799130	3234	3,4632	4,9558	4654	3697	957
L09727	69	-46,8034731	-23,6740895	2245	3,0735	3,0531	3338	2645	693
L09728	35	-46,8150508	-23,6560005	3416	1,0246	1,5487	5004	3901	1103
L09729	20	-46,8075218	-23,6596193	1420	1,4085	0,885	2052	1630	422
L09730	36	-46,7966100	-23,6603422	3709	0,9706	1,5929	5232	4149	1083
L09731	77	-46,8076525	-23,6733218	3708	2,0766	3,4071	5344	4205	1139
L09732	28	-46,7976920	-23,6531800	4092	0,6843	1,2389	5773	4660	1113
L09733	8	-46,7954975	-23,6532021	2560	0,3125	0,354	3813	2892	921
L09734	181	-46,8005910	-23,6694550	3322	5,4485	8,0088	4966	3926	1040
L09735	80	-46,8008130	-23,6705320	1271	6,2943	3,5398	1902	1470	432
L09736	23	-46,7997252	-23,6503650	3365	0,6835	1,0177	4730	3828	902
L09737	27	-46,8162229	-23,6600075	2828	0,9547	1,1947	4223	3254	969
L09738	7	-46,8034000	-23,6518660	1067	0,656	0,3097	1487	1242	245
L09739	36	-46,8087236	-23,6590916	2564	1,4041	1,5929	3639	2929	710
L09740	41	-46,8041479	-23,6575080	3699	1,1084	1,8142	5492	4224	1268
L09741	6	-46,7948859	-23,6548973	746	0,8043	0,2655	1086	858	228
L09742	46	-46,8037080	-23,6692959	1662	2,7677	2,0354	2384	1891	493
L09743	43	-46,7998450	-23,6642769	2326	1,8487	1,9027	3417	2716	701
L09744	33	-46,8082652	-23,6568515	3520	0,9375	1,4602	4765	3919	846
L09745	233	-46,7990273	-23,6715894	2152	10,8271	10,3097	3051	2486	565
L09746	17	-46,8187290	-23,6600240	3538	0,4805	0,7522	4850	3945	905
L09747	35	-46,8001800	-23,6601018	3089	1,1331	1,5487	4332	3488	844
L09748	34	-46,8060867	-23,6656011	2302	1,477	1,5044	3133	2615	518
L09749	23	-46,8144630	-23,6512836	2776	0,8285	1,0177	3877	3100	777
L09750	123	-46,8069030	-23,6835880	1432	8,5894	5,4425	2011	1669	342
