cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L10059	1	-46,3844600	-23,5373610	1918	0,0521	1,0309	2873	2258	615
L10061	1	-46,3687240	-23,5449808	1371	0,0729	1,0309	2094	1555	539
L10062	1	-46,3642569	-23,5406060	2654	0,0377	1,0309	4398	2946	1452
L10063	13	-46,3777280	-23,5581989	2878	0,4517	13,4021	4250	3247	1003
L10065	4	-46,3824311	-23,5465527	2901	0,1379	4,1237	4280	3295	985
L10067	4	-46,3670579	-23,5432884	3030	0,132	4,1237	5216	3376	1840
L10071	1	-46,3900579	-23,5494280	2350	0,0426	1,0309	3523	2713	810
L10080	2	-46,3575370	-23,5394390	2859	0,07	2,0619	4602	3154	1448
L10081	1	-46,3856720	-23,5503040	2341	0,0427	1,0309	3324	2681	643
L10084	5	-46,3716458	-23,5560166	2637	0,1896	5,1546	3865	3009	856
L10086	6	-46,3892556	-23,5539851	3193	0,1879	6,1856	4541	3646	895
L10088	1	-46,3581550	-23,5475340	2493	0,0401	1,0309	3596	2820	776
L10089	12	-46,3823390	-23,5607850	2687	0,4466	12,3711	3783	3037	746
L10091	44	-46,3786650	-23,5542790	3228	1,3631	45,3608	4773	3667	1106
L10100	1	-46,3769064	-23,5465530	1498	0,0668	1,0309	2177	1771	406
