cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L10062	2	-46,3642569	-23,5406060	2654	0,0754	0,8065	4398	2946	1452
L10063	2	-46,3777280	-23,5581989	2878	0,0695	0,8065	4250	3247	1003
L10065	2	-46,3824311	-23,5465527	2901	0,0689	0,8065	4280	3295	985
L10066	1	-46,3713937	-23,5562418	1982	0,0505	0,4032	2900	2259	641
L10067	1	-46,3670579	-23,5432884	3030	0,033	0,4032	5216	3376	1840
L10070	92	-46,3706014	-23,5158132	3048	3,0184	37,0968	4432	3471	961
L10072	4	-46,3633765	-23,5341403	1808	0,2212	1,6129	3030	2005	1025
L10073	1	-46,3679758	-23,5304623	3064	0,0326	0,4032	4438	3440	998
L10074	1	-46,3718960	-23,5380869	2509	0,0399	0,4032	3689	2858	831
L10077	1	-46,3834229	-23,5377410	1021	0,0979	0,4032	1493	1175	318
L10080	1	-46,3575370	-23,5394390	2859	0,035	0,4032	4602	3154	1448
L10081	1	-46,3856720	-23,5503040	2341	0,0427	0,4032	3324	2681	643
L10082	42	-46,3696960	-23,5204920	2100	2,0	16,9355	3049	2427	622
L10083	6	-46,3634040	-23,5290020	2420	0,2479	2,4194	3554	2762	792
L10084	1	-46,3716458	-23,5560166	2637	0,0379	0,4032	3865	3009	856
L10085	15	-46,3695386	-23,5228840	1335	1,1236	6,0484	1898	1503	395
L10086	2	-46,3892556	-23,5539851	3193	0,0626	0,8065	4541	3646	895
L10087	34	-46,3770400	-23,5168330	2019	1,684	13,7097	3291	2434	857
L10089	1	-46,3823390	-23,5607850	2687	0,0372	0,4032	3783	3037	746
L10090	1	-46,3648740	-23,5481460	2789	0,0359	0,4032	4127	3118	1009
L10091	1	-46,3786650	-23,5542790	3228	0,031	0,4032	4773	3667	1106
L10092	12	-46,3689340	-23,5264300	835	1,4371	4,8387	1219	937	282
L10093	3	-46,3666890	-23,5627450	1907	0,1573	1,2097	2610	2130	480
L10095	1	-46,3684730	-23,5308800	763	0,1311	0,4032	1111	869	242
L10096	2	-46,3742040	-23,5423870	1920	0,1042	0,8065	2624	2138	486
L10097	1	-46,3573840	-23,5405290	916	0,1092	0,4032	1277	1029	248
L10098	17	-46,3700210	-23,5209820	1794	0,9476	6,8548	2553	2058	495
