cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L10059	5	-46,3844600	-23,5373610	1918	0,2607	2,1008	2873	2258	615
L10061	1	-46,3687240	-23,5449808	1371	0,0729	0,4202	2094	1555	539
L10062	12	-46,3642569	-23,5406060	2654	0,4521	5,042	4398	2946	1452
L10065	6	-46,3824311	-23,5465527	2901	0,2068	2,521	4280	3295	985
L10066	4	-46,3713937	-23,5562418	1982	0,2018	1,6807	2900	2259	641
L10067	12	-46,3670579	-23,5432884	3030	0,396	5,042	5216	3376	1840
L10070	1	-46,3706014	-23,5158132	3048	0,0328	0,4202	4432	3471	961
L10072	25	-46,3633765	-23,5341403	1808	1,3827	10,5042	3030	2005	1025
L10073	22	-46,3679758	-23,5304623	3064	0,718	9,2437	4438	3440	998
L10074	45	-46,3718960	-23,5380869	2509	1,7935	18,9076	3689	2858	831
L10075	4	-46,3570430	-23,5397000	2414	0,1657	1,6807	3621	2771	850
L10078	9	-46,3579350	-23,5332420	1123	0,8014	3,7815	1594	1258	336
L10079	15	-46,3767650	-23,5387550	2457	0,6105	6,3025	3669	2737	932
L10080	12	-46,3575370	-23,5394390	2859	0,4197	5,042	4602	3154	1448
L10083	5	-46,3634040	-23,5290020	2420	0,2066	2,1008	3554	2762	792
L10084	7	-46,3716458	-23,5560166	2637	0,2655	2,9412	3865	3009	856
L10085	3	-46,3695386	-23,5228840	1335	0,2247	1,2605	1898	1503	395
L10086	6	-46,3892556	-23,5539851	3193	0,1879	2,521	4541	3646	895
L10087	1	-46,3770400	-23,5168330	2019	0,0495	0,4202	3291	2434	857
L10089	1	-46,3823390	-23,5607850	2687	0,0372	0,4202	3783	3037	746
L10090	1	-46,3648740	-23,5481460	2789	0,0359	0,4202	4127	3118	1009
L10091	2	-46,3786650	-23,5542790	3228	0,062	0,8403	4773	3667	1106
L10092	1	-46,3689340	-23,5264300	835	0,1198	0,4202	1219	937	282
L10095	5	-46,3684730	-23,5308800	763	0,6553	2,1008	1111	869	242
L10096	20	-46,3742040	-23,5423870	1920	1,0417	8,4034	2624	2138	486
L10098	1	-46,3700210	-23,5209820	1794	0,0557	0,4202	2553	2058	495
L10099	6	-46,3705766	-23,5447254	2039	0,2943	2,521	3071	2337	734
L10100	6	-46,3769064	-23,5465530	1498	0,4005	2,521	2177	1771	406
