cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L10059	3	-46,3844600	-23,5373610	1918	0,1564	0,3896	2873	2258	615
L10061	4	-46,3687240	-23,5449808	1371	0,2918	0,5195	2094	1555	539
L10062	10	-46,3642569	-23,5406060	2654	0,3768	1,2987	4398	2946	1452
L10063	3	-46,3777280	-23,5581989	2878	0,1042	0,3896	4250	3247	1003
L10064	4	-46,3890098	-23,5576691	2601	0,1538	0,5195	3849	3002	847
L10065	11	-46,3824311	-23,5465527	2901	0,3792	1,4286	4280	3295	985
L10066	2	-46,3713937	-23,5562418	1982	0,1009	0,2597	2900	2259	641
L10067	10	-46,3670579	-23,5432884	3030	0,33	1,2987	5216	3376	1840
L10068	71	-46,3930746	-23,5323789	1951	3,6392	9,2208	3126	2420	706
L10069	3	-46,3587330	-23,5580219	3436	0,0873	0,3896	5027	3864	1163
L10070	6	-46,3706014	-23,5158132	3048	0,1969	0,7792	4432	3471	961
L10072	63	-46,3633765	-23,5341403	1808	3,4845	8,1818	3030	2005	1025
L10073	117	-46,3679758	-23,5304623	3064	3,8185	15,1948	4438	3440	998
L10074	10	-46,3718960	-23,5380869	2509	0,3986	1,2987	3689	2858	831
L10075	5	-46,3570430	-23,5397000	2414	0,2071	0,6494	3621	2771	850
L10078	81	-46,3579350	-23,5332420	1123	7,2128	10,5195	1594	1258	336
L10079	3	-46,3767650	-23,5387550	2457	0,1221	0,3896	3669	2737	932
L10080	13	-46,3575370	-23,5394390	2859	0,4547	1,6883	4602	3154	1448
L10081	1	-46,3856720	-23,5503040	2341	0,0427	0,1299	3324	2681	643
L10082	5	-46,3696960	-23,5204920	2100	0,2381	0,6494	3049	2427	622
L10083	233	-46,3634040	-23,5290020	2420	9,6281	30,2597	3554	2762	792
L10084	4	-46,3716458	-23,5560166	2637	0,1517	0,5195	3865	3009	856
L10085	17	-46,3695386	-23,5228840	1335	1,2734	2,2078	1898	1503	395
L10086	4	-46,3892556	-23,5539851	3193	0,1253	0,5195	4541	3646	895
L10087	15	-46,3770400	-23,5168330	2019	0,7429	1,9481	3291	2434	857
L10088	6	-46,3581550	-23,5475340	2493	0,2407	0,7792	3596	2820	776
L10089	3	-46,3823390	-23,5607850	2687	0,1116	0,3896	3783	3037	746
L10090	8	-46,3648740	-23,5481460	2789	0,2868	1,039	4127	3118	1009
L10091	7	-46,3786650	-23,5542790	3228	0,2169	0,9091	4773	3667	1106
L10092	19	-46,3689340	-23,5264300	835	2,2754	2,4675	1219	937	282
L10094	1	-46,3612288	-23,5732374	1172	0,0853	0,1299	1754	1260	494
L10095	18	-46,3684730	-23,5308800	763	2,3591	2,3377	1111	869	242
L10096	3	-46,3742040	-23,5423870	1920	0,1562	0,3896	2624	2138	486
L10098	3	-46,3700210	-23,5209820	1794	0,1672	0,3896	2553	2058	495
L10099	3	-46,3705766	-23,5447254	2039	0,1471	0,3896	3071	2337	734
L10100	1	-46,3769064	-23,5465530	1498	0,0668	0,1299	2177	1771	406
