cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L08771	6	-46,7445320	-23,2779900	1795	0,3343	1,7964	2548	1986	562
L08772	11	-46,7395732	-23,2754946	2105	0,5226	3,2934	3135	2397	738
L08773	16	-46,7511363	-23,2775591	3826	0,4182	4,7904	5807	4272	1535
L08774	10	-46,7398458	-23,2775708	2891	0,3459	2,994	4688	3293	1395
L08775	4	-46,7296045	-23,2800431	3593	0,1113	1,1976	5452	4212	1240
L08776	12	-46,7424408	-23,2578921	3435	0,3493	3,5928	5375	3963	1412
L08777	37	-46,7084260	-23,2856363	3210	1,1526	11,0778	5003	3747	1256
L08778	12	-46,7371767	-23,2834582	3558	0,3373	3,5928	5392	4027	1365
L08779	15	-46,7306685	-23,2688871	3901	0,3845	4,491	5807	4415	1392
L08780	9	-46,7210701	-23,2745477	4763	0,189	2,6946	6954	5330	1624
L08781	15	-46,7293727	-23,2991642	3121	0,4806	4,491	4713	3612	1101
L08782	8	-46,7529656	-23,2834389	2699	0,2964	2,3952	3867	3001	866
L08783	11	-46,7477922	-23,2840979	4216	0,2609	3,2934	6447	4768	1679
L08784	4	-46,7408702	-23,2818336	883	0,453	1,1976	1425	1051	374
L08785	9	-46,7522131	-23,2702292	2134	0,4217	2,6946	3104	2401	703
L08786	9	-46,7423265	-23,2919153	4613	0,1951	2,6946	6920	5249	1671
L08787	1	-46,7593926	-23,2875173	1576	0,0635	0,2994	2296	1778	518
L08788	11	-46,7448066	-23,2794319	2575	0,4272	3,2934	3802	2932	870
L08789	1	-46,7357751	-23,3020340	1839	0,0544	0,2994	2669	2090	579
L08790	3	-46,7416480	-23,2591949	1765	0,17	0,8982	2777	2058	719
L08791	22	-46,7462429	-23,2799446	2370	0,9283	6,5868	3709	2619	1090
L08792	11	-46,7512522	-23,2807059	2660	0,4135	3,2934	4190	3006	1184
L08793	8	-46,7394020	-23,2747430	1400	0,5714	2,3952	2104	1584	520
L08795	1	-46,7211867	-23,2758590	363	0,2755	0,2994	520	408	112
L08797	39	-46,7083472	-23,2860467	2345	1,6631	11,6766	3487	2695	792
L08798	22	-46,7303626	-23,2700058	4536	0,485	6,5868	6706	5111	1595
L08799	4	-46,7457241	-23,2801030	926	0,432	1,1976	1461	1028	433
L08800	3	-46,7498660	-23,2953150	2808	0,1068	0,8982	4098	3162	936
L08801	8	-46,7356360	-23,2834490	3866	0,2069	2,3952	5621	4304	1317
L08802	12	-46,7461555	-23,2677431	2584	0,4644	3,5928	3851	2914	937
