cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L08772	1	-46,7395732	-23,2754946	2105	0,0475	0,5376	3135	2397	738
L08773	3	-46,7511363	-23,2775591	3826	0,0784	1,6129	5807	4272	1535
L08774	3	-46,7398458	-23,2775708	2891	0,1038	1,6129	4688	3293	1395
L08775	4	-46,7296045	-23,2800431	3593	0,1113	2,1505	5452	4212	1240
L08777	80	-46,7084260	-23,2856363	3210	2,4922	43,0108	5003	3747	1256
L08778	2	-46,7371767	-23,2834582	3558	0,0562	1,0753	5392	4027	1365
L08779	2	-46,7306685	-23,2688871	3901	0,0513	1,0753	5807	4415	1392
L08780	5	-46,7210701	-23,2745477	4763	0,105	2,6882	6954	5330	1624
L08781	7	-46,7293727	-23,2991642	3121	0,2243	3,7634	4713	3612	1101
L08785	1	-46,7522131	-23,2702292	2134	0,0469	0,5376	3104	2401	703
L08786	1	-46,7423265	-23,2919153	4613	0,0217	0,5376	6920	5249	1671
L08788	1	-46,7448066	-23,2794319	2575	0,0388	0,5376	3802	2932	870
L08792	1	-46,7512522	-23,2807059	2660	0,0376	0,5376	4190	3006	1184
L08793	1	-46,7394020	-23,2747430	1400	0,0714	0,5376	2104	1584	520
L08797	68	-46,7083472	-23,2860467	2345	2,8998	36,5591	3487	2695	792
L08798	2	-46,7303626	-23,2700058	4536	0,0441	1,0753	6706	5111	1595
L08801	4	-46,7356360	-23,2834490	3866	0,1035	2,1505	5621	4304	1317
