cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L08771	59	-46,7445320	-23,2779900	1795	3,2869	3,5823	2548	1986	562
L08772	80	-46,7395732	-23,2754946	2105	3,8005	4,8573	3135	2397	738
L08773	51	-46,7511363	-23,2775591	3826	1,333	3,0965	5807	4272	1535
L08774	84	-46,7398458	-23,2775708	2891	2,9056	5,1002	4688	3293	1395
L08775	47	-46,7296045	-23,2800431	3593	1,3081	2,8537	5452	4212	1240
L08776	81	-46,7424408	-23,2578921	3435	2,3581	4,918	5375	3963	1412
L08777	16	-46,7084260	-23,2856363	3210	0,4984	0,9715	5003	3747	1256
L08778	49	-46,7371767	-23,2834582	3558	1,3772	2,9751	5392	4027	1365
L08779	68	-46,7306685	-23,2688871	3901	1,7431	4,1287	5807	4415	1392
L08780	68	-46,7210701	-23,2745477	4763	1,4277	4,1287	6954	5330	1624
L08781	41	-46,7293727	-23,2991642	3121	1,3137	2,4894	4713	3612	1101
L08782	62	-46,7529656	-23,2834389	2699	2,2971	3,7644	3867	3001	866
L08783	109	-46,7477922	-23,2840979	4216	2,5854	6,6181	6447	4768	1679
L08784	19	-46,7408702	-23,2818336	883	2,1518	1,1536	1425	1051	374
L08785	46	-46,7522131	-23,2702292	2134	2,1556	2,793	3104	2401	703
L08786	81	-46,7423265	-23,2919153	4613	1,7559	4,918	6920	5249	1671
L08787	27	-46,7593926	-23,2875173	1576	1,7132	1,6393	2296	1778	518
L08788	48	-46,7448066	-23,2794319	2575	1,8641	2,9144	3802	2932	870
L08789	39	-46,7357751	-23,3020340	1839	2,1207	2,3679	2669	2090	579
L08790	47	-46,7416480	-23,2591949	1765	2,6629	2,8537	2777	2058	719
L08791	68	-46,7462429	-23,2799446	2370	2,8692	4,1287	3709	2619	1090
L08792	70	-46,7512522	-23,2807059	2660	2,6316	4,2502	4190	3006	1184
L08793	62	-46,7394020	-23,2747430	1400	4,4286	3,7644	2104	1584	520
L08794	5	-46,7257287	-23,3118935	768	0,651	0,3036	1044	853	191
L08795	6	-46,7211867	-23,2758590	363	1,6529	0,3643	520	408	112
L08796	15	-46,7589913	-23,2880867	993	1,5106	0,9107	1420	1130	290
L08797	11	-46,7083472	-23,2860467	2345	0,4691	0,6679	3487	2695	792
L08798	94	-46,7303626	-23,2700058	4536	2,0723	5,7073	6706	5111	1595
L08799	26	-46,7457241	-23,2801030	926	2,8078	1,5786	1461	1028	433
L08800	65	-46,7498660	-23,2953150	2808	2,3148	3,9466	4098	3162	936
L08801	65	-46,7356360	-23,2834490	3866	1,6813	3,9466	5621	4304	1317
L08802	38	-46,7461555	-23,2677431	2584	1,4706	2,3072	3851	2914	937
