cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04454	3	-46,7470261	-23,3271359	1691	0,1774	0,6012	2760	2033	727
L04459	30	-46,7156394	-23,3319003	2081	1,4416	6,012	3117	2397	720
L04460	32	-46,7309560	-23,3226810	2963	1,08	6,4128	4594	3540	1054
L04461	84	-46,7265455	-23,3324005	5153	1,6301	16,8337	8875	5947	2928
L04468	25	-46,7062725	-23,3262240	2684	0,9314	5,01	3935	3095	840
L04469	6	-46,7288875	-23,3136511	2856	0,2101	1,2024	4478	3365	1113
L04470	12	-46,7374196	-23,3177022	2785	0,4309	2,4048	4046	3169	877
L04471	2	-46,6982300	-23,3251611	1558	0,1284	0,4008	2312	1740	572
L04472	12	-46,7288870	-23,3175250	3008	0,3989	2,4048	4916	3533	1383
L04475	23	-46,7167480	-23,3318170	2240	1,0268	4,6092	3625	2596	1029
L04477	5	-46,7232223	-23,3115866	2912	0,1717	1,002	4261	3336	925
L04478	3	-46,7192240	-23,3028970	863	0,3476	0,6012	1301	1052	249
L04479	9	-46,7137465	-23,3200043	2445	0,3681	1,8036	3907	2935	972
L04480	63	-46,7192863	-23,3278265	2772	2,2727	12,6253	4267	3197	1070
L04481	8	-46,7070249	-23,2985539	1553	0,5151	1,6032	2498	1865	633
L04482	4	-46,7599028	-23,2987451	1776	0,2252	0,8016	2865	2172	693
L04484	10	-46,7164309	-23,3318294	347	2,8818	2,004	529	400	129
L04485	1	-46,7600078	-23,3180950	332	0,3012	0,2004	614	440	174
L04486	9	-46,7289732	-23,3183264	1852	0,486	1,8036	2917	2199	718
L04487	40	-46,7138581	-23,3238825	3402	1,1758	8,016	5215	3882	1333
L04488	7	-46,7131584	-23,2992386	1866	0,3751	1,4028	2748	2099	649
L04489	1	-46,7244002	-23,3033804	1186	0,0843	0,2004	1708	1377	331
L04490	9	-46,7520908	-23,3261192	1960	0,4592	1,8036	3155	2296	859
L04491	5	-46,7287945	-23,3067878	2665	0,1876	1,002	3923	3061	862
L04492	22	-46,7368940	-23,3300545	1497	1,4696	4,4088	2342	1798	544
L04493	16	-46,7034265	-23,3249477	2804	0,5706	3,2064	3944	3161	783
L04494	4	-46,7463514	-23,3063525	915	0,4372	0,8016	1321	1074	247
L04495	8	-46,7263985	-23,3310551	442	1,81	1,6032	816	520	296
L04496	5	-46,7161946	-23,3164017	1056	0,4735	1,002	1582	1250	332
L04497	4	-46,7100530	-23,3184947	2540	0,1575	0,8016	3816	2964	852
L04507	37	-46,7204651	-23,3350997	2065	1,7918	7,4148	3237	2370	867
