cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04454	4	-46,7470261	-23,3271359	1691	0,2365	1,4599	2760	2033	727
L04459	2	-46,7156394	-23,3319003	2081	0,0961	0,7299	3117	2397	720
L04460	67	-46,7309560	-23,3226810	2963	2,2612	24,4526	4594	3540	1054
L04461	10	-46,7265455	-23,3324005	5153	0,1941	3,6496	8875	5947	2928
L04468	11	-46,7062725	-23,3262240	2684	0,4098	4,0146	3935	3095	840
L04469	11	-46,7288875	-23,3136511	2856	0,3852	4,0146	4478	3365	1113
L04470	10	-46,7374196	-23,3177022	2785	0,3591	3,6496	4046	3169	877
L04471	7	-46,6982300	-23,3251611	1558	0,4493	2,5547	2312	1740	572
L04472	19	-46,7288870	-23,3175250	3008	0,6316	6,9343	4916	3533	1383
L04475	2	-46,7167480	-23,3318170	2240	0,0893	0,7299	3625	2596	1029
L04477	24	-46,7232223	-23,3115866	2912	0,8242	8,7591	4261	3336	925
L04478	4	-46,7192240	-23,3028970	863	0,4635	1,4599	1301	1052	249
L04479	6	-46,7137465	-23,3200043	2445	0,2454	2,1898	3907	2935	972
L04480	13	-46,7192863	-23,3278265	2772	0,469	4,7445	4267	3197	1070
L04481	2	-46,7070249	-23,2985539	1553	0,1288	0,7299	2498	1865	633
L04482	1	-46,7599028	-23,2987451	1776	0,0563	0,365	2865	2172	693
L04485	3	-46,7600078	-23,3180950	332	0,9036	1,0949	614	440	174
L04486	11	-46,7289732	-23,3183264	1852	0,594	4,0146	2917	2199	718
L04487	5	-46,7138581	-23,3238825	3402	0,147	1,8248	5215	3882	1333
L04488	4	-46,7131584	-23,2992386	1866	0,2144	1,4599	2748	2099	649
L04489	6	-46,7244002	-23,3033804	1186	0,5059	2,1898	1708	1377	331
L04490	6	-46,7520908	-23,3261192	1960	0,3061	2,1898	3155	2296	859
L04491	18	-46,7287945	-23,3067878	2665	0,6754	6,5693	3923	3061	862
L04492	7	-46,7368940	-23,3300545	1497	0,4676	2,5547	2342	1798	544
L04493	6	-46,7034265	-23,3249477	2804	0,214	2,1898	3944	3161	783
L04494	1	-46,7463514	-23,3063525	915	0,1093	0,365	1321	1074	247
L04495	1	-46,7263985	-23,3310551	442	0,2262	0,365	816	520	296
L04497	8	-46,7100530	-23,3184947	2540	0,315	2,9197	3816	2964	852
L04507	5	-46,7204651	-23,3350997	2065	0,2421	1,8248	3237	2370	867
