cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04454	8	-46,7470261	-23,3271359	1691	0,4731	3,252	2760	2033	727
L04459	13	-46,7156394	-23,3319003	2081	0,6247	5,2846	3117	2397	720
L04460	12	-46,7309560	-23,3226810	2963	0,405	4,878	4594	3540	1054
L04461	31	-46,7265455	-23,3324005	5153	0,6016	12,6016	8875	5947	2928
L04468	4	-46,7062725	-23,3262240	2684	0,149	1,626	3935	3095	840
L04469	4	-46,7288875	-23,3136511	2856	0,1401	1,626	4478	3365	1113
L04470	10	-46,7374196	-23,3177022	2785	0,3591	4,065	4046	3169	877
L04471	5	-46,6982300	-23,3251611	1558	0,3209	2,0325	2312	1740	572
L04472	16	-46,7288870	-23,3175250	3008	0,5319	6,5041	4916	3533	1383
L04475	10	-46,7167480	-23,3318170	2240	0,4464	4,065	3625	2596	1029
L04477	7	-46,7232223	-23,3115866	2912	0,2404	2,8455	4261	3336	925
L04478	3	-46,7192240	-23,3028970	863	0,3476	1,2195	1301	1052	249
L04479	5	-46,7137465	-23,3200043	2445	0,2045	2,0325	3907	2935	972
L04480	12	-46,7192863	-23,3278265	2772	0,4329	4,878	4267	3197	1070
L04481	2	-46,7070249	-23,2985539	1553	0,1288	0,813	2498	1865	633
L04482	7	-46,7599028	-23,2987451	1776	0,3941	2,8455	2865	2172	693
L04484	1	-46,7164309	-23,3318294	347	0,2882	0,4065	529	400	129
L04485	1	-46,7600078	-23,3180950	332	0,3012	0,4065	614	440	174
L04486	11	-46,7289732	-23,3183264	1852	0,594	4,4715	2917	2199	718
L04487	14	-46,7138581	-23,3238825	3402	0,4115	5,6911	5215	3882	1333
L04488	7	-46,7131584	-23,2992386	1866	0,3751	2,8455	2748	2099	649
L04489	4	-46,7244002	-23,3033804	1186	0,3373	1,626	1708	1377	331
L04490	9	-46,7520908	-23,3261192	1960	0,4592	3,6585	3155	2296	859
L04491	14	-46,7287945	-23,3067878	2665	0,5253	5,6911	3923	3061	862
L04492	7	-46,7368940	-23,3300545	1497	0,4676	2,8455	2342	1798	544
L04493	5	-46,7034265	-23,3249477	2804	0,1783	2,0325	3944	3161	783
L04494	1	-46,7463514	-23,3063525	915	0,1093	0,4065	1321	1074	247
L04495	1	-46,7263985	-23,3310551	442	0,2262	0,4065	816	520	296
L04496	5	-46,7161946	-23,3164017	1056	0,4735	2,0325	1582	1250	332
L04497	9	-46,7100530	-23,3184947	2540	0,3543	3,6585	3816	2964	852
L04507	8	-46,7204651	-23,3350997	2065	0,3874	3,252	3237	2370	867
