cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04454	12	-46,7470261	-23,3271359	1691	0,7096	0,9419	2760	2033	727
L04459	10	-46,7156394	-23,3319003	2081	0,4805	0,7849	3117	2397	720
L04460	56	-46,7309560	-23,3226810	2963	1,89	4,3956	4594	3540	1054
L04461	70	-46,7265455	-23,3324005	5153	1,3584	5,4945	8875	5947	2928
L04468	14	-46,7062725	-23,3262240	2684	0,5216	1,0989	3935	3095	840
L04469	45	-46,7288875	-23,3136511	2856	1,5756	3,5322	4478	3365	1113
L04470	439	-46,7374196	-23,3177022	2785	15,763	34,4584	4046	3169	877
L04471	6	-46,6982300	-23,3251611	1558	0,3851	0,471	2312	1740	572
L04472	180	-46,7288870	-23,3175250	3008	5,984	14,1287	4916	3533	1383
L04475	16	-46,7167480	-23,3318170	2240	0,7143	1,2559	3625	2596	1029
L04477	10	-46,7232223	-23,3115866	2912	0,3434	0,7849	4261	3336	925
L04478	22	-46,7192240	-23,3028970	863	2,5492	1,7268	1301	1052	249
L04479	17	-46,7137465	-23,3200043	2445	0,6953	1,3344	3907	2935	972
L04480	26	-46,7192863	-23,3278265	2772	0,938	2,0408	4267	3197	1070
L04481	32	-46,7070249	-23,2985539	1553	2,0605	2,5118	2498	1865	633
L04482	4	-46,7599028	-23,2987451	1776	0,2252	0,314	2865	2172	693
L04484	3	-46,7164309	-23,3318294	347	0,8646	0,2355	529	400	129
L04485	1	-46,7600078	-23,3180950	332	0,3012	0,0785	614	440	174
L04486	164	-46,7289732	-23,3183264	1852	8,8553	12,8728	2917	2199	718
L04487	20	-46,7138581	-23,3238825	3402	0,5879	1,5699	5215	3882	1333
L04488	29	-46,7131584	-23,2992386	1866	1,5541	2,2763	2748	2099	649
L04489	15	-46,7244002	-23,3033804	1186	1,2648	1,1774	1708	1377	331
L04490	9	-46,7520908	-23,3261192	1960	0,4592	0,7064	3155	2296	859
L04491	10	-46,7287945	-23,3067878	2665	0,3752	0,7849	3923	3061	862
L04492	8	-46,7368940	-23,3300545	1497	0,5344	0,6279	2342	1798	544
L04493	11	-46,7034265	-23,3249477	2804	0,3923	0,8634	3944	3161	783
L04494	10	-46,7463514	-23,3063525	915	1,0929	0,7849	1321	1074	247
L04495	8	-46,7263985	-23,3310551	442	1,81	0,6279	816	520	296
L04496	2	-46,7161946	-23,3164017	1056	0,1894	0,157	1582	1250	332
L04497	3	-46,7100530	-23,3184947	2540	0,1181	0,2355	3816	2964	852
L04507	22	-46,7204651	-23,3350997	2065	1,0654	1,7268	3237	2370	867
