cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07521	20	-46,0243061	-23,4174784	2322	0,8613	19,802	3407	2563	844
L07524	1	-46,0980143	-23,3648339	1459	0,0685	0,9901	2000	1572	428
L07526	26	-46,0388373	-23,4132129	4130	0,6295	25,7426	6048	4465	1583
L07528	1	-46,1007235	-23,3102414	382	0,2618	0,9901	640	443	197
L07542	6	-46,1074250	-23,3149710	1888	0,3178	5,9406	2627	2082	545
L07545	8	-46,0425567	-23,4127713	1039	0,77	7,9208	1522	1123	399
L07547	3	-46,1467670	-23,3430200	394	0,7614	2,9703	571	453	118
L07549	21	-46,0365378	-23,4141388	2488	0,8441	20,7921	3557	2686	871
L07552	2	-46,0233831	-23,4205309	267	0,7491	1,9802	366	307	59
L07561	13	-46,0238938	-23,4133033	1240	1,0484	12,8713	1735	1339	396
