cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07521	2	-46,0243061	-23,4174784	2322	0,0861	5,0	3407	2563	844
L07524	13	-46,0980143	-23,3648339	1459	0,891	32,5	2000	1572	428
L07526	9	-46,0388373	-23,4132129	4130	0,2179	22,5	6048	4465	1583
L07528	1	-46,1007235	-23,3102414	382	0,2618	2,5	640	443	197
L07542	6	-46,1074250	-23,3149710	1888	0,3178	15,0	2627	2082	545
L07546	5	-46,0748878	-23,3481822	557	0,8977	12,5	771	603	168
L07547	1	-46,1467670	-23,3430200	394	0,2538	2,5	571	453	118
L07549	1	-46,0365378	-23,4141388	2488	0,0402	2,5	3557	2686	871
L07561	1	-46,0238938	-23,4133033	1240	0,0806	2,5	1735	1339	396
L07568	1	-46,1494690	-23,3527580	869	0,1151	2,5	1350	1018	332
