cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04019	4	-46,4895272	-23,4655393	6	66,6667	0,0067	25	17	8
L04021	484	-46,5351389	-23,4432944	3985	12,1455	0,8088	6467	4740	1727
L04022	356	-46,5189890	-23,4582225	3507	10,1511	0,5949	5353	4100	1253
L04023	146	-46,5258670	-23,4677912	1789	8,161	0,244	2652	2022	630
L04024	307	-46,4960476	-23,4627418	3286	9,3427	0,513	4988	3762	1226
L04025	91	-46,5313666	-23,4665558	1293	7,0379	0,1521	1907	1463	444
L04026	365	-46,5205382	-23,4200168	3569	10,227	0,6099	5258	4148	1110
L04027	403	-46,5348867	-23,4617458	3878	10,392	0,6734	6011	4558	1453
L04028	186	-46,5260028	-23,4506424	2185	8,5126	0,3108	3153	2490	663
L04029	366	-46,5257431	-23,4447767	3469	10,5506	0,6116	5202	4058	1144
L04030	309	-46,5250906	-23,4552952	3134	9,8596	0,5163	4565	3579	986
L04031	325	-46,5178969	-23,4509497	3853	8,435	0,5431	5561	4379	1182
L04032	163	-46,5233803	-23,4390725	1675	9,7313	0,2724	2351	1938	413
L04033	397	-46,5221381	-23,4625300	3783	10,4943	0,6634	5585	4358	1227
L04034	190	-46,5200816	-23,4395097	2036	9,332	0,3175	2776	2341	435
L04035	111	-46,5225666	-23,4292113	1027	10,8082	0,1855	1410	1186	224
L04036	216	-46,5172187	-23,4664313	1839	11,7455	0,3609	2791	2165	626
L04037	297	-46,5347298	-23,4577536	3127	9,4979	0,4963	4628	3609	1019
L04038	422	-46,5218442	-23,4280169	5014	8,4164	0,7052	6975	5763	1212
L04039	459	-46,5333820	-23,4320324	4977	9,2224	0,767	7292	5754	1538
L04040	300	-46,5310324	-23,4403067	3573	8,3963	0,5013	4916	4069	847
L04041	264	-46,5198792	-23,4405254	2510	10,5179	0,4411	3908	2965	943
L04042	375	-46,5148130	-23,4615577	3411	10,9938	0,6266	5052	3997	1055
L04043	309	-46,4988962	-23,4535454	3004	10,2863	0,5163	4361	3460	901
L04044	103	-46,5252840	-23,4499460	879	11,7179	0,1721	1389	1067	322
L04045	207	-46,5182845	-23,4505855	1810	11,4365	0,3459	2690	2149	541
L04047	421	-46,5212409	-23,4239096	3765	11,1819	0,7035	5711	4457	1254
L04048	74	-46,5242122	-23,4573150	826	8,9588	0,1237	1103	941	162
L04049	202	-46,5279042	-23,4569302	1927	10,4826	0,3375	2790	2244	546
L04050	95	-46,5284889	-23,4721650	1152	8,2465	0,1587	1695	1303	392
L04051	173	-46,5374154	-23,4392016	1523	11,3592	0,2891	2253	1802	451
L04053	16	-46,4949238	-23,4697085	107	14,9533	0,0267	196	161	35
L04054	214	-46,5247111	-23,4230992	2455	8,7169	0,3576	3441	2836	605
L04055	273	-46,5326860	-23,4703600	3025	9,0248	0,4562	4827	3500	1327
L04227	276	-46,4014214	-23,4418594	3279	8,4172	0,4612	4547	3765	782
L04228	333	-46,4043279	-23,4619232	3414	9,754	0,5564	4990	4013	977
L04229	268	-46,4252641	-23,4654680	2476	10,8239	0,4478	3655	2957	698
L04230	255	-46,4036715	-23,4635450	2746	9,2862	0,4261	4031	3199	832
L04231	320	-46,4014312	-23,4267677	3300	9,697	0,5347	4744	3843	901
L04232	318	-46,4217922	-23,4688827	2892	10,9959	0,5314	4235	3445	790
L04233	243	-46,3922099	-23,4750902	2611	9,3068	0,4061	3680	3063	617
L04234	150	-46,3699481	-23,4230098	1234	12,1556	0,2507	1986	1540	446
L04235	371	-46,4124283	-23,4446100	3679	10,0843	0,6199	5464	4330	1134
L04236	463	-46,4240116	-23,4575466	3776	12,2617	0,7737	5435	4492	943
L04237	397	-46,4010537	-23,4628858	3866	10,269	0,6634	5772	4602	1170
L04238	283	-46,3962862	-23,4650561	3129	9,0444	0,4729	4474	3655	819
L04239	321	-46,4117159	-23,4448235	3541	9,0652	0,5364	4961	4092	869
L04240	387	-46,3970402	-23,4775957	3125	12,384	0,6467	4896	3844	1052
L04241	402	-46,4274434	-23,4577532	3932	10,2238	0,6717	5900	4677	1223
L04242	520	-46,4110028	-23,4412045	4441	11,7091	0,8689	6679	5288	1391
L04243	528	-46,4190397	-23,4390357	4665	11,3183	0,8823	6705	5509	1196
L04244	190	-46,4384280	-23,4711710	2467	7,7017	0,3175	3489	2777	712
L04245	261	-46,4263197	-23,4646584	2243	11,6362	0,4361	3234	2676	558
L04246	268	-46,4183363	-23,4566057	2701	9,9223	0,4478	3767	3124	643
