cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04029	1	-46,5257431	-23,4447767	3469	0,0288	1,2346	5202	4058	1144
L04032	1	-46,5233803	-23,4390725	1675	0,0597	1,2346	2351	1938	413
L04045	1	-46,5182845	-23,4505855	1810	0,0552	1,2346	2690	2149	541
L04047	2	-46,5212409	-23,4239096	3765	0,0531	2,4691	5711	4457	1254
L04054	1	-46,5247111	-23,4230992	2455	0,0407	1,2346	3441	2836	605
L04230	1	-46,4036715	-23,4635450	2746	0,0364	1,2346	4031	3199	832
L04235	2	-46,4124283	-23,4446100	3679	0,0544	2,4691	5464	4330	1134
L04237	1	-46,4010537	-23,4628858	3866	0,0259	1,2346	5772	4602	1170
L04238	1	-46,3962862	-23,4650561	3129	0,032	1,2346	4474	3655	819
L04239	6	-46,4117159	-23,4448235	3541	0,1694	7,4074	4961	4092	869
L04242	4	-46,4110028	-23,4412045	4441	0,0901	4,9383	6679	5288	1391
L04247	1	-46,4006094	-23,4493557	4047	0,0247	1,2346	5767	4780	987
L04254	2	-46,4142034	-23,4355403	1861	0,1075	2,4691	2816	2250	566
L04256	1	-46,4196635	-23,4426294	1504	0,0665	1,2346	2063	1754	309
L04257	4	-46,4168989	-23,4502035	2158	0,1854	4,9383	3157	2540	617
L04258	1	-46,4181034	-23,4396543	1694	0,059	1,2346	2298	1986	312
L04259	3	-46,4044135	-23,4399264	2280	0,1316	3,7037	3572	2733	839
L06643	2	-46,5046999	-23,4484229	4431	0,0451	2,4691	5949	4887	1062
L09790	1	-46,5546942	-23,4528509	2045	0,0489	1,2346	3332	2503	829
L09798	1	-46,5603066	-23,4492343	3120	0,0321	1,2346	5013	3800	1213
L09800	2	-46,5484944	-23,4461673	3063	0,0653	2,4691	4917	3640	1277
L09808	1	-46,5531760	-23,4384305	1963	0,0509	1,2346	3071	2353	718
L09819	1	-46,4161970	-23,4051055	3839	0,026	1,2346	5798	4451	1347
L09820	1	-46,4061990	-23,4172553	2440	0,041	1,2346	3538	2909	629
L09821	2	-46,4713471	-23,4164380	4729	0,0423	2,4691	6668	5493	1175
L09828	1	-46,4373582	-23,3998282	3439	0,0291	1,2346	5350	4024	1326
L09834	1	-46,3974480	-23,4069388	2470	0,0405	1,2346	3555	2944	611
L09835	1	-46,4532657	-23,4044830	3545	0,0282	1,2346	4593	3941	652
L09836	1	-46,3915434	-23,4071587	3522	0,0284	1,2346	5143	4192	951
L09841	1	-46,4332401	-23,4018027	4766	0,021	1,2346	6620	5535	1085
L09844	3	-46,3942002	-23,3987737	3665	0,0819	3,7037	5306	4363	943
L09845	2	-46,3955820	-23,3987536	3675	0,0544	2,4691	5424	4458	966
L09848	2	-46,4697267	-23,4083693	3238	0,0618	2,4691	4579	3782	797
L09854	1	-46,4426341	-23,4006395	3069	0,0326	1,2346	4213	3533	680
L09860	1	-46,4742651	-23,4493456	3049	0,0328	1,2346	4799	3576	1223
L09863	2	-46,4279296	-23,4310787	2270	0,0881	2,4691	3738	2809	929
L09867	2	-46,4363562	-23,4335696	4242	0,0471	2,4691	6556	5035	1521
L09870	1	-46,4386061	-23,4454914	3923	0,0255	1,2346	5764	4733	1031
L09874	1	-46,4275906	-23,4246425	2619	0,0382	1,2346	3842	3152	690
L09875	10	-46,4340671	-23,4266463	6326	0,1581	12,3457	9025	7471	1554
L09876	2	-46,4660357	-23,4471833	3396	0,0589	2,4691	5107	3973	1134
L09877	1	-46,4275886	-23,4316448	1879	0,0532	1,2346	2742	2220	522
L09882	1	-46,4593607	-23,4375830	1457	0,0686	1,2346	2080	1662	418
L09884	1	-46,4415794	-23,4192819	275	0,3636	1,2346	411	320	91
L09885	2	-46,4422840	-23,4184680	2598	0,077	2,4691	3836	3140	696
