cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04021	6	-46,5351389	-23,4432944	3985	0,1506	2,2222	6467	4740	1727
L04022	6	-46,5189890	-23,4582225	3507	0,1711	2,2222	5353	4100	1253
L04023	1	-46,5258670	-23,4677912	1789	0,0559	0,3704	2652	2022	630
L04024	10	-46,4960476	-23,4627418	3286	0,3043	3,7037	4988	3762	1226
L04027	2	-46,5348867	-23,4617458	3878	0,0516	0,7407	6011	4558	1453
L04028	1	-46,5260028	-23,4506424	2185	0,0458	0,3704	3153	2490	663
L04030	1	-46,5250906	-23,4552952	3134	0,0319	0,3704	4565	3579	986
L04031	2	-46,5178969	-23,4509497	3853	0,0519	0,7407	5561	4379	1182
L04035	1	-46,5225666	-23,4292113	1027	0,0974	0,3704	1410	1186	224
L04037	6	-46,5347298	-23,4577536	3127	0,1919	2,2222	4628	3609	1019
L04039	4	-46,5333820	-23,4320324	4977	0,0804	1,4815	7292	5754	1538
L04042	3	-46,5148130	-23,4615577	3411	0,088	1,1111	5052	3997	1055
L04043	5	-46,4988962	-23,4535454	3004	0,1664	1,8519	4361	3460	901
L04047	1	-46,5212409	-23,4239096	3765	0,0266	0,3704	5711	4457	1254
L04049	1	-46,5279042	-23,4569302	1927	0,0519	0,3704	2790	2244	546
L04050	2	-46,5284889	-23,4721650	1152	0,1736	0,7407	1695	1303	392
L04051	1	-46,5374154	-23,4392016	1523	0,0657	0,3704	2253	1802	451
L04055	2	-46,5326860	-23,4703600	3025	0,0661	0,7407	4827	3500	1327
L04234	1	-46,3699481	-23,4230098	1234	0,081	0,3704	1986	1540	446
L04235	1	-46,4124283	-23,4446100	3679	0,0272	0,3704	5464	4330	1134
L04236	1	-46,4240116	-23,4575466	3776	0,0265	0,3704	5435	4492	943
L04240	1	-46,3970402	-23,4775957	3125	0,032	0,3704	4896	3844	1052
L04242	1	-46,4110028	-23,4412045	4441	0,0225	0,3704	6679	5288	1391
L04247	1	-46,4006094	-23,4493557	4047	0,0247	0,3704	5767	4780	987
L04251	2	-46,4122972	-23,4487083	2818	0,071	0,7407	4095	3343	752
L04258	1	-46,4181034	-23,4396543	1694	0,059	0,3704	2298	1986	312
L04260	1	-46,4110264	-23,4483687	2454	0,0407	0,3704	3348	2855	493
L06590	10	-46,5422782	-23,4665988	3106	0,322	3,7037	4688	3650	1038
L06591	2	-46,5366482	-23,4602980	621	0,3221	0,7407	930	726	204
L06593	1	-46,5414079	-23,4675541	2706	0,037	0,3704	4182	3224	958
L06594	1	-46,5388627	-23,4567760	1179	0,0848	0,3704	1732	1405	327
L06596	7	-46,5433698	-23,4792971	2346	0,2984	2,5926	3481	2759	722
L06597	1	-46,5597602	-23,4667730	2339	0,0428	0,3704	3181	2645	536
L06598	1	-46,5543334	-23,5001704	2493	0,0401	0,3704	3746	2920	826
L06599	2	-46,5552762	-23,4757201	4016	0,0498	0,7407	5873	4680	1193
L06601	1	-46,5494943	-23,4686972	1489	0,0672	0,3704	2100	1713	387
L06602	5	-46,5492677	-23,4848483	3245	0,1541	1,8519	4911	3881	1030
L06603	2	-46,5529975	-23,4682223	3294	0,0607	0,7407	4736	3793	943
L06604	7	-46,5464811	-23,4794649	2834	0,247	2,5926	4188	3330	858
L06605	4	-46,5423233	-23,4725448	3187	0,1255	1,4815	4654	3758	896
L06606	8	-46,5368498	-23,4803586	2392	0,3344	2,963	3486	2783	703
L06609	1	-46,5538251	-23,4593526	1641	0,0609	0,3704	2328	1861	467
L06612	2	-46,5384397	-23,4639462	1397	0,1432	0,7407	2056	1664	392
L06614	2	-46,5497994	-23,5030196	718	0,2786	0,7407	1162	888	274
L06616	3	-46,5524295	-23,4793193	1363	0,2201	1,1111	2033	1639	394
L06618	5	-46,5471378	-23,4805844	1166	0,4288	1,8519	1808	1365	443
L06619	1	-46,5368498	-23,4803586	597	0,1675	0,3704	945	695	250
L06623	1	-46,5600699	-23,4660719	1388	0,072	0,3704	1950	1641	309
L06624	1	-46,5045704	-23,4243582	1929	0,0518	0,3704	2744	2220	524
L06626	7	-46,5107127	-23,4539298	2561	0,2733	2,5926	3759	3035	724
L06628	4	-46,5095998	-23,4618149	2520	0,1587	1,4815	3580	2958	622
L06630	2	-46,5008477	-23,4246555	3037	0,0659	0,7407	3968	3367	601
L06631	1	-46,5076553	-23,4362492	2967	0,0337	0,3704	4227	3452	775
L06634	5	-46,4972144	-23,4091590	3843	0,1301	1,8519	5269	4286	983
L06635	1	-46,4960369	-23,4157394	3530	0,0283	0,3704	4636	3918	718
L06636	1	-46,5010794	-23,4082922	2304	0,0434	0,3704	3067	2564	503
L06638	3	-46,5108984	-23,4160796	3329	0,0901	1,1111	4389	3703	686
L06639	2	-46,5101307	-23,4343788	3858	0,0518	0,7407	5535	4504	1031
L06640	1	-46,5106590	-23,4439176	1975	0,0506	0,3704	2700	2282	418
L06642	2	-46,5029171	-23,4317468	2477	0,0807	0,7407	3336	2757	579
L06643	1	-46,5046999	-23,4484229	4431	0,0226	0,3704	5949	4887	1062
L06644	1	-46,5063124	-23,4580645	2735	0,0366	0,3704	3706	3095	611
L06645	3	-46,5069535	-23,4312359	4449	0,0674	1,1111	6184	5081	1103
L06646	3	-46,5109205	-23,4407732	3152	0,0952	1,1111	4427	3643	784
L06648	1	-46,4933909	-23,4194569	1189	0,0841	0,3704	1753	1363	390
L06649	1	-46,5101326	-23,4531041	2613	0,0383	0,3704	3756	3033	723
L08497	1	-46,5560400	-23,4515991	3178	0,0315	0,3704	5027	3802	1225
L09788	2	-46,5460249	-23,4541953	1554	0,1287	0,7407	2307	1827	480
L09790	1	-46,5546942	-23,4528509	2045	0,0489	0,3704	3332	2503	829
L09793	8	-46,5414126	-23,4449188	3241	0,2468	2,963	4997	3883	1114
L09794	2	-46,5460300	-23,4567593	1200	0,1667	0,7407	1749	1407	342
L09798	2	-46,5603066	-23,4492343	3120	0,0641	0,7407	5013	3800	1213
L09799	1	-46,5550646	-23,4340925	3062	0,0327	0,3704	4384	3628	756
L09803	4	-46,5561613	-23,4338322	3793	0,1055	1,4815	5928	4573	1355
L09805	1	-46,5559629	-23,4447718	2534	0,0395	0,3704	3838	3014	824
L09806	2	-46,5633619	-23,4319629	3371	0,0593	0,7407	4729	3853	876
L09810	1	-46,5511363	-23,4262958	1566	0,0639	0,3704	2287	1826	461
L09811	2	-46,5405794	-23,4474493	1305	0,1533	0,7407	1989	1517	472
L09815	1	-46,5469652	-23,4527738	501	0,1996	0,3704	717	592	125
L09817	7	-46,5575625	-23,4485828	5138	0,1362	2,5926	7850	5990	1860
L09818	1	-46,4376679	-23,3997821	4108	0,0243	0,3704	5884	4783	1101
L09822	2	-46,4599054	-23,4173154	3123	0,064	0,7407	4717	3792	925
L09823	1	-46,4514827	-23,4142506	718	0,1393	0,3704	1034	843	191
L09824	1	-46,4460270	-23,4107410	3681	0,0272	0,3704	5303	4310	993
L09830	21	-46,4024310	-23,3865450	1980	1,0606	7,7778	2870	2358	512
L09832	2	-46,4514827	-23,4142506	2143	0,0933	0,7407	3201	2566	635
L09837	1	-46,4580997	-23,4097075	3391	0,0295	0,3704	4944	3961	983
L09841	2	-46,4332401	-23,4018027	4766	0,042	0,7407	6620	5535	1085
L09843	2	-46,4584206	-23,4091730	3839	0,0521	0,7407	5358	4400	958
L09844	3	-46,3942002	-23,3987737	3665	0,0819	1,1111	5306	4363	943
L09845	1	-46,3955820	-23,3987536	3675	0,0272	0,3704	5424	4458	966
L09846	2	-46,4570810	-23,4125500	3153	0,0634	0,7407	4264	3582	682
L09857	1	-46,4623279	-23,4372050	1523	0,0657	0,3704	2389	1854	535
L09858	1	-46,4627520	-23,4438668	1677	0,0596	0,3704	2339	2000	339
L09859	2	-46,4663092	-23,4465384	3796	0,0527	0,7407	5627	4426	1201
L09860	2	-46,4742651	-23,4493456	3049	0,0656	0,7407	4799	3576	1223
L09862	1	-46,4178706	-23,4230444	2208	0,0453	0,3704	3359	2691	668
L09864	1	-46,4654827	-23,4594060	3703	0,027	0,3704	5205	4151	1054
L09865	4	-46,4668005	-23,4627026	2060	0,1942	1,4815	2947	2330	617
L09867	3	-46,4363562	-23,4335696	4242	0,0707	1,1111	6556	5035	1521
L09869	1	-46,4651071	-23,4594986	4171	0,024	0,3704	5819	4729	1090
L09874	3	-46,4275906	-23,4246425	2619	0,1145	1,1111	3842	3152	690
L09875	5	-46,4340671	-23,4266463	6326	0,079	1,8519	9025	7471	1554
