cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04021	3	-46,5351389	-23,4432944	3985	0,0753	0,2479	6467	4740	1727
L04024	1	-46,4960476	-23,4627418	3286	0,0304	0,0826	4988	3762	1226
L04025	2	-46,5313666	-23,4665558	1293	0,1547	0,1653	1907	1463	444
L04026	1	-46,5205382	-23,4200168	3569	0,028	0,0826	5258	4148	1110
L04027	1	-46,5348867	-23,4617458	3878	0,0258	0,0826	6011	4558	1453
L04029	3	-46,5257431	-23,4447767	3469	0,0865	0,2479	5202	4058	1144
L04030	1	-46,5250906	-23,4552952	3134	0,0319	0,0826	4565	3579	986
L04031	1	-46,5178969	-23,4509497	3853	0,026	0,0826	5561	4379	1182
L04032	1	-46,5233803	-23,4390725	1675	0,0597	0,0826	2351	1938	413
L04036	1	-46,5172187	-23,4664313	1839	0,0544	0,0826	2791	2165	626
L04037	2	-46,5347298	-23,4577536	3127	0,064	0,1653	4628	3609	1019
L04038	3	-46,5218442	-23,4280169	5014	0,0598	0,2479	6975	5763	1212
L04039	4	-46,5333820	-23,4320324	4977	0,0804	0,3306	7292	5754	1538
L04041	4	-46,5198792	-23,4405254	2510	0,1594	0,3306	3908	2965	943
L04042	1	-46,5148130	-23,4615577	3411	0,0293	0,0826	5052	3997	1055
L04045	1	-46,5182845	-23,4505855	1810	0,0552	0,0826	2690	2149	541
L04048	1	-46,5242122	-23,4573150	826	0,1211	0,0826	1103	941	162
L04049	1	-46,5279042	-23,4569302	1927	0,0519	0,0826	2790	2244	546
L04051	1	-46,5374154	-23,4392016	1523	0,0657	0,0826	2253	1802	451
L04055	3	-46,5326860	-23,4703600	3025	0,0992	0,2479	4827	3500	1327
L04228	1	-46,4043279	-23,4619232	3414	0,0293	0,0826	4990	4013	977
L04237	2	-46,4010537	-23,4628858	3866	0,0517	0,1653	5772	4602	1170
L04241	1	-46,4274434	-23,4577532	3932	0,0254	0,0826	5900	4677	1223
L04245	1	-46,4263197	-23,4646584	2243	0,0446	0,0826	3234	2676	558
L04253	3	-46,4078760	-23,4565700	2061	0,1456	0,2479	3057	2422	635
L04259	2	-46,4044135	-23,4399264	2280	0,0877	0,1653	3572	2733	839
L04261	1	-46,4253063	-23,4662179	1516	0,066	0,0826	2268	1797	471
L05429	1	-46,5131387	-23,4051476	3219	0,0311	0,0826	4495	3582	913
L06590	1	-46,5422782	-23,4665988	3106	0,0322	0,0826	4688	3650	1038
L06591	1	-46,5366482	-23,4602980	621	0,161	0,0826	930	726	204
L06592	1	-46,5439730	-23,4607010	2585	0,0387	0,0826	3854	3034	820
L06594	1	-46,5388627	-23,4567760	1179	0,0848	0,0826	1732	1405	327
L06597	1	-46,5597602	-23,4667730	2339	0,0428	0,0826	3181	2645	536
L06599	1	-46,5552762	-23,4757201	4016	0,0249	0,0826	5873	4680	1193
L06604	1	-46,5464811	-23,4794649	2834	0,0353	0,0826	4188	3330	858
L06605	6	-46,5423233	-23,4725448	3187	0,1883	0,4959	4654	3758	896
L06607	1	-46,5426685	-23,4588950	2362	0,0423	0,0826	3496	2775	721
L06609	1	-46,5538251	-23,4593526	1641	0,0609	0,0826	2328	1861	467
L06611	2	-46,5502169	-23,4903597	1250	0,16	0,1653	1851	1472	379
L06613	2	-46,5480261	-23,5005586	657	0,3044	0,1653	1056	812	244
L06616	1	-46,5524295	-23,4793193	1363	0,0734	0,0826	2033	1639	394
L06618	2	-46,5471378	-23,4805844	1166	0,1715	0,1653	1808	1365	443
L06623	1	-46,5600699	-23,4660719	1388	0,072	0,0826	1950	1641	309
L06624	3	-46,5045704	-23,4243582	1929	0,1555	0,2479	2744	2220	524
L06625	4	-46,5011844	-23,4290384	1688	0,237	0,3306	2378	1894	484
L06627	1	-46,5068802	-23,4538921	1021	0,0979	0,0826	1469	1179	290
L06628	2	-46,5095998	-23,4618149	2520	0,0794	0,1653	3580	2958	622
L06629	1	-46,5152025	-23,4480885	1944	0,0514	0,0826	2635	2163	472
L06630	15	-46,5008477	-23,4246555	3037	0,4939	1,2397	3968	3367	601
L06631	8	-46,5076553	-23,4362492	2967	0,2696	0,6612	4227	3452	775
L06632	11	-46,4933909	-23,4194569	4222	0,2605	0,9091	5911	4760	1151
L06633	1	-46,5143356	-23,4331372	1089	0,0918	0,0826	1495	1261	234
L06634	46	-46,4972144	-23,4091590	3843	1,197	3,8017	5269	4286	983
L06635	43	-46,4960369	-23,4157394	3530	1,2181	3,5537	4636	3918	718
L06636	42	-46,5010794	-23,4082922	2304	1,8229	3,4711	3067	2564	503
L06637	477	-46,4862817	-23,4057433	3315	14,3891	39,4215	4493	3728	765
L06638	5	-46,5108984	-23,4160796	3329	0,1502	0,4132	4389	3703	686
L06639	9	-46,5101307	-23,4343788	3858	0,2333	0,7438	5535	4504	1031
L06640	1	-46,5106590	-23,4439176	1975	0,0506	0,0826	2700	2282	418
L06641	9	-46,5044429	-23,4216203	4367	0,2061	0,7438	5813	4898	915
L06642	7	-46,5029171	-23,4317468	2477	0,2826	0,5785	3336	2757	579
L06643	2	-46,5046999	-23,4484229	4431	0,0451	0,1653	5949	4887	1062
L06644	2	-46,5063124	-23,4580645	2735	0,0731	0,1653	3706	3095	611
L06645	12	-46,5069535	-23,4312359	4449	0,2697	0,9917	6184	5081	1103
L06646	1	-46,5109205	-23,4407732	3152	0,0317	0,0826	4427	3643	784
L06647	3	-46,5150722	-23,4316739	2155	0,1392	0,2479	3031	2499	532
L06648	4	-46,4933909	-23,4194569	1189	0,3364	0,3306	1753	1363	390
L06649	3	-46,5101326	-23,4531041	2613	0,1148	0,2479	3756	3033	723
L06650	7	-46,4956680	-23,4116380	1041	0,6724	0,5785	1442	1178	264
L06652	2	-46,5135154	-23,4439673	390	0,5128	0,1653	558	449	109
L06653	2	-46,5018088	-23,4308419	1024	0,1953	0,1653	1422	1178	244
L06654	1	-46,5099700	-23,4595725	639	0,1565	0,0826	945	752	193
L06655	7	-46,5033620	-23,4092590	790	0,8861	0,5785	1078	878	200
L06657	226	-46,4932521	-23,4075649	2325	9,7204	18,6777	3254	2621	633
L06658	5	-46,5101123	-23,4286618	2248	0,2224	0,4132	3124	2562	562
L07068	2	-46,4183034	-23,4225518	3081	0,0649	0,1653	4413	3669	744
L09785	5	-46,5368630	-23,4401670	1861	0,2687	0,4132	2951	2203	748
L09792	3	-46,5222530	-23,3978071	2829	0,106	0,2479	4352	3370	982
