cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04019	1	-46,4895272	-23,4655393	6	16,6667	0,3891	25	17	8
L04024	1	-46,4960476	-23,4627418	3286	0,0304	0,3891	4988	3762	1226
L04030	1	-46,5250906	-23,4552952	3134	0,0319	0,3891	4565	3579	986
L04031	1	-46,5178969	-23,4509497	3853	0,026	0,3891	5561	4379	1182
L04038	1	-46,5218442	-23,4280169	5014	0,0199	0,3891	6975	5763	1212
L04040	2	-46,5310324	-23,4403067	3573	0,056	0,7782	4916	4069	847
L04045	1	-46,5182845	-23,4505855	1810	0,0552	0,3891	2690	2149	541
L04229	1	-46,4252641	-23,4654680	2476	0,0404	0,3891	3655	2957	698
L04231	1	-46,4014312	-23,4267677	3300	0,0303	0,3891	4744	3843	901
L04235	3	-46,4124283	-23,4446100	3679	0,0815	1,1673	5464	4330	1134
L04236	14	-46,4240116	-23,4575466	3776	0,3708	5,4475	5435	4492	943
L04239	1	-46,4117159	-23,4448235	3541	0,0282	0,3891	4961	4092	869
L04240	1	-46,3970402	-23,4775957	3125	0,032	0,3891	4896	3844	1052
L04241	11	-46,4274434	-23,4577532	3932	0,2798	4,2802	5900	4677	1223
L04242	1	-46,4110028	-23,4412045	4441	0,0225	0,3891	6679	5288	1391
L04243	3	-46,4190397	-23,4390357	4665	0,0643	1,1673	6705	5509	1196
L04244	2	-46,4384280	-23,4711710	2467	0,0811	0,7782	3489	2777	712
L04245	2	-46,4263197	-23,4646584	2243	0,0892	0,7782	3234	2676	558
L04246	2	-46,4183363	-23,4566057	2701	0,074	0,7782	3767	3124	643
L04247	2	-46,4006094	-23,4493557	4047	0,0494	0,7782	5767	4780	987
L04249	2	-46,4399123	-23,4617526	1621	0,1234	0,7782	2373	1931	442
L04251	1	-46,4122972	-23,4487083	2818	0,0355	0,3891	4095	3343	752
L04252	1	-46,3922900	-23,4769740	2249	0,0445	0,3891	3198	2702	496
L04253	1	-46,4078760	-23,4565700	2061	0,0485	0,3891	3057	2422	635
L04254	2	-46,4142034	-23,4355403	1861	0,1075	0,7782	2816	2250	566
L04255	1	-46,4083672	-23,4621695	2456	0,0407	0,3891	3409	2856	553
L04256	1	-46,4196635	-23,4426294	1504	0,0665	0,3891	2063	1754	309
L04257	2	-46,4168989	-23,4502035	2158	0,0927	0,7782	3157	2540	617
L04260	1	-46,4110264	-23,4483687	2454	0,0407	0,3891	3348	2855	493
L06615	1	-46,5425522	-23,4666121	917	0,1091	0,3891	1375	1082	293
L06628	4	-46,5095998	-23,4618149	2520	0,1587	1,5564	3580	2958	622
L06633	1	-46,5143356	-23,4331372	1089	0,0918	0,3891	1495	1261	234
L06640	1	-46,5106590	-23,4439176	1975	0,0506	0,3891	2700	2282	418
L09812	1	-46,5448990	-23,4279439	2677	0,0374	0,3891	3946	3184	762
L09818	1	-46,4376679	-23,3997821	4108	0,0243	0,3891	5884	4783	1101
L09820	1	-46,4061990	-23,4172553	2440	0,041	0,3891	3538	2909	629
L09822	3	-46,4599054	-23,4173154	3123	0,0961	1,1673	4717	3792	925
L09823	1	-46,4514827	-23,4142506	718	0,1393	0,3891	1034	843	191
L09824	1	-46,4460270	-23,4107410	3681	0,0272	0,3891	5303	4310	993
L09827	1	-46,4073298	-23,4187234	1833	0,0546	0,3891	2739	2236	503
L09834	2	-46,3974480	-23,4069388	2470	0,081	0,7782	3555	2944	611
L09835	1	-46,4532657	-23,4044830	3545	0,0282	0,3891	4593	3941	652
L09836	2	-46,3915434	-23,4071587	3522	0,0568	0,7782	5143	4192	951
L09837	1	-46,4580997	-23,4097075	3391	0,0295	0,3891	4944	3961	983
L09841	1	-46,4332401	-23,4018027	4766	0,021	0,3891	6620	5535	1085
L09845	2	-46,3955820	-23,3987536	3675	0,0544	0,7782	5424	4458	966
L09848	1	-46,4697267	-23,4083693	3238	0,0309	0,3891	4579	3782	797
L09854	2	-46,4426341	-23,4006395	3069	0,0652	0,7782	4213	3533	680
L09860	1	-46,4742651	-23,4493456	3049	0,0328	0,3891	4799	3576	1223
L09861	58	-46,4284199	-23,4439420	4306	1,347	22,5681	6361	5197	1164
L09862	1	-46,4178706	-23,4230444	2208	0,0453	0,3891	3359	2691	668
L09866	19	-46,4278732	-23,4383691	2095	0,9069	7,393	2932	2450	482
L09870	29	-46,4386061	-23,4454914	3923	0,7392	11,284	5764	4733	1031
L09871	24	-46,4406541	-23,4507951	4323	0,5552	9,3385	6232	5179	1053
L09873	4	-46,4515097	-23,4506187	2707	0,1478	1,5564	3620	3006	614
L09874	1	-46,4275906	-23,4246425	2619	0,0382	0,3891	3842	3152	690
L09876	3	-46,4660357	-23,4471833	3396	0,0883	1,1673	5107	3973	1134
L09879	1	-46,4587327	-23,4565094	1379	0,0725	0,3891	1890	1536	354
L09880	20	-46,4237055	-23,4448627	2391	0,8365	7,7821	3560	2909	651
L09881	1	-46,4623323	-23,4433165	1831	0,0546	0,3891	2794	2154	640
L09883	1	-46,4272290	-23,4171690	1915	0,0522	0,3891	2861	2256	605
L09886	2	-46,4394973	-23,4515105	1513	0,1322	0,7782	2302	1818	484
