cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04024	2	-46,4960476	-23,4627418	3286	0,0609	0,8511	4988	3762	1226
L04036	1	-46,5172187	-23,4664313	1839	0,0544	0,4255	2791	2165	626
L04038	1	-46,5218442	-23,4280169	5014	0,0199	0,4255	6975	5763	1212
L04042	1	-46,5148130	-23,4615577	3411	0,0293	0,4255	5052	3997	1055
L04047	1	-46,5212409	-23,4239096	3765	0,0266	0,4255	5711	4457	1254
L04054	1	-46,5247111	-23,4230992	2455	0,0407	0,4255	3441	2836	605
L04235	1	-46,4124283	-23,4446100	3679	0,0272	0,4255	5464	4330	1134
L04240	1	-46,3970402	-23,4775957	3125	0,032	0,4255	4896	3844	1052
L04257	2	-46,4168989	-23,4502035	2158	0,0927	0,8511	3157	2540	617
L06599	1	-46,5552762	-23,4757201	4016	0,0249	0,4255	5873	4680	1193
L06646	1	-46,5109205	-23,4407732	3152	0,0317	0,4255	4427	3643	784
L06655	1	-46,5033620	-23,4092590	790	0,1266	0,4255	1078	878	200
L06657	3	-46,4932521	-23,4075649	2325	0,129	1,2766	3254	2621	633
L07068	1	-46,4183034	-23,4225518	3081	0,0325	0,4255	4413	3669	744
L09798	2	-46,5603066	-23,4492343	3120	0,0641	0,8511	5013	3800	1213
L09816	1	-46,5168696	-23,4061812	1849	0,0541	0,4255	2488	2148	340
L09817	1	-46,5575625	-23,4485828	5138	0,0195	0,4255	7850	5990	1860
L09818	52	-46,4376679	-23,3997821	4108	1,2658	22,1277	5884	4783	1101
L09819	1	-46,4161970	-23,4051055	3839	0,026	0,4255	5798	4451	1347
L09820	1	-46,4061990	-23,4172553	2440	0,041	0,4255	3538	2909	629
L09821	5	-46,4713471	-23,4164380	4729	0,1057	2,1277	6668	5493	1175
L09822	2	-46,4599054	-23,4173154	3123	0,064	0,8511	4717	3792	925
L09823	1	-46,4514827	-23,4142506	718	0,1393	0,4255	1034	843	191
L09824	9	-46,4460270	-23,4107410	3681	0,2445	3,8298	5303	4310	993
L09825	1	-46,3717961	-23,4135789	1881	0,0532	0,4255	2708	2254	454
L09826	6	-46,4060026	-23,3664058	1077	0,5571	2,5532	1500	1245	255
L09827	1	-46,4073298	-23,4187234	1833	0,0546	0,4255	2739	2236	503
L09828	34	-46,4373582	-23,3998282	3439	0,9887	14,4681	5350	4024	1326
L09829	4	-46,4437028	-23,3783486	3911	0,1023	1,7021	5380	4483	897
L09830	2	-46,4024310	-23,3865450	1980	0,101	0,8511	2870	2358	512
L09831	4	-46,4660087	-23,4006544	3645	0,1097	1,7021	5341	4237	1104
L09832	3	-46,4514827	-23,4142506	2143	0,14	1,2766	3201	2566	635
L09834	1	-46,3974480	-23,4069388	2470	0,0405	0,4255	3555	2944	611
L09835	4	-46,4532657	-23,4044830	3545	0,1128	1,7021	4593	3941	652
L09836	1	-46,3915434	-23,4071587	3522	0,0284	0,4255	5143	4192	951
L09837	1	-46,4580997	-23,4097075	3391	0,0295	0,4255	4944	3961	983
L09839	6	-46,4666479	-23,4031200	4480	0,1339	2,5532	6276	5151	1125
L09841	20	-46,4332401	-23,4018027	4766	0,4196	8,5106	6620	5535	1085
L09842	3	-46,4337453	-23,4021408	773	0,3881	1,2766	1143	907	236
L09843	1	-46,4584206	-23,4091730	3839	0,026	0,4255	5358	4400	958
L09845	2	-46,3955820	-23,3987536	3675	0,0544	0,8511	5424	4458	966
L09846	4	-46,4570810	-23,4125500	3153	0,1269	1,7021	4264	3582	682
L09852	1	-46,3935128	-23,3969846	1953	0,0512	0,4255	2816	2316	500
L09854	25	-46,4426341	-23,4006395	3069	0,8146	10,6383	4213	3533	680
L09855	1	-46,4541521	-23,4053186	1795	0,0557	0,4255	2396	2002	394
L09857	1	-46,4623279	-23,4372050	1523	0,0657	0,4255	2389	1854	535
L09864	1	-46,4654827	-23,4594060	3703	0,027	0,4255	5205	4151	1054
L09865	1	-46,4668005	-23,4627026	2060	0,0485	0,4255	2947	2330	617
L09868	3	-46,4576614	-23,4558165	4036	0,0743	1,2766	5529	4586	943
L09869	4	-46,4651071	-23,4594986	4171	0,0959	1,7021	5819	4729	1090
L09871	1	-46,4406541	-23,4507951	4323	0,0231	0,4255	6232	5179	1053
L09875	3	-46,4340671	-23,4266463	6326	0,0474	1,2766	9025	7471	1554
L09883	2	-46,4272290	-23,4171690	1915	0,1044	0,8511	2861	2256	605
L09885	1	-46,4422840	-23,4184680	2598	0,0385	0,4255	3836	3140	696
