cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04021	1	-46,5351389	-23,4432944	3985	0,0251	0,1493	6467	4740	1727
L04024	5	-46,4960476	-23,4627418	3286	0,1522	0,7463	4988	3762	1226
L04026	4	-46,5205382	-23,4200168	3569	0,1121	0,597	5258	4148	1110
L04027	4	-46,5348867	-23,4617458	3878	0,1031	0,597	6011	4558	1453
L04029	3	-46,5257431	-23,4447767	3469	0,0865	0,4478	5202	4058	1144
L04030	5	-46,5250906	-23,4552952	3134	0,1595	0,7463	4565	3579	986
L04031	3	-46,5178969	-23,4509497	3853	0,0779	0,4478	5561	4379	1182
L04032	1	-46,5233803	-23,4390725	1675	0,0597	0,1493	2351	1938	413
L04033	2	-46,5221381	-23,4625300	3783	0,0529	0,2985	5585	4358	1227
L04038	2	-46,5218442	-23,4280169	5014	0,0399	0,2985	6975	5763	1212
L04039	5	-46,5333820	-23,4320324	4977	0,1005	0,7463	7292	5754	1538
L04040	6	-46,5310324	-23,4403067	3573	0,1679	0,8955	4916	4069	847
L04043	6	-46,4988962	-23,4535454	3004	0,1997	0,8955	4361	3460	901
L04047	3	-46,5212409	-23,4239096	3765	0,0797	0,4478	5711	4457	1254
L04048	1	-46,5242122	-23,4573150	826	0,1211	0,1493	1103	941	162
L04049	1	-46,5279042	-23,4569302	1927	0,0519	0,1493	2790	2244	546
L04051	3	-46,5374154	-23,4392016	1523	0,197	0,4478	2253	1802	451
L04054	4	-46,5247111	-23,4230992	2455	0,1629	0,597	3441	2836	605
L04055	1	-46,5326860	-23,4703600	3025	0,0331	0,1493	4827	3500	1327
L04227	4	-46,4014214	-23,4418594	3279	0,122	0,597	4547	3765	782
L04228	2	-46,4043279	-23,4619232	3414	0,0586	0,2985	4990	4013	977
L04229	1	-46,4252641	-23,4654680	2476	0,0404	0,1493	3655	2957	698
L04230	2	-46,4036715	-23,4635450	2746	0,0728	0,2985	4031	3199	832
L04231	8	-46,4014312	-23,4267677	3300	0,2424	1,194	4744	3843	901
L04232	2	-46,4217922	-23,4688827	2892	0,0692	0,2985	4235	3445	790
L04234	4	-46,3699481	-23,4230098	1234	0,3241	0,597	1986	1540	446
L04235	3	-46,4124283	-23,4446100	3679	0,0815	0,4478	5464	4330	1134
L04237	3	-46,4010537	-23,4628858	3866	0,0776	0,4478	5772	4602	1170
L04238	2	-46,3962862	-23,4650561	3129	0,0639	0,2985	4474	3655	819
L04239	4	-46,4117159	-23,4448235	3541	0,113	0,597	4961	4092	869
L04240	2	-46,3970402	-23,4775957	3125	0,064	0,2985	4896	3844	1052
L04241	3	-46,4274434	-23,4577532	3932	0,0763	0,4478	5900	4677	1223
L04242	4	-46,4110028	-23,4412045	4441	0,0901	0,597	6679	5288	1391
L04243	2	-46,4190397	-23,4390357	4665	0,0429	0,2985	6705	5509	1196
L04244	2	-46,4384280	-23,4711710	2467	0,0811	0,2985	3489	2777	712
L04249	4	-46,4399123	-23,4617526	1621	0,2468	0,597	2373	1931	442
L04251	1	-46,4122972	-23,4487083	2818	0,0355	0,1493	4095	3343	752
L04252	2	-46,3922900	-23,4769740	2249	0,0889	0,2985	3198	2702	496
L04253	3	-46,4078760	-23,4565700	2061	0,1456	0,4478	3057	2422	635
L04254	1	-46,4142034	-23,4355403	1861	0,0537	0,1493	2816	2250	566
L04255	1	-46,4083672	-23,4621695	2456	0,0407	0,1493	3409	2856	553
L04256	2	-46,4196635	-23,4426294	1504	0,133	0,2985	2063	1754	309
L04257	2	-46,4168989	-23,4502035	2158	0,0927	0,2985	3157	2540	617
L04258	1	-46,4181034	-23,4396543	1694	0,059	0,1493	2298	1986	312
L04259	4	-46,4044135	-23,4399264	2280	0,1754	0,597	3572	2733	839
L04261	1	-46,4253063	-23,4662179	1516	0,066	0,1493	2268	1797	471
L05429	62	-46,5131387	-23,4051476	3219	1,9261	9,2537	4495	3582	913
L06590	1	-46,5422782	-23,4665988	3106	0,0322	0,1493	4688	3650	1038
L06593	1	-46,5414079	-23,4675541	2706	0,037	0,1493	4182	3224	958
L06597	1	-46,5597602	-23,4667730	2339	0,0428	0,1493	3181	2645	536
L06598	1	-46,5543334	-23,5001704	2493	0,0401	0,1493	3746	2920	826
L06599	2	-46,5552762	-23,4757201	4016	0,0498	0,2985	5873	4680	1193
L06600	1	-46,5491135	-23,5030590	4632	0,0216	0,1493	7282	5678	1604
L06602	1	-46,5492677	-23,4848483	3245	0,0308	0,1493	4911	3881	1030
L06604	1	-46,5464811	-23,4794649	2834	0,0353	0,1493	4188	3330	858
L06607	1	-46,5426685	-23,4588950	2362	0,0423	0,1493	3496	2775	721
L06623	1	-46,5600699	-23,4660719	1388	0,072	0,1493	1950	1641	309
L06624	2	-46,5045704	-23,4243582	1929	0,1037	0,2985	2744	2220	524
L06625	2	-46,5011844	-23,4290384	1688	0,1185	0,2985	2378	1894	484
L06626	4	-46,5107127	-23,4539298	2561	0,1562	0,597	3759	3035	724
L06627	1	-46,5068802	-23,4538921	1021	0,0979	0,1493	1469	1179	290
L06628	1	-46,5095998	-23,4618149	2520	0,0397	0,1493	3580	2958	622
L06629	2	-46,5152025	-23,4480885	1944	0,1029	0,2985	2635	2163	472
L06630	12	-46,5008477	-23,4246555	3037	0,3951	1,791	3968	3367	601
L06631	3	-46,5076553	-23,4362492	2967	0,1011	0,4478	4227	3452	775
L06632	86	-46,4933909	-23,4194569	4222	2,0369	12,8358	5911	4760	1151
L06634	10	-46,4972144	-23,4091590	3843	0,2602	1,4925	5269	4286	983
L06635	69	-46,4960369	-23,4157394	3530	1,9547	10,2985	4636	3918	718
L06636	6	-46,5010794	-23,4082922	2304	0,2604	0,8955	3067	2564	503
L06637	6	-46,4862817	-23,4057433	3315	0,181	0,8955	4493	3728	765
L06638	11	-46,5108984	-23,4160796	3329	0,3304	1,6418	4389	3703	686
L06639	4	-46,5101307	-23,4343788	3858	0,1037	0,597	5535	4504	1031
L06640	1	-46,5106590	-23,4439176	1975	0,0506	0,1493	2700	2282	418
L06641	8	-46,5044429	-23,4216203	4367	0,1832	1,194	5813	4898	915
L06642	6	-46,5029171	-23,4317468	2477	0,2422	0,8955	3336	2757	579
L06643	4	-46,5046999	-23,4484229	4431	0,0903	0,597	5949	4887	1062
L06645	3	-46,5069535	-23,4312359	4449	0,0674	0,4478	6184	5081	1103
L06646	2	-46,5109205	-23,4407732	3152	0,0635	0,2985	4427	3643	784
L06647	2	-46,5150722	-23,4316739	2155	0,0928	0,2985	3031	2499	532
L06648	15	-46,4933909	-23,4194569	1189	1,2616	2,2388	1753	1363	390
L06649	5	-46,5101326	-23,4531041	2613	0,1914	0,7463	3756	3033	723
L06650	4	-46,4956680	-23,4116380	1041	0,3842	0,597	1442	1178	264
L06653	1	-46,5018088	-23,4308419	1024	0,0977	0,1493	1422	1178	244
L06655	2	-46,5033620	-23,4092590	790	0,2532	0,2985	1078	878	200
L06656	1	-46,5152366	-23,4472186	487	0,2053	0,1493	744	552	192
L06657	11	-46,4932521	-23,4075649	2325	0,4731	1,6418	3254	2621	633
L06658	1	-46,5101123	-23,4286618	2248	0,0445	0,1493	3124	2562	562
L06659	2	-46,5039161	-23,4489787	1371	0,1459	0,2985	1880	1545	335
L09786	4	-46,5393572	-23,4082193	1062	0,3766	0,597	1446	1187	259
L09787	2	-46,5659510	-23,4593190	1776	0,1126	0,2985	2810	2171	639
L09789	3	-46,5491313	-23,4389386	327	0,9174	0,4478	553	394	159
L09791	7	-46,5196842	-23,3998219	1835	0,3815	1,0448	2578	2100	478
L09792	7	-46,5222530	-23,3978071	2829	0,2474	1,0448	4352	3370	982
L09793	2	-46,5414126	-23,4449188	3241	0,0617	0,2985	4997	3883	1114
L09796	2	-46,5546684	-23,4228617	2959	0,0676	0,2985	4282	3474	808
L09797	1	-46,5645254	-23,4578160	2265	0,0442	0,1493	3525	2776	749
L09799	2	-46,5550646	-23,4340925	3062	0,0653	0,2985	4384	3628	756
L09800	4	-46,5484944	-23,4461673	3063	0,1306	0,597	4917	3640	1277
L09801	6	-46,5362158	-23,4040658	2732	0,2196	0,8955	3870	3112	758
L09802	2	-46,5475487	-23,4366943	1665	0,1201	0,2985	2234	1890	344
L09803	1	-46,5561613	-23,4338322	3793	0,0264	0,1493	5928	4573	1355
L09804	2	-46,5483783	-23,4363400	3017	0,0663	0,2985	4500	3528	972
L09805	2	-46,5559629	-23,4447718	2534	0,0789	0,2985	3838	3014	824
L09806	6	-46,5633619	-23,4319629	3371	0,178	0,8955	4729	3853	876
L09807	1	-46,5489569	-23,4357724	2320	0,0431	0,1493	3349	2693	656
L09808	1	-46,5531760	-23,4384305	1963	0,0509	0,1493	3071	2353	718
L09811	1	-46,5405794	-23,4474493	1305	0,0766	0,1493	1989	1517	472
L09814	1	-46,5564460	-23,4500298	738	0,1355	0,1493	1149	910	239
L09816	4	-46,5168696	-23,4061812	1849	0,2163	0,597	2488	2148	340
L09817	1	-46,5575625	-23,4485828	5138	0,0195	0,1493	7850	5990	1860
L09818	5	-46,4376679	-23,3997821	4108	0,1217	0,7463	5884	4783	1101
L09819	2	-46,4161970	-23,4051055	3839	0,0521	0,2985	5798	4451	1347
L09820	1	-46,4061990	-23,4172553	2440	0,041	0,1493	3538	2909	629
