cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04021	1	-46,5351389	-23,4432944	3985	0,0251	0,9804	6467	4740	1727
L04022	1	-46,5189890	-23,4582225	3507	0,0285	0,9804	5353	4100	1253
L04033	1	-46,5221381	-23,4625300	3783	0,0264	0,9804	5585	4358	1227
L04036	1	-46,5172187	-23,4664313	1839	0,0544	0,9804	2791	2165	626
L04037	1	-46,5347298	-23,4577536	3127	0,032	0,9804	4628	3609	1019
L04039	3	-46,5333820	-23,4320324	4977	0,0603	2,9412	7292	5754	1538
L04042	1	-46,5148130	-23,4615577	3411	0,0293	0,9804	5052	3997	1055
L04044	1	-46,5252840	-23,4499460	879	0,1138	0,9804	1389	1067	322
L04047	1	-46,5212409	-23,4239096	3765	0,0266	0,9804	5711	4457	1254
L04049	2	-46,5279042	-23,4569302	1927	0,1038	1,9608	2790	2244	546
L04054	1	-46,5247111	-23,4230992	2455	0,0407	0,9804	3441	2836	605
L04055	1	-46,5326860	-23,4703600	3025	0,0331	0,9804	4827	3500	1327
L04230	1	-46,4036715	-23,4635450	2746	0,0364	0,9804	4031	3199	832
L04240	1	-46,3970402	-23,4775957	3125	0,032	0,9804	4896	3844	1052
L06591	1	-46,5366482	-23,4602980	621	0,161	0,9804	930	726	204
L06597	1	-46,5597602	-23,4667730	2339	0,0428	0,9804	3181	2645	536
L06602	1	-46,5492677	-23,4848483	3245	0,0308	0,9804	4911	3881	1030
L06605	2	-46,5423233	-23,4725448	3187	0,0628	1,9608	4654	3758	896
L06609	1	-46,5538251	-23,4593526	1641	0,0609	0,9804	2328	1861	467
L06612	1	-46,5384397	-23,4639462	1397	0,0716	0,9804	2056	1664	392
L06619	1	-46,5368498	-23,4803586	597	0,1675	0,9804	945	695	250
L06621	1	-46,5505948	-23,4602271	1213	0,0824	0,9804	1733	1421	312
L06631	2	-46,5076553	-23,4362492	2967	0,0674	1,9608	4227	3452	775
L06646	1	-46,5109205	-23,4407732	3152	0,0317	0,9804	4427	3643	784
L06658	1	-46,5101123	-23,4286618	2248	0,0445	0,9804	3124	2562	562
L09785	1	-46,5368630	-23,4401670	1861	0,0537	0,9804	2951	2203	748
L09789	1	-46,5491313	-23,4389386	327	0,3058	0,9804	553	394	159
L09790	1	-46,5546942	-23,4528509	2045	0,0489	0,9804	3332	2503	829
L09793	2	-46,5414126	-23,4449188	3241	0,0617	1,9608	4997	3883	1114
L09794	1	-46,5460300	-23,4567593	1200	0,0833	0,9804	1749	1407	342
L09795	1	-46,5427459	-23,4505121	3324	0,0301	0,9804	5044	3906	1138
L09796	7	-46,5546684	-23,4228617	2959	0,2366	6,8627	4282	3474	808
L09799	6	-46,5550646	-23,4340925	3062	0,196	5,8824	4384	3628	756
L09800	1	-46,5484944	-23,4461673	3063	0,0326	0,9804	4917	3640	1277
L09803	22	-46,5561613	-23,4338322	3793	0,58	21,5686	5928	4573	1355
L09804	1	-46,5483783	-23,4363400	3017	0,0331	0,9804	4500	3528	972
L09805	1	-46,5559629	-23,4447718	2534	0,0395	0,9804	3838	3014	824
L09807	2	-46,5489569	-23,4357724	2320	0,0862	1,9608	3349	2693	656
L09808	1	-46,5531760	-23,4384305	1963	0,0509	0,9804	3071	2353	718
L09809	4	-46,5629586	-23,4343390	2004	0,1996	3,9216	2912	2323	589
L09810	2	-46,5511363	-23,4262958	1566	0,1277	1,9608	2287	1826	461
L09812	3	-46,5448990	-23,4279439	2677	0,1121	2,9412	3946	3184	762
L09817	3	-46,5575625	-23,4485828	5138	0,0584	2,9412	7850	5990	1860
L09820	1	-46,4061990	-23,4172553	2440	0,041	0,9804	3538	2909	629
L09824	1	-46,4460270	-23,4107410	3681	0,0272	0,9804	5303	4310	993
L09858	1	-46,4627520	-23,4438668	1677	0,0596	0,9804	2339	2000	339
L09861	3	-46,4284199	-23,4439420	4306	0,0697	2,9412	6361	5197	1164
L09863	1	-46,4279296	-23,4310787	2270	0,0441	0,9804	3738	2809	929
L09867	1	-46,4363562	-23,4335696	4242	0,0236	0,9804	6556	5035	1521
L09868	1	-46,4576614	-23,4558165	4036	0,0248	0,9804	5529	4586	943
L09870	1	-46,4386061	-23,4454914	3923	0,0255	0,9804	5764	4733	1031
L09875	2	-46,4340671	-23,4266463	6326	0,0316	1,9608	9025	7471	1554
