cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04021	4	-46,5351389	-23,4432944	3985	0,1004	1,0101	6467	4740	1727
L04022	15	-46,5189890	-23,4582225	3507	0,4277	3,7879	5353	4100	1253
L04023	2	-46,5258670	-23,4677912	1789	0,1118	0,5051	2652	2022	630
L04025	2	-46,5313666	-23,4665558	1293	0,1547	0,5051	1907	1463	444
L04026	6	-46,5205382	-23,4200168	3569	0,1681	1,5152	5258	4148	1110
L04027	1	-46,5348867	-23,4617458	3878	0,0258	0,2525	6011	4558	1453
L04028	8	-46,5260028	-23,4506424	2185	0,3661	2,0202	3153	2490	663
L04029	20	-46,5257431	-23,4447767	3469	0,5765	5,0505	5202	4058	1144
L04030	3	-46,5250906	-23,4552952	3134	0,0957	0,7576	4565	3579	986
L04031	27	-46,5178969	-23,4509497	3853	0,7008	6,8182	5561	4379	1182
L04032	3	-46,5233803	-23,4390725	1675	0,1791	0,7576	2351	1938	413
L04033	19	-46,5221381	-23,4625300	3783	0,5022	4,798	5585	4358	1227
L04034	26	-46,5200816	-23,4395097	2036	1,277	6,5657	2776	2341	435
L04036	2	-46,5172187	-23,4664313	1839	0,1088	0,5051	2791	2165	626
L04037	4	-46,5347298	-23,4577536	3127	0,1279	1,0101	4628	3609	1019
L04038	7	-46,5218442	-23,4280169	5014	0,1396	1,7677	6975	5763	1212
L04039	1	-46,5333820	-23,4320324	4977	0,0201	0,2525	7292	5754	1538
L04040	1	-46,5310324	-23,4403067	3573	0,028	0,2525	4916	4069	847
L04041	36	-46,5198792	-23,4405254	2510	1,4343	9,0909	3908	2965	943
L04042	23	-46,5148130	-23,4615577	3411	0,6743	5,8081	5052	3997	1055
L04043	1	-46,4988962	-23,4535454	3004	0,0333	0,2525	4361	3460	901
L04044	6	-46,5252840	-23,4499460	879	0,6826	1,5152	1389	1067	322
L04045	12	-46,5182845	-23,4505855	1810	0,663	3,0303	2690	2149	541
L04048	2	-46,5242122	-23,4573150	826	0,2421	0,5051	1103	941	162
L04049	4	-46,5279042	-23,4569302	1927	0,2076	1,0101	2790	2244	546
L04050	2	-46,5284889	-23,4721650	1152	0,1736	0,5051	1695	1303	392
L04055	1	-46,5326860	-23,4703600	3025	0,0331	0,2525	4827	3500	1327
L04247	1	-46,4006094	-23,4493557	4047	0,0247	0,2525	5767	4780	987
L06590	2	-46,5422782	-23,4665988	3106	0,0644	0,5051	4688	3650	1038
L06593	1	-46,5414079	-23,4675541	2706	0,037	0,2525	4182	3224	958
L06596	2	-46,5433698	-23,4792971	2346	0,0853	0,5051	3481	2759	722
L06599	1	-46,5552762	-23,4757201	4016	0,0249	0,2525	5873	4680	1193
L06600	3	-46,5491135	-23,5030590	4632	0,0648	0,7576	7282	5678	1604
L06604	1	-46,5464811	-23,4794649	2834	0,0353	0,2525	4188	3330	858
L06605	2	-46,5423233	-23,4725448	3187	0,0628	0,5051	4654	3758	896
L06608	1	-46,5619770	-23,4625208	2255	0,0443	0,2525	3248	2626	622
L06616	2	-46,5524295	-23,4793193	1363	0,1467	0,5051	2033	1639	394
L06618	1	-46,5471378	-23,4805844	1166	0,0858	0,2525	1808	1365	443
L06623	2	-46,5600699	-23,4660719	1388	0,1441	0,5051	1950	1641	309
L06626	1	-46,5107127	-23,4539298	2561	0,039	0,2525	3759	3035	724
L06627	1	-46,5068802	-23,4538921	1021	0,0979	0,2525	1469	1179	290
L06628	1	-46,5095998	-23,4618149	2520	0,0397	0,2525	3580	2958	622
L06629	8	-46,5152025	-23,4480885	1944	0,4115	2,0202	2635	2163	472
L06630	2	-46,5008477	-23,4246555	3037	0,0659	0,5051	3968	3367	601
L06631	2	-46,5076553	-23,4362492	2967	0,0674	0,5051	4227	3452	775
L06633	1	-46,5143356	-23,4331372	1089	0,0918	0,2525	1495	1261	234
L06637	2	-46,4862817	-23,4057433	3315	0,0603	0,5051	4493	3728	765
L06639	8	-46,5101307	-23,4343788	3858	0,2074	2,0202	5535	4504	1031
L06640	7	-46,5106590	-23,4439176	1975	0,3544	1,7677	2700	2282	418
L06641	1	-46,5044429	-23,4216203	4367	0,0229	0,2525	5813	4898	915
L06644	1	-46,5063124	-23,4580645	2735	0,0366	0,2525	3706	3095	611
L06645	2	-46,5069535	-23,4312359	4449	0,045	0,5051	6184	5081	1103
L06646	9	-46,5109205	-23,4407732	3152	0,2855	2,2727	4427	3643	784
L06647	7	-46,5150722	-23,4316739	2155	0,3248	1,7677	3031	2499	532
L06649	4	-46,5101326	-23,4531041	2613	0,1531	1,0101	3756	3033	723
L06651	1	-46,5088090	-23,4152797	576	0,1736	0,2525	823	649	174
L06652	2	-46,5135154	-23,4439673	390	0,5128	0,5051	558	449	109
L06656	1	-46,5152366	-23,4472186	487	0,2053	0,2525	744	552	192
L06657	2	-46,4932521	-23,4075649	2325	0,086	0,5051	3254	2621	633
L06658	2	-46,5101123	-23,4286618	2248	0,089	0,5051	3124	2562	562
L09790	2	-46,5546942	-23,4528509	2045	0,0978	0,5051	3332	2503	829
L09793	1	-46,5414126	-23,4449188	3241	0,0309	0,2525	4997	3883	1114
L09795	1	-46,5427459	-23,4505121	3324	0,0301	0,2525	5044	3906	1138
L09798	1	-46,5603066	-23,4492343	3120	0,0321	0,2525	5013	3800	1213
L09802	1	-46,5475487	-23,4366943	1665	0,0601	0,2525	2234	1890	344
L09803	1	-46,5561613	-23,4338322	3793	0,0264	0,2525	5928	4573	1355
L09805	1	-46,5559629	-23,4447718	2534	0,0395	0,2525	3838	3014	824
L09813	1	-46,5689968	-23,4538313	639	0,1565	0,2525	961	766	195
L09815	1	-46,5469652	-23,4527738	501	0,1996	0,2525	717	592	125
L09819	2	-46,4161970	-23,4051055	3839	0,0521	0,5051	5798	4451	1347
L09832	3	-46,4514827	-23,4142506	2143	0,14	0,7576	3201	2566	635
L09833	1	-46,4201768	-23,4087523	1155	0,0866	0,2525	1705	1297	408
L09835	1	-46,4532657	-23,4044830	3545	0,0282	0,2525	4593	3941	652
L09838	3	-46,4171536	-23,4044185	4679	0,0641	0,7576	6569	5371	1198
