cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04031	1	-46,5178969	-23,4509497	3853	0,026	1,2048	5561	4379	1182
L04050	1	-46,5284889	-23,4721650	1152	0,0868	1,2048	1695	1303	392
L04227	1	-46,4014214	-23,4418594	3279	0,0305	1,2048	4547	3765	782
L04230	1	-46,4036715	-23,4635450	2746	0,0364	1,2048	4031	3199	832
L04235	2	-46,4124283	-23,4446100	3679	0,0544	2,4096	5464	4330	1134
L04236	3	-46,4240116	-23,4575466	3776	0,0794	3,6145	5435	4492	943
L04237	1	-46,4010537	-23,4628858	3866	0,0259	1,2048	5772	4602	1170
L04239	3	-46,4117159	-23,4448235	3541	0,0847	3,6145	4961	4092	869
L04241	2	-46,4274434	-23,4577532	3932	0,0509	2,4096	5900	4677	1223
L04242	2	-46,4110028	-23,4412045	4441	0,045	2,4096	6679	5288	1391
L04243	1	-46,4190397	-23,4390357	4665	0,0214	1,2048	6705	5509	1196
L04246	1	-46,4183363	-23,4566057	2701	0,037	1,2048	3767	3124	643
L04247	4	-46,4006094	-23,4493557	4047	0,0988	4,8193	5767	4780	987
L04250	1	-46,4006412	-23,4605835	2128	0,047	1,2048	3336	2530	806
L04251	4	-46,4122972	-23,4487083	2818	0,1419	4,8193	4095	3343	752
L04253	3	-46,4078760	-23,4565700	2061	0,1456	3,6145	3057	2422	635
L04257	1	-46,4168989	-23,4502035	2158	0,0463	1,2048	3157	2540	617
L04259	1	-46,4044135	-23,4399264	2280	0,0439	1,2048	3572	2733	839
L04260	18	-46,4110264	-23,4483687	2454	0,7335	21,6867	3348	2855	493
L06592	1	-46,5439730	-23,4607010	2585	0,0387	1,2048	3854	3034	820
L06602	6	-46,5492677	-23,4848483	3245	0,1849	7,2289	4911	3881	1030
L06603	1	-46,5529975	-23,4682223	3294	0,0304	1,2048	4736	3793	943
L06609	1	-46,5538251	-23,4593526	1641	0,0609	1,2048	2328	1861	467
L06624	2	-46,5045704	-23,4243582	1929	0,1037	2,4096	2744	2220	524
L06634	1	-46,4972144	-23,4091590	3843	0,026	1,2048	5269	4286	983
L06641	2	-46,5044429	-23,4216203	4367	0,0458	2,4096	5813	4898	915
L06657	1	-46,4932521	-23,4075649	2325	0,043	1,2048	3254	2621	633
L08497	2	-46,5560400	-23,4515991	3178	0,0629	2,4096	5027	3802	1225
L09803	1	-46,5561613	-23,4338322	3793	0,0264	1,2048	5928	4573	1355
L09808	1	-46,5531760	-23,4384305	1963	0,0509	1,2048	3071	2353	718
L09818	1	-46,4376679	-23,3997821	4108	0,0243	1,2048	5884	4783	1101
L09831	3	-46,4660087	-23,4006544	3645	0,0823	3,6145	5341	4237	1104
L09839	2	-46,4666479	-23,4031200	4480	0,0446	2,4096	6276	5151	1125
L09841	2	-46,4332401	-23,4018027	4766	0,042	2,4096	6620	5535	1085
L09850	1	-46,4488353	-23,3750146	3137	0,0319	1,2048	4421	3657	764
L09863	1	-46,4279296	-23,4310787	2270	0,0441	1,2048	3738	2809	929
L09867	1	-46,4363562	-23,4335696	4242	0,0236	1,2048	6556	5035	1521
L09874	1	-46,4275906	-23,4246425	2619	0,0382	1,2048	3842	3152	690
L09875	1	-46,4340671	-23,4266463	6326	0,0158	1,2048	9025	7471	1554
