cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04022	2	-46,5189890	-23,4582225	3507	0,057	2,8571	5353	4100	1253
L04023	3	-46,5258670	-23,4677912	1789	0,1677	4,2857	2652	2022	630
L04027	3	-46,5348867	-23,4617458	3878	0,0774	4,2857	6011	4558	1453
L04033	1	-46,5221381	-23,4625300	3783	0,0264	1,4286	5585	4358	1227
L04035	1	-46,5225666	-23,4292113	1027	0,0974	1,4286	1410	1186	224
L04037	1	-46,5347298	-23,4577536	3127	0,032	1,4286	4628	3609	1019
L04038	1	-46,5218442	-23,4280169	5014	0,0199	1,4286	6975	5763	1212
L04253	1	-46,4078760	-23,4565700	2061	0,0485	1,4286	3057	2422	635
L06590	1	-46,5422782	-23,4665988	3106	0,0322	1,4286	4688	3650	1038
L06592	2	-46,5439730	-23,4607010	2585	0,0774	2,8571	3854	3034	820
L06593	2	-46,5414079	-23,4675541	2706	0,0739	2,8571	4182	3224	958
L06597	1	-46,5597602	-23,4667730	2339	0,0428	1,4286	3181	2645	536
L06599	7	-46,5552762	-23,4757201	4016	0,1743	10,0	5873	4680	1193
L06601	7	-46,5494943	-23,4686972	1489	0,4701	10,0	2100	1713	387
L06602	2	-46,5492677	-23,4848483	3245	0,0616	2,8571	4911	3881	1030
L06603	8	-46,5529975	-23,4682223	3294	0,2429	11,4286	4736	3793	943
L06604	1	-46,5464811	-23,4794649	2834	0,0353	1,4286	4188	3330	858
L06605	1	-46,5423233	-23,4725448	3187	0,0314	1,4286	4654	3758	896
L06608	1	-46,5619770	-23,4625208	2255	0,0443	1,4286	3248	2626	622
L06612	1	-46,5384397	-23,4639462	1397	0,0716	1,4286	2056	1664	392
L06620	3	-46,5509395	-23,4687509	963	0,3115	4,2857	1425	1159	266
L06622	1	-46,5537840	-23,4681480	595	0,1681	1,4286	865	694	171
L06638	1	-46,5108984	-23,4160796	3329	0,03	1,4286	4389	3703	686
L06645	1	-46,5069535	-23,4312359	4449	0,0225	1,4286	6184	5081	1103
L06649	1	-46,5101326	-23,4531041	2613	0,0383	1,4286	3756	3033	723
L09788	1	-46,5460249	-23,4541953	1554	0,0644	1,4286	2307	1827	480
L09794	3	-46,5460300	-23,4567593	1200	0,25	4,2857	1749	1407	342
L09797	2	-46,5645254	-23,4578160	2265	0,0883	2,8571	3525	2776	749
L09815	1	-46,5469652	-23,4527738	501	0,1996	1,4286	717	592	125
L09834	1	-46,3974480	-23,4069388	2470	0,0405	1,4286	3555	2944	611
L09864	1	-46,4654827	-23,4594060	3703	0,027	1,4286	5205	4151	1054
L09868	2	-46,4576614	-23,4558165	4036	0,0496	2,8571	5529	4586	943
L09869	4	-46,4651071	-23,4594986	4171	0,0959	5,7143	5819	4729	1090
L09870	1	-46,4386061	-23,4454914	3923	0,0255	1,4286	5764	4733	1031
